月別平均濃度,,,,,,,,,,,,,,,,,,,
測定年度：２０１９(令和元）年度,,,,,,,,,,,,,,,,,単位：μg/m3,,
測定物質,測定局名,測定局の区分,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,１月,２月,３月,年間,"環境基準等
註1","定量下限値
註2","検出下限値
註2",公定法　註3
,環八通り八幡山,自排,0.5,0.61,0.75,0.94,0.68,0.83,0.83,1.1,1.4,0.92,0.9,0.52,0.82,,,,1.6
o-ｷｼﾚﾝ,江東区大島,一般,0.22,0.26,0.25,0.4,0.35,0.28,0.65,0.61,0.45,0.36,0.4,0.23,0.37,,0.1,0.03,―
,大田区東糀谷,一般,0.35,0.38,0.34,0.59,0.45,0.37,0.49,0.53,0.6,0.47,0.42,0.39,0.45,,,,0.75
,環八通り八幡山,自排,0.2,0.24,0.3,0.36,0.27,0.33,0.32,0.41,0.52,0.34,0.35,0.21,0.32,,,,0.56
総ｷｼﾚﾝ,江東区大島,一般,0.8,0.91,0.91,1.4,1.3,1,2.6,2.5,1.7,1.3,1.5,0.82,1.4,,0.2,0.06,―
,大田区東糀谷,一般,1.2,1.3,1.2,2.3,1.5,1.4,1.7,1.9,2.4,1.7,1.5,1.4,1.6,,,,3
,環八通り八幡山,自排,0.7,0.85,1.1,1.3,0.96,1.2,1.2,1.5,1.9,1.3,1.2,0.74,1.1,,,,2.1
ｴﾁﾙﾍﾞﾝｾﾞﾝ,江東区大島,一般,0.78,0.9,0.93,1.5,1.3,0.94,3.2,2.8,1.9,1.4,1.7,0.9,1.5,,0.1,0,―
,大田区東糀谷,一般,1.2,1.1,1.1,2.4,1.4,1.3,1.8,2.1,2.7,1.8,1.6,1.5,1.7,,,,3
,環八通り八幡山,自排,0.57,0.69,0.79,1,0.77,0.92,1.1,1.5,1.8,1.1,1.3,0.73,1,,,,2
ｽﾁﾚﾝ,江東区大島,一般,0.14,0.13,0.17,0.34,0.28,0.22,0.33,0.47,0.56,0.49,0.49,0.25,0.32,,0.05,0.02,―
,大田区東糀谷,一般,0.21,0.21,0.22,0.49,0.31,0.23,0.27,0.49,0.49,0.36,0.36,0.36,0.34,,,,0.28
,環八通り八幡山,自排,0.1,0.13,0.18,0.22,0.17,0.19,0.21,0.27,0.34,0.34,0.36,0.21,0.23,,,,0.15
"1,1-ｼﾞｸﾛﾛｴﾀﾝ",江東区大島,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.05,0.02,―
,大田区東糀谷,一般,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,<0.04
,環八通り八幡山,自排,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,<0.04
四塩化炭素,江東区大島,一般,0.51,0.44,0.43,0.45,0.41,0.42,0.43,0.39,0.36,0.37,0.45,0.35,0.42,,0.3,0.09,―
,大田区東糀谷,一般,0.52,0.5,0.46,0.46,0.47,0.44,0.49,0.5,0.39,0.41,0.43,0.46,0.46,,,,0.54
,環八通り八幡山,自排,0.39,0.41,0.46,0.46,0.39,0.42,0.4,0.45,0.52,0.41,0.4,0.36,0.42,,,,0.53
,,,,,,,,,,,,,,,,,,,
,註１：環境基本法第１６条に基づく大気環境基準　　　*付きは環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値（指針値）,,,,,,,,,,,,,,,,,,
,註２：VOC連続計稼働当初より使用してきた定量下限値および検出下限値,,,,,,,,,,,,,,,,,,
,　　　VOC連続計においてはデータ収集率を確保するため下限値設定のための測定を行わず、稼動当初に測定した定量下限値、検出下限値を採用している。,,,,,,,,,,,,,,,,,,
,註３：江東区大島局では測定を行っていないため「－」と表記,,,,,,,,,,,,,,,,,,
