項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,4.2,2.3,1.5,1.4,1.9,(0.16),1.7,1.2,1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,10,4.4,2.8,2.8,2.5,(0.11),3.9,3.0,2.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,21,9.0,5.3,5.1,4.9,0.30,7.2,5.4,4.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,180,70,36,37,27,0.9,49,24,22
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,250,110,53,54,45,2,62,35,31
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,0.14,(0.05),0.29,0.24,(0.06),ND,0.31,0.14,(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,0.18,0.11,0.16,0.16,(0.09),ND,0.11,0.14,0.10
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,0.11,(0.05),0.27,0.22,(0.07),ND,0.25,0.12,0.10
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,3.7,2.0,3.2,3.0,2.2,0.19,2.5,1.9,1.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.13,(0.07),0.23,0.23,0.13,(0.04),0.21,0.12,(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.14,(0.07),0.16,0.16,0.15,ND,0.13,(0.08),(0.04)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,3.6,2.4,2.2,2.3,2.8,0.18,1.9,1.1,0.85
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.39,(0.16),0.33,0.37,0.29,ND,0.24,0.24,(0.14)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.26,(0.14),0.20,0.20,0.20,ND,(0.11),(0.11),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.27,(0.19),0.20,0.21,0.37,ND,(0.10),(0.12),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,4.0,2.1,2.6,2.8,2.7,ND,2.2,2.0,1.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,2.1,1.0,1.4,1.4,1.3,(0.14),3.2,1.8,1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,0.38,(0.12),0.22,0.21,0.35,(0.06),(0.18),(0.12),(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,5.7,2.4,3.5,3.5,3.0,0.21,8.8,4.8,3.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,5.6,1.9,4.6,4.1,1.9,ND,20,6.4,4.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,23,11,16,16,13,0.58,35,16,11
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,280,120,69,70,57,2.6,98,51,43
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.32,(0.16),1.3,1.2,0.23,(0.10),1.5,1.1,1.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,94,34,100,110,15,3.2,58,44,38
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,1.4,0.59,1.2,1.1,0.32,ND,0.93,0.74,0.69
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,(0.06),ND,(0.10),(0.11),ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,96,35,100,110,16,3.3,60,46,40
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.81,0.37,3.5,3.0,0.55,(0.17),2.4,2.2,2.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,65,28,220,220,45,15,180,180,160
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,19,9.2,70,68,14,5.3,62,58,55
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,1.2,0.62,5.5,5.4,1.1,0.39,3.8,3.7,3.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,2.0,0.79,5.2,5.4,1.5,0.32,5.3,4.7,4.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,5.0,2.6,13,14,3.7,0.84,13,11,10
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,1.3,0.65,3.0,3.0,0.93,0.23,3.0,2.5,2.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.38,0.21,0.63,0.67,0.23,ND,0.63,0.70,0.52
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,95,42,320,320,67,22,270,260,240
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,190,77,420,430,83,26,330,310,280
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,470,190,490,500,140,28,430,360,320
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.54,0.26,0.31,0.31,0.3,0.062,0.28,0.2,0.15
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.15,0.065,0.14,0.13,0.036,0.0049,0.11,0.088,0.081
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.70,0.33,0.45,0.44,0.34,0.067,0.38,0.29,0.23
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.70,0.33,0.51,0.50,0.37,0.072,0.43,0.32,0.25
浮遊物質量（SS）,,,,,mg/L,11,4,7,7,6,1,3,2,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
