項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,27残堀川／立川橋,28城山川／五反田橋,28城山川／五反田橋／二重測定,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,35霞川／金子橋,36柳瀬川／清柳橋,1小河内ダム／ダム前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,4.0,11,19,29,6.9,5.4,5.4,0.63,9.3,7.3,3.4,0.35,0.21,3.3,3.4,0.38,1.1,0.56,5.9,4.8,2.8,0.25,ND,0.94,0.22,ND,1.5,0.47,0.34,0.39,0.83,1.3,1.5,0.45,0.61,0.36,(0.16),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,8.4,22,40,59,15,9.9,10,1.3,19,15,7.3,0.67,0.42,6.2,6.3,0.79,2.2,1.2,12,10,6.0,0.64,ND,2.3,0.58,ND,2.9,0.84,0.65,0.74,1.6,2.8,3.0,0.96,1.3,0.72,0.35,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,70,82,340,510,29,63,64,7.7,45,32,9.0,3.7,2.3,33,32,5.0,15,6.4,15,22,7.3,3.1,(0.4),8.1,2.1,(0.2),21,5.3,4.0,4.7,11,21,21,3.4,7.7,4.6,1.5,(0.4)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,98,160,460,760,72,99,99,13,100,70,30,8.1,4.6,43,43,9,21,11,49,46,26,7.9,0.96,14,9,0.3,26,7.8,6.3,6.6,20,33,33,9.4,13,6.3,2.5,0.53
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,(0.04),(0.09),(0.07),0.15,(0.04),0.47,0.41,(0.04),0.13,(0.10),ND,ND,ND,0.15,0.17,(0.04),(0.07),(0.06),(0.03),(0.09),(0.08),ND,(0.06),0.16,ND,ND,(0.04),ND,ND,ND,ND,(0.04),(0.03),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,ND,(0.09),0.15,0.17,(0.05),0.33,0.32,(0.05),0.18,0.11,(0.05),(0.05),(0.04),0.24,0.26,(0.06),(0.06),(0.07),(0.09),(0.09),0.14,(0.05),ND,(0.07),(0.05),ND,ND,ND,ND,ND,ND,(0.04),(0.04),(0.06),(0.08),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.04),(0.09),0.10,0.12,(0.03),0.36,0.33,(0.04),0.14,0.13,(0.04),ND,ND,0.15,0.14,(0.04),(0.06),(0.07),(0.06),0.11,0.11,ND,(0.06),0.13,ND,ND,(0.03),ND,ND,ND,(0.04),(0.03),(0.03),(0.04),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.73,2.8,3.9,7.3,1.2,5.1,5.1,0.31,4.1,3.4,0.68,0.28,(0.05),2.6,2.9,0.34,0.76,0.93,1.7,1.9,2.4,0.47,1.4,3.0,0.75,ND,0.37,ND,(0.05),(0.06),0.53,0.94,0.97,0.55,0.52,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.05),0.19,0.18,0.24,(0.10),0.39,0.34,(0.05),0.33,0.31,(0.07),(0.03),ND,0.10,0.11,(0.03),(0.06),(0.06),0.12,(0.09),0.14,ND,ND,0.10,ND,ND,(0.05),ND,ND,ND,(0.04),(0.04),(0.05),(0.04),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,(0.05),0.24,0.13,0.23,0.12,0.26,0.23,ND,0.36,0.27,(0.09),ND,ND,(0.07),(0.07),ND,(0.05),ND,0.13,0.11,0.10,ND,ND,0.12,ND,ND,(0.05),ND,ND,ND,(0.04),(0.05),(0.04),(0.04),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.56,3.6,3.3,4.6,2.3,4.2,4.2,1.0,5.3,4.1,1.1,0.77,0.50,2.5,2.5,0.69,0.88,1.2,3.3,2.4,2.3,0.58,0.15,2.8,0.71,ND,0.57,0.22,0.26,0.20,0.52,1.1,1.4,0.40,0.31,(0.07),(0.08),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.10),0.37,0.36,0.42,(0.18),0.48,0.52,ND,0.56,0.43,(0.11),ND,ND,0.20,(0.16),(0.06),(0.11),(0.08),0.24,(0.15),(0.12),ND,ND,(0.19),ND,ND,(0.08),ND,ND,ND,(0.09),(0.07),(0.06),(0.06),(0.08),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.08),0.35,0.34,0.42,(0.19),0.33,0.34,ND,0.51,0.36,(0.12),ND,ND,(0.09),(0.09),ND,ND,(0.06),(0.19),(0.08),(0.13),ND,ND,(0.14),ND,ND,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.08),0.42,0.31,0.41,0.29,0.34,0.31,ND,0.73,0.53,(0.16),ND,ND,(0.08),(0.08),ND,ND,ND,0.32,(0.20),(0.18),ND,ND,(0.19),ND,ND,(0.10),ND,ND,ND,(0.08),(0.07),(0.07),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.4,4.5,6.7,9.6,2.6,4.8,4.8,1.0,5.8,4.1,0.95,0.37,0.24,3.0,3.1,0.83,1.0,1.2,4.0,2.9,1.7,(0.17),ND,3.0,(0.17),ND,0.77,ND,ND,ND,0.33,0.52,0.29,(0.16),0.21,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.55,1.9,2.8,3.3,0.97,2.4,2.7,0.36,2.2,1.5,0.53,(0.16),ND,2.3,2.4,0.20,0.68,0.42,1.3,1.5,0.53,ND,ND,0.67,ND,ND,0.37,(0.13),(0.10),(0.18),0.29,0.29,0.30,0.26,(0.13),(0.14),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,(0.08),0.38,0.39,0.50,0.21,0.38,0.31,ND,0.45,0.33,(0.09),ND,ND,(0.19),(0.16),ND,ND,ND,0.22,(0.16),(0.11),ND,ND,(0.09),ND,ND,(0.08),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,1.3,3.9,6.8,9.2,2.0,6.4,7.0,0.96,4.4,3.0,1.1,0.41,(0.14),6.1,6.1,0.56,1.6,0.98,3.0,3.7,1.2,ND,ND,1.3,ND,ND,0.83,(0.13),(0.10),(0.18),0.46,0.48,0.49,0.26,(0.13),(0.14),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,1.3,2.3,6.8,8.7,1.1,7.9,8.5,0.7,2.4,1.6,0.7,(0.4),ND,8.6,8.0,(0.4),2.4,0.8,2.2,3.7,0.8,ND,ND,0.6,ND,ND,0.6,ND,ND,ND,(0.4),(0.4),(0.4),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,5.3,17,28,39,9.2,28,30,4,22,16,4.5,2.2,0.93,23,23,2.8,6.6,5.1,14,15,8.4,1.2,1.6,11,1.6,ND,3.1,0.35,0.41,0.44,2.2,3.4,3.6,1.4,1.2,0.21,0.08,ND
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,100,170,490,800,81,130,130,17,130,86,35,10,5.5,66,65,12,28,17,63,61,35,9.1,2.5,24,11,0.3,29,8.2,6.7,7.1,22,36,37,11,14,6.5,2.6,0.53
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,0.22,ND,ND,(0.15),ND,ND,0.23,0.28,0.33,(0.14),ND,ND,1.2,1.1,0.33,ND,ND,0.23,0.62,(0.11),ND,(0.12),1.4,ND,ND,(0.09),ND,ND,ND,(0.14),ND,ND,(0.12),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,1.2,4.5,42,21,2.4,140,160,11,34,7.4,5.2,4.9,2.7,41,40,12,20,30,12,31,3.3,1.5,2.3,35,1.4,0.22,2.1,0.88,0.94,1.9,2.2,0.97,1.0,2.1,0.83,0.72,0.96,0.25
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.12),ND,0.76,0.59,ND,1.9,1.6,ND,0.80,0.61,0.22,ND,ND,0.66,0.64,(0.18),ND,ND,ND,ND,ND,ND,(0.18),ND,(0.15),ND,(0.12),ND,ND,ND,(0.11),(0.11),(0.12),(0.17),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,(0.13),ND,ND,ND,(0.16),(0.19),ND,(0.17),(0.16),(0.07),ND,ND,ND,ND,ND,ND,ND,(0.09),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,1.3,4.9,43,22,2.6,140,160,11,35,8.5,5.6,4.9,2.7,43,42,13,20,30,12,32,3.4,1.5,2.6,36,1.6,0.22,2.3,0.88,0.94,1.9,2.5,1.1,1.1,2.4,0.83,0.72,0.96,0.25
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,(0.14),0.31,1.2,0.52,(0.20),2.0,2.4,0.66,0.67,0.85,0.27,0.27,0.22,1.8,2.0,0.56,0.79,1.7,0.43,1.3,0.29,ND,0.40,2.7,ND,ND,(0.20),(0.08),(0.06),(0.15),(0.16),ND,ND,(0.17),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,7.8,21,71,60,11,310,310,39,110,70,29,21,17,150,150,40,67,120,45,130,29,8.7,34,310,15,1.4,10,4.6,4.9,8.8,9.7,6.3,6.4,14,9.2,3.6,6.9,1.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,3.2,7.3,20,20,4.1,92,92,13,31,29,9.6,7.4,6.7,51,51,13,23,37,14,45,10,3.7,16,110,4.6,0.45,5.5,2.2,2.1,4.1,4.8,2.8,2.8,5.7,3.5,1.7,2.6,0.41
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.22,0.41,1.4,1.1,0.26,6.1,6.3,0.86,2.1,1.9,0.73,0.55,0.49,3.2,3.6,0.84,1.5,2.4,0.65,2.3,0.56,0.26,0.93,5.9,0.29,ND,0.35,(0.12),(0.17),0.29,0.32,0.20,(0.19),0.40,(0.17),(0.10),(0.17),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.48,0.91,2.3,2.0,0.49,7.1,6.8,1.0,3.1,3.4,0.82,0.68,0.72,3.8,3.8,0.83,1.7,3.2,0.91,3.4,1.1,0.43,1.3,11,0.80,(0.14),0.66,0.32,0.29,0.40,0.53,0.42,0.44,0.71,0.53,0.23,0.38,(0.15)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.1,2.1,5.5,4.8,1.0,17,17,2.5,8.2,8.9,1.9,1.4,1.5,9.2,9.7,2.0,3.7,7.1,2.2,7.8,2.6,0.93,3.3,24,1.6,0.29,1.3,0.67,0.67,0.88,1.2,0.92,0.93,1.5,1.3,0.46,0.69,0.25
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.27,0.53,1.4,1.1,0.28,4.2,4.1,0.51,2.0,2.0,0.43,0.41,0.32,2.2,2.3,0.43,0.84,1.4,0.53,1.8,0.60,0.22,0.73,6.0,0.39,ND,0.36,(0.13),(0.11),0.22,0.28,0.24,0.23,0.38,0.31,(0.12),(0.16),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.11),0.20,0.39,0.39,(0.19),1.1,1.1,(0.18),0.60,0.57,(0.13),(0.11),(0.11),0.68,0.66,(0.15),0.26,0.67,0.25,0.49,0.21,ND,(0.14),1.1,(0.10),ND,(0.16),ND,ND,ND,(0.10),ND,ND,(0.14),(0.12),ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,13,33,100,90,18,440,440,58,160,120,43,32,27,220,220,58,99,170,64,190,44,14,57,470,23,2.3,19,8.1,8.3,15,17,11,11,23,15,6.2,11,2.1
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,15,38,150,110,20,580,600,69,190,130,49,37,30,260,260,70,120,200,76,220,48,16,59,510,24,2.5,21,9,9.2,17,20,12,12,25,16,6.9,12,2.4
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,120,210,630,910,100,710,730,86,320,210,83,47,35,330,330,82,150,220,140,280,83,25,62,530,35,2.8,49,17,16,24,42,48,49,36,30,13,14,2.9
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.19,0.68,0.78,1.2,0.41,0.63,0.58,0.074,0.83,0.6,0.25,0.065,0.061,0.21,0.2,0.071,0.11,0.084,0.4,0.32,0.29,0.062,0.063,0.18,0.061,0.058,0.11,0.065,0.063,0.065,0.092,0.11,0.1,0.077,0.072,0.064,0.06,0.059
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.013,0.0084,0.084,0.065,0.0047,0.22,0.19,0.0068,0.093,0.07,0.026,0.0054,0.005,0.078,0.076,0.022,0.0089,0.012,0.0089,0.013,0.0056,0.0045,0.021,0.022,0.017,0.004,0.014,0.0042,0.0043,0.0045,0.013,0.012,0.013,0.019,0.0044,0.0042,0.0043,0.004
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.21,0.69,0.86,1.3,0.41,0.85,0.77,0.081,0.92,0.67,0.28,0.070,0.066,0.28,0.28,0.093,0.11,0.096,0.41,0.33,0.30,0.066,0.084,0.20,0.078,0.062,0.13,0.070,0.068,0.069,0.10,0.12,0.12,0.096,0.077,0.068,0.064,0.063
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.2,0.73,0.83,1.2,0.43,0.94,0.85,0.088,1,0.74,0.3,0.075,0.071,0.31,0.31,0.1,0.13,0.11,0.44,0.36,0.32,0.07,0.092,0.27,0.082,0.065,0.14,0.072,0.07,0.073,0.11,0.13,0.12,0.11,0.08,0.071,0.068,0.065
浮遊物質量（SS）,,,,,mg/L,3,13,34,34,5,29,29,4,7,8,2,4,3,3,3,1,3,2,2,1,4,3,1未満,2,2,1未満,1未満,1未満,1未満,2,1未満,2,2,4,4,3,2,1未満
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
