項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(4)東京湾／St.22／二重測定,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.16,0.05,0.1,pg/L,N.D.,N.D.,(0.10),0.1,(0.10),(0.09),N.D.,0.18,(0.09),(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,0.84,1.6,2.7,2.9,10,11,2.6,6.8,16,13
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.17,0.05,0.01,pg/L,(0.15),N.D.,0.5,0.6,0.25,0.28,0.18,0.57,0.32,0.28
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.17,0.05,0.01,pg/L,N.D.,N.D.,(0.08),0.08,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.51,0.43,1.7,2,3.4,3.5,0.94,3,5.7,4.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.29,0.09,0.0003,pg/L,0.37,N.D.,1.3,1.4,0.29,0.41,(0.17),1.1,0.44,0.32
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,2.5,3,8.4,9.7,20,22,5.7,15,32,26
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,7.3,5.9,65,68,30,32,9.9,55,44,36
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.17,0.05,0.0003,pg/L,N.D.,N.D.,(0.09),0.12,N.D.,N.D.,(0.08),0.24,(0.11),N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.17,0.05,0.0001,pg/L,3.2,1.3,10,10,0.78,1,1.8,4,2.3,1.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.16,0.05,0.1,pg/L,(0.09),N.D.,0.2,0.19,(0.08),(0.08),(0.08),0.4,(0.10),(0.08)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,N.D.,N.D.,N.D.,(0.02),N.D.,N.D.,N.D.,(0.09),N.D.,N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,3.3,1.3,10,10,0.86,1.1,2,4.7,2.5,1.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.17,0.05,0.00003,pg/L,0.38,0.18,0.51,0.53,(0.11),0.19,0.32,0.42,0.46,(0.12)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.16,0.05,0.00003,pg/L,20,12,30,29,9.2,9.6,18,17,23,7.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.17,0.05,0.00003,pg/L,5.6,3,8.1,7.5,2.3,2.6,6.7,4.9,7.3,2.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.18,0.05,0.00003,pg/L,0.32,N.D.,0.48,0.41,(0.10),(0.14),0.29,1.2,0.45,(0.13)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.16,0.05,0.00003,pg/L,0.33,0.24,0.79,0.92,0.31,0.3,0.39,0.72,0.7,0.23
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.19,0.06,0.00003,pg/L,0.93,0.54,1.6,1.4,0.54,0.53,1,1.4,1.7,0.57
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.19,0.06,0.00003,pg/L,0.23,N.D.,0.41,0.44,(0.15),(0.14),0.25,0.35,0.38,(0.14)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,N.D.,N.D.,(0.11),(0.12),N.D.,N.D.,N.D.,0.27,(0.13),N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,28,16,42,40,13,14,27,26,34,11
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,31,17,52,51,14,15,29,31,37,12
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,38,23,120,120,43,47,39,86,81,48
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.049,0.047,0.12,0.14,0.071,0.065,0.048,0.14,0.064,0.06
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.011,0.004,0.023,0.022,0.0094,0.0094,0.0099,0.044,0.012,0.0094
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.06,0.051,0.15,0.16,0.08,0.074,0.058,0.19,0.077,0.07
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.065,0.054,0.15,-,0.083,0.077,0.063,0.19,0.081,0.072
浮遊物質量（SS）,,,,,mg/L,1,2,6,6,3,3,1,4,2,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
