No,項目番号,点検項目【大分類】,点検項目【中分類】,点検項目【小分類】,点検項目,対策番号 ※1,効果の目安 ※2,トップ ※3,備考 ※4,大規模事業所の取組状況【1】(事業所数),大規模事業所の取組状況【2】(事業所数),大規模事業所の取組状況【3】(事業所数),大規模事業所の取組状況【4】(事業所数),大規模事業所の取組状況【5】(事業所数),大規模事業所の取組状況【6】(事業所数),凡例【1】 ※5,凡例【2】 ※5,凡例【3】 ※5,凡例【4】 ※5,凡例【5】 ※5,凡例【6】 ※5
44,21-5,空調・換気設備,高効率パッケージ形空調機の導入,,屋外機の散水システム,2 3b.2,A,○,※4,8,12,14,29,842,124,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
45,22,空調・換気設備,,,ウォーミングアップ時の外気遮断制御の導入,2 3b.4,B,○,,241,184,39,102,243,220,全て,大半,半分,一部,導入無し,対象設備無し or 大半が24時間空調 or空欄
46,23,空調・換気設備,,,空調機の変風量システムの導入,2 3b.8,C,○,,239,230,70,195,175,120,全て,大半,半分,一部,導入無し,空調機無し or空欄
47,24,空調・換気設備,,,空調機の気化式加湿器の導入,2 3b.10,C,○,,220,134,35,163,355,122,全て,大半,半分,一部,導入無し,対象設備無し or空欄
48,25,空調・換気設備,,,外気冷房システムの導入,2 3b.12,A,,,179,160,40,151,428,71,全て,大半,半分,一部,導入無し,冬季・中間期冷房無し or空欄
49,26,空調・換気設備,,,CO2濃度による外気量制御の導入,2 3b.13,A,,,139,132,40,159,95,464,全て,大半,半分,一部,手動調整のみ,導入無しor対象設備無し
50,27,空調・換気設備,,,ファンコイルユニットの比例制御の導入,2 3b.14,B,○,,247,89,39,97,314,243,全て,大半,半分,一部,導入無し,ファンコイルユニット無し or空欄
51,28,空調・換気設備,,,空調の最適起動制御の導入,2 3b.16,C,,,126,138,19,59,569,118,全て,大半,半分,一部,導入無し,全て24時間空調 or空欄
52,29,空調・換気設備,,,全熱交換器の導入,2 3b.20,A,,,150,184,57,349,246,,全て,大半,半分,一部,導入無し,-
53,30,空調・換気設備,,,大温度差送風空調システムの導入,2 3b.21,A,,,32,48,7,33,743,166,全て,大半,半分,一部,導入無し,空調機無し or空欄
54,31-1,空調・換気設備,高効率ファンの導入,,モータ直結形ファン,2 3b.3,B,,※4,103,34,58,144,665,25,全て,大半,半分,一部,導入無し,ファン無し or 空欄
55,31-2,空調・換気設備,高効率ファンの導入,,永久磁石(IPM)モータ,2 3b.3,B,,※4,66,3,6,13,914,27,全て,大半,半分,一部,導入無し,ファン無し or 空欄
56,31-3,空調・換気設備,高効率ファンの導入,,プレミアム効率（IE3）モータ,2 3b.3,B,,※4,71,7,19,67,837,28,全て,大半,半分,一部,導入無し,ファン無し or 空欄
57,31-4,空調・換気設備,高効率ファンの導入,,高効率（IE2）モータ,2 3b.3,B,,※4,90,21,41,68,782,27,全て,大半,半分,一部,導入無し,ファン無し or 空欄
58,32,空調・換気設備,,,エレベーター機械室の温度制御の導入,2 3b.5,C,◎,,580,76,20,55,135,163,全て,大半,半分,一部,導入無し,EV機械室無し or空欄
59,33,空調・換気設備,,,電気室の温度制御の導入,2 3b.6,C,◎,,642,91,20,54,151,71,全て,大半,半分,一部,導入無し,電気室無し or空欄
60,34,空調・換気設備,,,電算室の冷気と暖気が混合しない設備の導入,2 3b.7,C,,,170,430,429,,,,導入,導入無し,情報通信施設無し or空欄,-,-,-
61,35,空調・換気設備,,,駐車場ファンのCO又はCO2濃度制御の導入,2 3b.18,C,○,,253,32,14,27,274,429,全て,大半,半分,一部,導入無し,駐車場換気無し or空欄
62,36-1,空調・換気設備,高効率厨房換気システムの導入,,置換換気方式又は給排気形フード,2 3b.30,C,,,56,20,10,39,639,265,全て,大半,半分,一部,導入無し,厨房無し or空欄
63,36-2,空調・換気設備,高効率厨房換気システムの導入,,外気処理空調機の風量モード切換制御（強中弱等）,2 3b.32,C,,,88,25,6,35,607,268,全て,大半,半分,一部,導入無し,厨房無し or空欄
64,37,空調・換気設備,,,ファンの手動調整用インバータの導入,2 3b.35,A,,,52,67,24,155,549,182,全て,大半,半分,一部,導入無し,対象設備無し or空欄
65,38,空調・換気設備,,,室使用開始時の空調起動時間の適正化,3 1b.1,B,○,,372,210,17,100,173,157,全て,大半,半分,一部,実施無し,24時間空調 or空欄
66,39-1,空調・換気設備,夏季居室の室内温度の適正化・クールビズの実施,,24℃未満,3 1b.3、3 1b.8,A,◎,,6,13,14,243,753,,全て,大半,半分,一部,無し,-
67,39-2,空調・換気設備,夏季居室の室内温度の適正化・クールビズの実施,,24℃以上25℃未満,3 1b.3、3 1b.8,A,◎,,8,51,43,358,569,,全て,大半,半分,一部,無し,-
68,39-3,空調・換気設備,夏季居室の室内温度の適正化・クールビズの実施,,25℃以上26℃未満,3 1b.3、3 1b.8,A,◎,,24,128,136,324,417,,全て,大半,半分,一部,無し,-
69,39-4,空調・換気設備,夏季居室の室内温度の適正化・クールビズの実施,,26℃以上27℃未満,3 1b.3、3 1b.8,A,◎,,43,147,124,356,359,,全て,大半,半分,一部,無し,-
70,39-5,空調・換気設備,夏季居室の室内温度の適正化・クールビズの実施,,27℃以上28℃未満,3 1b.3、3 1b.8,A,◎,,40,102,61,333,493,,全て,大半,半分,一部,無し,-
71,39-6,空調・換気設備,夏季居室の室内温度の適正化・クールビズの実施,,28℃以上,3 1b.3、3 1b.8,A,◎,,38,40,21,148,782,,全て,大半,半分,一部,無し,-
72,40,空調・換気設備,,,ファンの間欠運転の実施,3 1b.4,C,○,,272,258,66,186,187,,全て,大半,半分,一部,実施無し,-
73,41,空調・換気設備,,,空調運転時間の短縮,3 1b.6,B,,,201,185,38,228,283,,全て,大半,半分,一部,実施無し,-
74,42,空調・換気設備,,,冬季におけるペリメータ設定温度の適正化,3 1b.7,C,,,95,69,13,80,232,540,全て,大半,半分,一部,実施無し,インテリアと区別無し or空欄
75,43,空調・換気設備,,,居室以外の室内温度の緩和,3 1b.9,C,,,550,113,186,180,,,エントランスホール及び廊下等で実施,エントランスホール又は廊下等で実施,実施無し,該当室無し or空欄,-,-
76,44,空調・換気設備,,,エレベータ機械室・電気室の室内設定温度の適正化,3 1b.12,C,○,,349,192,81,116,224,67,全て,大半,半分,一部,実施無し,対象室無し or空欄
77,45,空調・換気設備,,,空調機等のフィルターの清浄,3 2b.1,C,◎,,210,169,261,283,63,,月1回以上,年6回程度,年4回程度,年2回程度,1年以上に1回又は実施無し,-
78,46,空調・換気設備,,,省エネファンベルトへの交換,3 2b.5,C,○,,214,214,57,215,255,74,全て,大半,半分,一部,実施無し,ベルト駆動ファン無し or空欄
79,47,照明・電気設備,,,高効率照明及び省エネ制御の導入,2 3c.1、3、8,A,○,,,,,,,,-,-,-,-,-,-
80,48,照明・電気設備,,,高輝度型誘導灯・蓄光型誘導灯の導入,2 3c.2,C,◎,,392,208,55,176,198,,全て,大半,半分,一部,導入無し,-
81,49-1,照明・電気設備,高効率変圧器の導入,,超高効率変圧器,2 3c.5,C,,※4,18,9,10,24,831,137,全て,大半,半分,一部,導入無し,対象変圧器無し or空欄
82,49-2,照明・電気設備,高効率変圧器の導入,,トップランナー変圧器2014,2 3c.5,C,,※4,24,16,23,60,765,141,全て,大半,半分,一部,導入無し,対象変圧器無し or空欄
83,49-3,照明・電気設備,高効率変圧器の導入,,トップランナー変圧器,2 3c.5,C,,※4,88,31,54,81,641,134,全て,大半,半分,一部,導入無し,対象変圧器無し or空欄
84,50-1,照明・電気設備,照明の人感センサーによる在室検知制御の導入,,廊下,2 3c.9,A,○,,54,65,14,179,717,,全て,大半,半分,一部,導入無し,-
85,50-2,照明・電気設備,照明の人感センサーによる在室検知制御の導入,,階段室,2 3c.9,A,○,,267,114,44,135,468,,全て,大半,半分,一部,導入無し,-
86,50-3,照明・電気設備,照明の人感センサーによる在室検知制御の導入,,便所,2 3c.9,A,○,,294,133,58,208,336,,全て,大半,半分,一部,導入無し,-
87,50-4,照明・電気設備,照明の人感センサーによる在室検知制御の導入,,湯沸室,2 3c.9,A,○,,132,51,14,85,747,,全て,大半,半分,一部,導入無し,-
88,50-5,照明・電気設備,照明の人感センサーによる在室検知制御の導入,,事務室,2 3c.9,A,○,,35,16,7,58,913,,全て,大半,半分,一部,導入無し,-
89,51,照明・電気設備,,,照明のタイムスケジュール制御の導入,2 3c.10,C,○,,268,19,401,238,103,,居室及び共用部に導入,居室のみに導入,共用部のみに導入,導入無し,該当室無し or空欄,-
90,52,照明・電気設備,,,照明のセキュリティー連動制御の導入,2 3c.11,C,○,,94,122,24,552,237,,全てに導入,事務室に導入or客室部に導入,共用部のみ導入,導入無し,対象用途部分無し or空欄,-
91,53-1,照明・電気設備,居室以外の照度条件の緩和,,夜間時間帯,3 1c.1,C,◎,,451,341,27,136,,,廊下及び駐車場で実施,廊下のみで実施,駐車場のみで実施,実施無し,-,-
92,53-2,照明・電気設備,居室以外の照度条件の緩和,,深夜時間帯,3 1c.1,C,◎,,500,304,30,125,,,廊下及び駐車場で実施,廊下のみで実施,駐車場のみで実施,実施無し,-,-
93,54-1,照明・電気設備,居室の昼休み及び時間外の消灯及び間引き点灯,,昼休み消灯,3 1c.5,C,,,122,158,39,319,391,,全て,大半,半分,一部,実施無し,-
94,54-2,照明・電気設備,居室の昼休み及び時間外の消灯及び間引き点灯,,残業時間一斉消灯,3 1c.5,C,,,96,116,24,228,565,,全て,大半,半分,一部,実施無し,-
95,55-1,給排水・給湯設備,高効率給水ポンプの導入,,推定末端圧一定インバータ制御ポンプユニット,2 3d.1,C,,※4,793,22,11,31,126,46,全て,大半,半分,一部,導入無し,給水ポンプユニット無し or空欄
96,55-2,給排水・給湯設備,高効率給水ポンプの導入,,永久磁石(IPM)モータ,2 3d.1,C,,※4,13,3,3,10,888,112,全て,大半,半分,一部,導入無し,給水ポンプ無し or空欄
97,55-3,給排水・給湯設備,高効率給水ポンプの導入,,プレミアム効率（IE3）モータ,2 3d.1,C,,※4,31,12,22,38,817,109,全て,大半,半分,一部,導入無し,給水ポンプ無し or空欄
98,55-4,給排水・給湯設備,高効率給水ポンプの導入,,高効率（IE2）モータ,2 3d.1,C,,※4,39,19,27,26,809,109,全て,大半,半分,一部,導入無し,給水ポンプ無し or空欄
99,56,給排水・給湯設備,,,大便器の節水器具の導入,2 3d.2,C,○,,240,154,72,139,297,127,全て,大半,半分,一部,導入無し,把握できていない or空欄
100,57,給排水・給湯設備,,,自然冷媒ヒートポンプ給湯器の導入,2 3d.9,C,,,38,7,8,25,402,549,全て,大半,半分,一部,導入無し,対象機器無し or空欄
101,58,給排水・給湯設備,,,潜熱回収給湯器の導入,2 3d.10,C,,,33,9,5,38,430,514,全て,大半,半分,一部,導入無し,対象機器無し or空欄
102,59,給排水・給湯設備,,,洗浄便座暖房の夏季停止,3 1d.4,C,◎,,784,124,121,,,,実施,実施無し,洗浄便座無し or空欄,-,-,-
103,60-1,給排水・給湯設備,給湯設備の省エネ運用,,季節や用途等に応じた給湯温度設定の緩和,3 1d.6,C,◎,,377,491,161,,,,実施,実施無し,給湯無し or空欄,-,-,-
104,60-2,給排水・給湯設備,給湯設備の省エネ運用,,貯湯式電気温水器の夜間・休日の電源停止,3 1d.7,C,◎,,478,327,224,,,,実施,実施無し,対象機器無し or空欄,-,-,-
105,60-3,給排水・給湯設備,給湯設備の省エネ運用,,便所洗面給湯の給湯中止又は給湯期間の短縮,3 1d.8,C,○,,88,459,304,178,,,通年給湯中止,夏季の給湯中止,実施無し,給湯無し or空欄,-,-
106,61-1,昇降機設備,エレベーター・エスカレーターの省エネ制御の導入,,エレベーターの可変電圧可変周波数制御方式,2 3e.1,A,◎,※4,470,123,51,35,201,149,全て,大半,半分,一部,導入無し,エレベーター無し or空欄
107,61-2,昇降機設備,エレベーター・エスカレーターの省エネ制御の導入,,エレベーターの電力回生制御,2 3e.4,A,,※4,78,47,33,25,693,153,全て,大半,半分,一部,導入無し,エレベーター無し or空欄
108,61-3,昇降機設備,エレベーター・エスカレーターの省エネ制御の導入,,エスカレータの自動運転方式又は微速運転方式,2 3e.5,A,○,※4,134,12,9,36,325,513,全て,大半,半分,一部,導入無し,エスカレーター無し or空欄
109,62-1,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,冷凍庫壁面の高断熱化,2 3f.3,C,,※4,79,10,7,23,245,665,全て,大半,半分,一部,導入無し,冷凍設備無し or空欄
110,62-2,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,前室の導入,2 3f.3,C,,※4,18,12,29,35,365,570,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
111,62-3,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,搬入口近接センサーによる扉の自動開閉化,2 3f.3,C,,※4,1,5,1,7,443,572,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
112,62-4,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,着霜制御(デフロスト),2 3f.3,C,,※4,267,31,23,17,119,572,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
113,62-5,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,圧縮機入口ガス管の断熱化,2 3f.3,C,,※4,128,18,14,19,278,572,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
114,62-6,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,冷却器用ファンの台数制御,2 3f.3,C,,※4,27,10,7,18,396,571,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
115,62-7,冷凍・冷蔵設備,高効率冷凍・冷蔵設備の導入,,圧縮機インバータ制御,2 3f.3,C,,※4,76,18,29,29,306,571,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
