項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,5400,5700,3100,3300,4500,2600,3300,3000,3000,3600
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,6200,6800,3800,4000,5200,2900,3700,3200,3200,4000
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,9000,13000,9800,9900,17000,5300,12000,5600,5600,15000
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,9.8,17,14,13,28,7.1,15,7.3,7.6,25
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,2.5,2.7,1.9,1.7,2.8,0.96,1.7,1.3,1.3,2
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,12,19,16,15,30,8.1,17,8.6,8.8,27
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,13,21,16,15,31,8.7,17,9.4,9.6,28
強熱減量,,,,,mg/g,7.6,12,10,10,30.3,6.3,14.1,9.2,9.2,15.7
泥分量,,,,,mg/g,99.1,100,99.9,99.9,100,99.9,100,100,100,100
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
