項目名,毒性等価係数,品川区南大井2／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,世田谷区松原1／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,荒川区南千住5／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,葛飾区堀切2／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,八王子市裏高尾／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,武蔵野市吉祥寺南町3／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,調布市仙川町2／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,福生市熊川／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）,檜原村南郷／定量下限値（pg/L）,検出下限値（pg/L）,分析値（pg/L）
"2,3,4,7,8-PeCDF",0.3,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.,0.05,0.02,N.D.
"1,2,3,4,7,8-HxCDF",0.1,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,N.D.,0.04,0.01,(0.01),0.04,0.01,N.D.,0.04,0.01,N.D.
"1,2,3,6,7,8-HxCDF",0.1,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.,0.08,0.02,N.D.
"1,2,3,7,8,9-HxCDF",0.1,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.,0.11,0.03,N.D.
"2,3,4,6,7,8-HxCDF",0.1,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.
"1,2,3,4,6,7,8-HpCDF",0.01,0.08,0.02,N.D.,0.08,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.08,0.02,N.D.,0.07,0.02,0.08,0.07,0.02,N.D.,0.07,0.02,(0.04)
"1,2,3,4,7,8,9-HpCDF",0.01,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.
OCDF,0.0003,0.17,0.05,N.D.,0.17,0.05,N.D.,0.16,0.05,N.D.,0.16,0.05,N.D.,0.16,0.05,N.D.,0.17,0.05,N.D.,0.16,0.05,(0.05),0.16,0.05,N.D.,0.16,0.05,N.D.
"3,4,4',5-TeCB(#81)",0.0003,0.06,0.02,(0.02),0.06,0.02,N.D.,0.06,0.02,(0.02),0.06,0.02,N.D.,0.06,0.02,N.D.,0.06,0.02,(0.02),0.06,0.02,N.D.,0.06,0.02,N.D.,0.06,0.02,N.D.
"3,3',4,4'-TeCB(#77)",0.0001,0.11,0.03,0.29,0.11,0.03,0.18,0.11,0.03,0.28,0.11,0.03,0.22,0.11,0.03,(0.11),0.11,0.03,0.36,0.11,0.03,0.26,0.11,0.03,0.19,0.11,0.03,0.22
"3,3',4,4',5-PeCB(#126)",0.1,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.
"3,3',4,4',5,5'-HxCB(#169)",0.03,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.,0.09,0.03,N.D.
"2',3,4,4',5-PeCB(#123)",0.00003,0.06,0.02,(0.05),0.06,0.02,(0.03),0.06,0.02,(0.04),0.06,0.02,N.D.,0.06,0.02,(0.02),0.06,0.02,0.07,0.06,0.02,(0.05),0.06,0.02,(0.03),0.06,0.02,(0.05)
"2,3',4,4',5-PeCB(#118)",0.00003,0.06,0.02,1.4,0.06,0.02,0.88,0.06,0.02,1.5,0.06,0.02,0.95,0.06,0.02,0.56,0.06,0.02,1.9,0.06,0.02,1.8,0.06,0.02,0.99,0.06,0.02,1.3
"2,3,3',4,4'-PeCB(#105)",0.00003,0.020,0.006,0.55,0.020,0.006,0.35,0.020,0.006,0.58,0.020,0.006,0.38,0.020,0.006,0.22,0.020,0.006,0.64,0.020,0.006,0.78,0.020,0.006,0.38,0.020,0.006,0.54
"2,3,4,4',5-PeCB(#114)",0.00003,0.07,0.02,(0.04),0.07,0.02,(0.04),0.07,0.02,(0.05),0.07,0.02,(0.05),0.07,0.02,(0.02),0.07,0.02,(0.07),0.07,0.02,(0.05),0.07,0.02,(0.03),0.07,0.02,(0.05)
"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.12,0.04,(0.06),0.12,0.04,N.D.,0.12,0.04,(0.04),0.12,0.04,N.D.,0.12,0.04,N.D.,0.12,0.04,(0.06),0.12,0.04,(0.10),0.12,0.04,N.D.,0.12,0.04,(0.11)
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.09,0.03,0.11,0.09,0.03,(0.04),0.09,0.03,(0.07),0.09,0.03,(0.05),0.09,0.03,(0.03),0.09,0.03,0.09,0.09,0.03,0.24,0.09,0.03,(0.03),0.09,0.03,0.13
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.07,0.02,(0.04),0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,N.D.,0.07,0.02,(0.03),0.07,0.02,0.09,0.07,0.02,N.D.,0.07,0.02,(0.06)
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.,0.13,0.04,N.D.
TeCDDs ,,,,0.19,,,0.07,,,0.11,,,0.08,,,0.06,,,0.12,,,0.29,,,0.06,,,0.14
PeCDDs ,,,,0.08,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,0.13,,,N.D.,,,0.06
HxCDDs ,,,,0.16,,,N.D.,,,N.D.,,,0.08,,,N.D.,,,N.D.,,,0.14,,,0.01,,,0.08
HpCDDs,,,,0.49,,,0.02,,,0.05,,,0.26,,,N.D.,,,0.04,,,0.22,,,0.02,,,0.04
OCDD,,,,2.8,,,0.08,,,0.24,,,1.7,,,N.D.,,,0.15,,,1.3,,,0.07,,,0.17
Total（PCDDs）,,,,3.7,,,0.17,,,0.4,,,2.2,,,0.06,,,0.31,,,2.1,,,0.17,,,0.49
TeCDFs,,,,0.22,,,N.D.,,,0.08,,,0.01,,,0.02,,,0.10,,,0.26,,,0.03,,,0.22
PeCDFs,,,,0.10,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,0.15,,,N.D.,,,0.06
HxCDFs,,,,0.03,,,N.D.,,,N.D.,,,N.D.,,,0.01,,,N.D.,,,0.12,,,N.D.,,,0.12
HpCDFs,,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,0.12,,,N.D.,,,0.07
OCDF,,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,N.D.,,,0.05,,,N.D.,,,N.D.
Total（PCDFs）,,,,0.34,,,N.D.,,,0.08,,,0.01,,,0.03,,,0.1,,,0.7,,,0.03,,,0.48
Total (PCDDs+PCDFs),,,,4,,,0.17,,,0.48,,,2.2,,,0.09,,,0.41,,,2.8,,,0.2,,,0.97
Total Co-PCBs,,,,2.5,,,1.5,,,2.6,,,1.7,,,0.96,,,3.3,,,3.4,,,1.7,,,2.4
TEQ Total(PCDDs+PCDFs),単位：pg-TEQ/L,,,0.025,,,0.021,,,0.021,,,0.022,,,0.021,,,0.021,,,0.024,,,0.021,,,0.021
TEQ Total Co-PCB,単位：pg-TEQ/L,,,0.0025531,,,0.0025,,,0.0026,,,0.0025,,,0.0025,,,0.0026,,,0.0026,,,0.0025,,,0.0025
TEQTotal(PCDDs+PCDFs+Co-PCB),単位：pg-TEQ/L,,,0.028,,,0.024,,,0.024,,,0.025,,,0.024,,,0.024,,,0.026,,,0.024,,,0.024
*：毒性等量は、実測濃度が定量下限未満検出下限以上の数値はそのままの値を用い、検出下限未満の数値は試料における検出下限の1/2の値を用いて算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
