項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/ｌ,2.9,1.8,7.5,0.68,1.7,10,1.6,1.4,0.77
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/ｌ,15,10,60,3.4,11,75,8.6,7.5,2.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/ｌ,21,15,80,4.9,16,100,12,11,4.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/ｌ,ND,ND,(0.03),ND,(0.07),(0.03),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/ｌ,ND,(0.03),(0.05),ND,(0.04),(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/ｌ,ND,ND,(0.04),0.15,ND,(0.04),(0.07),(0.07),0.24
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/ｌ,0.35,0.25,0.83,0.92,0.44,1.2,0.67,0.63,4.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/ｌ,ND,(0.03),(0.05),ND,(0.04),(0.05),(0.04),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/ｌ,ND,ND,(0.04),ND,ND,(0.03),ND,ND,(0.03)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/ｌ,1.5,0.84,2.2,15,1.4,3.2,5.6,5.7,30
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,(0.06),(0.09),ND,ND,ND,ND,ND,(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,ND,(0.07),ND,ND,(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/ｌ,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,(0.06),ND,(0.09),(0.13),ND,(0.09),(0.07),(0.06),(0.15)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/ｌ,2.1,1.6,3.4,40,1.5,4.5,5.9,5.5,50
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/ｌ,0.79,0.31,0.65,0.48,0.32,0.74,(0.31),(0.25),(0.68)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/ｌ,(0.09),ND,(0.12),ND,ND,(0.13),(0.06),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/ｌ,2.6,0.87,2.1,14,0.78,2.7,1.7,1.6,13
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/ｌ,2.1,0.5,1.6,(0.30),(0.70),1.9,(0.4),0.5,(0.4)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/ｌ,8.7,4.1,10,70,4.8,14,14,14,97
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/ｌ,30,19,90,75,21,120,27,25,100
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/ｌ,(0.07),(0.08),(0.10),ND,(0.08),(0.10),(0.08),ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/ｌ,3.5,2.8,4.8,0.63,2.7,6.2,2.1,1.8,1.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/ｌ,(0.08),(0.10),(0.11),ND,(0.15),(0.18),(0.11),(0.07),(0.09)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/ｌ,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/ｌ,3.7,3,5,0.63,2.9,6.5,2.3,1.9,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/ｌ,(0.18),(0.18),0.26,(0.08),(0.17),0.28,(0.10),(0.11),(0.16)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/ｌ,21,19,26,8.7,29,24,14,14,15
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/ｌ,7.0,6.3,8.1,2.7,9.7,7.7,4.8,4.6,5.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/ｌ,0.40,0.35,0.54,(0.17),0.59,0.52,0.30,0.33,0.23
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/ｌ,0.64,0.57,0.91,0.36,1.1,0.75,0.55,0.46,0.61
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/ｌ,1.4,1.2,2.0,0.65,2.2,1.7,1.1,1.1,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/ｌ,0.35,0.31,0.50,(0.17),0.57,0.46,0.26,0.21,(0.31)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/ｌ,(0.06),ND,(0.14),ND,(0.12),(0.12),(0.09),ND,(0.07)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/ｌ,31,28,38,13,43,36,21,21,23
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/ｌ,35,31,43,13,46,42,23,23,24
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/ｌ,65,49,130,89,67,160,50,48,130
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/ｌ,0.09,0.076,0.16,0.077,0.079,0.18,0.076,0.072,0.088
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/ｌ,0.01,0.012,0.014,0.0044,0.017,0.021,0.013,0.0087,0.011
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/ｌ,0.10,0.088,0.18,0.081,0.096,0.20,0.089,0.081,0.099
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/ｌ,0.10,0.092,0.18,0.084,0.10,0.20,0.093,0.084,0.11
浮遊物質量（SS）,,,,,mg/ｌ,11,8,6,2,4,4,4,0,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
