項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,34,21,37,39,66,6.0,37,52,27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.60,0.48,0.36,0.40,0.77,0.27,0.57,0.75,0.55
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,0.23,ND,ND,(0.07),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,35,22,38,40,68,6.5,39,54,28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,1.4,1.0,1.1,1.2,1.4,0.80,2.1,2.6,2.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,79,47,82,84,150,30,110,160,120
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,24,16,19,19,35,16,38,52,41
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,1.6,1.1,1.5,1.4,2.6,1.0,2.7,3.0,2.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,2.3,1.4,1.6,1.6,3.8,0.74,3.3,4.4,2.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,5.7,4.2,4.0,4.1,9.6,1.9,8.5,11,6.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,1.4,1.0,0.94,0.99,2.3,0.51,1.9,2.5,1.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.47,0.40,0.26,0.27,0.66,(0.17),0.60,0.77,0.45
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,120,72,110,110,210,51,170,240,180
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,150,94,150,150,270,58,210,290,200
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,420,370,180,190,350,74,260,370,260
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.57,0.59,0.12,0.13,0.42,0.14,0.21,0.26,0.24
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.068,0.053,0.044,0.048,0.097,0.03,0.067,0.09,0.064
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.63,0.64,0.17,0.18,0.52,0.17,0.28,0.35,0.30
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.64,0.66,0.19,0.2,0.57,0.19,0.31,0.39,0.33
浮遊物質量（SS）,,,,,mg/L,9,11,4,4,11,6,5,3,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
