,地点番号,調査地点,,平成26年度(TEQ)／水質(pg/L)／春季,平成26年度(TEQ)／水質(pg/L)／夏季,平成26年度(TEQ)／水質(pg/L)／秋季,平成26年度(TEQ)／水質(pg/L)／冬季,平成26年度(TEQ)／水質(pg/L)／年度平均,平成26年度(TEQ)／底質 (pg/g),平成25年度(TEQ)／水質(pg/L)／春季,平成25年度(TEQ)／水質(pg/L)／夏季,平成25年度(TEQ)／水質(pg/L)／秋季,平成25年度(TEQ)／水質(pg/L)／冬季,平成25年度(TEQ)／水質(pg/L)／年度平均,平成25年度(TEQ)／底質 (pg/g)
河川（東京都測定）,31,三沢川,天神橋,0.12,-,0.088,-,0.1,0.47,-,-,-,-,-,-
河川（東京都測定）,32,仙川,鎌田橋,0.096,-,0.065,-,0.081,0.42,-,-,-,-,-,-
河川（東京都測定）,33,鶴見川,麻生橋,0.077,-,0.067,-,0.072,0.54,-,-,-,-,-,-
河川（東京都測定）,34,成木川,両郡橋,-,-,0.063,-,0.063,0.27,-,-,-,-,-,-
河川（東京都測定）,35,霞川,金子橋,0.068,-,0.066,-,0.067,0.7,-,-,-,-,-,-
河川（東京都測定）,36,柳瀬川,清柳橋,0.064,-,0.063,-,0.064,0.26,-,-,-,-,-,-
河川（東京都測定）,-,日原川,氷川小橋,-,-,-,-,-,-,-,-,0.062,-,0.062,0.21
河川（東京都測定）,-,平井川,多西橋,-,-,-,-,-,-,-,-,0.2,-,0.2,0.25
河川（東京都測定）,-,北秋川,西川橋,-,-,-,-,-,-,-,-,0.062,-,0.062,0.23
河川（東京都測定）,-,谷地川,下田橋下,-,-,-,-,-,-,0.071,-,0.16,-,0.12,1.5
河川（東京都測定）,-,浅川,中央道北浅川橋,-,-,-,-,-,-,-,-,0.063,-,0.063,0.94
河川（東京都測定）,-,南浅川,横川橋,-,-,-,-,-,-,-,-,0.063,-,0.063,1.6
河川（東京都測定）,-,湯殿川,春日橋,-,-,-,-,-,-,-,-,0.066,-,0.066,0.89
河川（東京都測定）,-,大栗川,向ノ岡大橋,-,-,-,-,-,-,0.072,-,0.064,-,0.068,1.2
河川（東京都測定）,-,野川,天神森橋,-,-,-,-,-,-,0.077,-,0.072,-,0.075,0.44
河川（東京都測定）,-,恩田川,都橋,-,-,-,-,-,-,0.066,-,0.064,-,0.065,1.3
河川（東京都測定）,-,境川,鶴間一号橋,-,-,-,-,-,-,0.076,-,0.064,-,0.07,0.83
河川（東京都測定）,-,黒沢川,落合橋,-,-,-,-,-,-,0.067,-,0.33,-,0.2,0.5
河川（東京都測定）,-,空堀川,梅坂橋,-,-,-,-,-,-,0.067,-,0.063,-,0.065,0.52
河川（東京都測定）,-,黒目川,神宝大橋,-,-,-,-,-,-,0.12,-,0.066,-,0.093,1
河川（国土交通省測定）,37,江戸川,江戸川水門上,0.12,0.17,0.087,0.078,0.11,9.5,0.11,0.23,0.1,0.1,0.14,8.1
河川（国土交通省測定）,38,中川,飯塚橋,1.5,0.64,0.69,0.67,0.88,1.7,1,1.1,1.3,0.78,1,1.7
河川（国土交通省測定）,39,中川,高砂橋,1.1,0.86,0.69,0.94,0.9,-,0.73,1,0.65,0.67,0.76,5.3
河川（国土交通省測定）,40,綾瀬川,内匠橋,1.1,0.52,0.53,1.1,0.81,13,0.72,0.64,0.49,0.31,0.54,22
河川（国土交通省測定）,41,荒川,堀切橋,0.3,0.62,2.0,0.31,0.81,5,0.25,0.33,0.45,0.35,0.35,-
河川（国土交通省測定）,42,多摩川,羽村堰,-,-,0.067,-,0.067,0.21,-,-,-,-,-,-
河川（国土交通省測定）,43,多摩川,田園調布堰,-,-,0.067,-,0.067,0.24,-,-,0.069,-,0.069,0.23
河川（国土交通省測定）,44,多摩川,大師橋,-,-,0.12,-,0.12,4.9,-,-,-,-,-,-
河川（国土交通省測定）,-,多摩川,拝島橋,-,-,-,-,-,-,-,-,-,-,-,-
河川（国土交通省測定）,-,多摩川,多摩川原橋,-,-,-,-,-,-,-,-,0.069,-,0.069,0.46
河川（国土交通省測定）,-,浅川,長沼橋,-,-,-,-,-,-,-,-,0.068,-,0.068,0.37
河川（国土交通省測定）,-,浅川,高幡橋,-,-,-,-,-,-,-,-,-,-,-,-
湖沼,1,小河内ﾀﾞﾑ,ﾀﾞﾑ前定点,0.063,-,0.062,-,0.063,4.5,-,-,-,-,-,-
海域,(1),St.５,船の科学館前,0.079,-,0.094,-,0.087,12,0.076,-,0.075,-,0.076,13
海域,(2),St.６,中央防波堤内側,0.066,-,0.072,-,0.069,16,0.068,-,0.12,-,0.094,22
海域,(3),St.８,荒川河口付近,0.18,-,0.35,-,0.27,17,0.21,-,0.2,-,0.21,17
海域,(4),St.２２,浦安沖,0.066,-,0.076,-,0.071,39,0.066,-,0.066,-,0.066,32
海域,(5),St.２３,京浜島東,0.078,-,0.068,-,0.073,4,0.18,-,0.069,-,0.12,4.8
海域,(6),St.２５,東京灯標際,0.093,-,0.098,-,0.096,16,0.089,-,0.077,-,0.083,16
海域,(7),St.３２,多摩川河口,0.09,-,0.093,-,0.092,10,0.094,-,0.075,-,0.085,8.6
海域,(8),St.３５,多摩川河口沖,0.068,-,0.072,-,0.07,27,0.067,-,0.067,-,0.067,34
注）単位のpg/gは、乾燥重量あたりの換算濃度です。,,,,,,,,,,,,,,,
