項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,2旧江戸川／浦安橋／二重測定,3中川／平井小橋,4新中川／小岩大橋,4新中川／小岩大橋／外部精度管理,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,34多摩川／和田橋,35秋川／東秋川橋,35秋川／東秋川橋／二重測定,36養沢川／新橋,37残堀川／立川橋,38程久保川／玉川橋,39三沢川／天神橋,39三沢川／天神橋／二重測定,40仙川／鎌田橋,41鶴見川／麻生橋,42成木川／両郡橋,43霞川／金子橋,44柳瀬川／清柳橋
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,(0.2),(0.3),(0.3),0.3,0.7,0.63,7.9,3.9,11,1.8,1.2,0.7,9.4,2.3,57,57,15,33,27,11,7.9,0.9,0.7,20,6.2,5.8,N.D.,N.D.,N.D.,N.D.,0.4,0.6,(0.3),(0.2),(0.2),(0.1),(0.2),N.D.,(0.2),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,2.3,2.3,6.5,12,26,21,120,45,160,39,25,6.2,120,39,440,430,200,360,310,130,130,16,9.5,380,130,110,2.3,N.D.,N.D.,N.D.,6.6,17,9.8,7.2,6.6,3.2,5.9,1.3,7.4,0.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,(0.1),(0.2),(0.2),(0.3),0.6,0.5,5.3,2.4,7.8,1.5,1.6,1,6.8,1.8,46,49,10,22,23,6.4,5.4,0.6,0.4,16,4.2,4.1,N.D.,N.D.,N.D.,N.D.,N.D.,0.7,0.4,(0.3),(0.3),(0.2),(0.2),N.D.,(0.3),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,N.D.,(0.1),(0.2),(0.3),0.8,0.52,6.6,2.2,9.2,1.9,1.2,0.4,6.7,2.6,34,42,11,19,23,6.1,6.1,0.6,0.4,22,6.2,5.9,(0.1),N.D.,N.D.,N.D.,0.4,1.2,0.5,0.3,0.4,(0.2),(0.2),N.D.,0.4,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,1.5,1.4,2.8,7.3,16,12,110,34,140,32,22,4.4,100,37,400,430,200,300,330,110,110,10,8,360,110,100,0.2,N.D.,N.D.,N.D.,4.4,20,11,6.5,5.3,2.9,5,1.4,8.7,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,N.D.,N.D.,N.D.,(0.7),1.5,1.1,12,4,17,3,5.5,2.5,15,3.3,89,100,24,46,51,13,12,(0.7),(0.5),24,7.2,6.7,(0.2),N.D.,N.D.,N.D.,(0.4),1.3,(0.7),(0.4),(0.4),N.D.,(0.3),N.D.,(0.6),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,N.D.,N.D.,(0.2),(0.6),1.3,1.1,10,2.6,12,2.7,2.6,(0.6),9.2,2.8,37,39,16,24,27,7.2,7.7,(0.6),(0.5),25,7.2,6.7,N.D.,N.D.,N.D.,N.D.,(0.5),1.6,0.8,(0.5),(0.4),(0.2),(0.4),N.D.,(0.7),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.8,(0.3),1.1,(0.3),(0.4),N.D.,1,(0.3),3,3.7,1.7,2.5,2.7,0.9,(0.6),N.D.,N.D.,2,(0.6),(0.7),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,(0.2),N.D.,(0.2),0.9,1.8,1.5,13,3.7,15,3.9,2.8,(0.5),11,4,35,35,22,26,31,8.1,9.4,0.9,0.8,33,9.5,8.9,(0.2),N.D.,N.D.,N.D.,(0.6),3.5,1.5,0.7,0.8,(0.3),(0.6),(0.2),1.3,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,0.5,0.6,0.9,9,19,15,110,33,170,32,26,6.1,140,36,800,850,260,450,450,130,120,6.8,5.5,260,90,83,1.1,N.D.,N.D.,N.D.,4,20,8.6,4.6,5,1.4,3.4,0.5,7.6,0.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,(0.4),(0.7),0.7,5,9,8.5,53,18,100,15,11,2.1,140,17,1300,1300,200,580,440,130,81,3,2.2,88,33,30,(0.6),N.D.,N.D.,N.D.,1.7,7.8,2.7,1.8,2,(0.5),1.2,(0.4),2.6,(0.3)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,N.D.,N.D.,N.D.,0.8,1.9,1.3,7.5,2.6,14,2.8,5.5,(0.5),12,2.2,74,88,20,44,42,11,9.4,(0.5),(0.3),9.9,3.7,3.7,N.D.,N.D.,N.D.,N.D.,N.D.,1.6,(0.5),(0.3),(0.4),N.D.,(0.3),N.D.,0.7,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,0.7,1.3,1.4,13,25,23,110,44,260,33,26,4.5,360,39,3800,3500,540,1600,1300,380,230,5.5,4,140,57,53,0.6,N.D.,N.D.,N.D.,2,15,5.6,3.9,4,0.7,2.7,0.4,6,0.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,(0.8),(1.6),(1.5),13,22,21,93,53,300,25,20,3.7,950,38,4800,4200,720,2200,1900,550,320,11,2.2,47,26,25,N.D.,N.D.,N.D.,N.D.,(0.7),8.9,2.5,2.6,2.4,N.D.,(1.7),N.D.,3.1,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,5.8,7.2,13,55,110,91,550,210,1000,160,120,25,1700,190,10000,9400,1900,4900,4300,1300,920,49,29,1200,410,380,4.2,N.D.,N.D.,N.D.,18,82,38,25,23,8.2,19,3.6,33,2.7
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,47,67,79,840,1800,1700,4500,950,4600,1100,390,110,7700,650,30000,28000,7300,16000,15000,4600,110000,110,72,3100,960,910,57,N.D.,5.7,6.4,31,240,120,180,180,19,110,18,130,12
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,N.D.,N.D.,(0.2),(0.7),1.4,1,15,10,29,3,2.5,1.7,25,8.6,420,460,51,140,310,63,100,12,1.5,180,65,60,(0.3),N.D.,N.D.,N.D.,(0.3),1.1,(0.4),(0.4),(0.4),(0.4),(0.4),N.D.,(0.3),N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,4.5,6.1,6.5,58,89,74,920,900,3500,330,54,80,2100,370,19000,21000,3600,8100,17000,3200,3500,280,36,5200,2000,1700,8.8,(0.4),1.2,1.7,3.5,21,9.4,7.4,7.2,10,7.4,1.8,6,2.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,N.D.,(0.2),(0.3),1.3,2.4,1.7,32,13,50,7,3.8,1.4,38,15,310,280,63,160,290,51,82,11,2.2,170,68,65,(0.5),N.D.,N.D.,N.D.,(0.5),2,1.5,0.9,1,(0.6),1.2,(0.2),1.1,N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,N.D.,N.D.,N.D.,N.D.,(0.3),0.22,2.6,2.4,5.4,1.3,(0.7),(0.3),3.5,1.1,17,15,6.4,11,18,3.1,4.3,(0.4),(0.3),9,3.1,3.2,N.D.,N.D.,N.D.,N.D.,N.D.,(0.4),(0.3),N.D.,N.D.,N.D.,N.D.,N.D.,(0.2),N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,4.5,6.3,7,60,93,77,970,930,3600,340,61,83,2200,390,20000,22000,3700,8400,18000,3300,3700,300,40,5600,2100,1800,9.6,0.4,1.2,1.7,4.3,24,12,8.7,8.6,11,9,2,7.6,2.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,(0.3),(0.5),(0.4),2.8,5,2.9,69,50,170,19,8.6,8.2,170,45,1500,1300,230,610,1300,190,440,110,7.7,830,350,320,1.9,N.D.,1.2,1.4,1.5,3.9,2.1,1.7,1.4,1.1,2.4,(0.4),1.5,(0.5)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,14,26,25,150,280,200,3800,3000,9600,1300,350,360,12000,2700,69000,58000,13000,35000,63000,12000,20000,6900,450,43000,20000,18000,120,6.9,71,75,72,140,99,55,53,48,100,15,65,20
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,5.9,9.1,8.9,50,91,60,1300,860,2900,290,160,150,3300,1000,25000,21000,4200,12000,22000,4200,7700,2200,150,20000,7900,7200,43,2.8,21,25,23,64,41,28,26,22,45,7.7,28,8.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,(0.3),(0.3),(0.5),3.2,5.5,3.7,77,58,180,20,11,10,170,56,1700,1400,200,530,1400,200,540,110,9.7,1400,410,380,2.2,(0.2),1.3,1.7,1.9,3.5,1.9,1.7,1.6,1.4,2.8,(0.4),1.4,(0.5)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,(0.3),0.8,(0.7),4.8,9.3,7.5,120,66,210,34,15,6.2,300,92,2000,2000,310,920,1900,270,630,240,13,1500,640,550,5.3,N.D.,1.1,1.4,1.2,7.6,6.8,3.3,3.4,2.2,4,(0.7),2.9,0.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,1,2.1,2.3,14,26,18,330,180,580,92,42,17,940,230,5600,5800,780,2400,5300,980,1800,610,32,4400,1900,1700,13,(0.6),3.3,4.1,3.1,17,14,8.5,8.7,6.1,12,1.7,7.4,1.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,(0.2),(0.6),(0.7),3.2,6.9,4.6,82,42,130,22,11,4.1,200,56,1200,1300,190,560,1200,180,400,150,8.1,1000,400,380,3.3,N.D.,(0.7),0.9,0.9,6,4.5,2.7,2.7,1.6,2.9,(0.6),2.3,(0.7)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,N.D.,N.D.,N.D.,0.9,1.7,1.2,20,11,41,6.6,3.1,1,70,14,360,360,50,200,440,47,88,27,1.9,190,77,78,0.8,N.D.,N.D.,N.D.,N.D.,1.9,1.4,0.8,(0.6),(0.3),(0.6),N.D.,(0.7),N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,22,39,38,230,430,300,5800,4300,14000,1800,600,560,17000,4200,110000,91000,19000,52000,97000,18000,32000,10000,670,72000,32000,29000,190,10,100,110,100,240,170,100,97,83,170,26,110,33
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,26,46,46,290,520,370,6800,5200,17000,2100,660,640,19000,4600,130000,110000,23000,61000,110000,21000,35000,11000,710,78000,34000,30000,200,11,100,110,110,270,180,110,110,94,180,28,120,36
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,74,110,120,1100,2300,2000,11000,6100,22000,3200,1000,750,27000,5200,160000,140000,30000,77000,130000,26000,150000,11000,780,81000,35000,31000,260,11,110,120,140,510,300,290,290,110,290,47,250,48
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,0.26,0.3,0.36,1.4,3.1,2.8,16,4.8,21,4.1,2.8,0.89,18,4.1,99,100,27,54,60,15,81,0.79,0.62,34,9.2,8.8,0.32,0.19,0.2,0.2,0.47,2.2,0.78,0.78,0.68,0.29,0.46,0.22,0.89,0.2
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,0.014,0.025,0.035,0.15,0.27,0.19,3.5,1.6,5.9,0.83,0.43,0.17,4.6,1.7,37,33,7.4,19,34,6.1,9.7,1.5,0.25,20,8.1,7.6,0.06,0.013,0.016,0.016,0.057,0.22,0.17,0.097,0.11,0.067,0.13,0.024,0.12,0.014
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,0.27,0.32,0.4,1.6,3.4,3,20,6.4,26,5,3.2,1.1,23,5.8,140,130,35,73,94,21,90,2.2,0.87,54,17,16,0.37,0.21,0.21,0.21,0.53,2.4,0.95,0.88,0.79,0.36,0.59,0.24,1,0.22
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,0.28,0.34,0.41,1.5,3.3,-,21,7.2,29,5.4,3.5,1.2,25,6.6,150,-,38,80,110,23,75,3.4,1,66,22,20,0.41,0.22,0.23,0.23,0.61,2.6,1.1,0.93,0.86,0.41,0.64,0.25,1.1,0.23
強熱減量,,,,,％,1.4,1.8,1.9,2.2,3.1,3.1,6.3,6.5,10,6.6,4.9,4.8,9.2,6.9,9.7,9.7,13,14,10,7.3,6.3,2.3,3.0,7.4,5.3,5.0,7.2,1.5,1.3,1.3,1.6,1.8,1.8,2.6,2.9,1.4,1.8,1.7,2,1.4
泥分率,,,,,％,0.7,0.9,0.8,4.7,10,10,44,16,79,70,5.8,67,59,18,73,73,75,95,92,45,53,1.8,3.0,16,25,22,98,0.5,1,1,1.5,4.9,1.8,2,2.4,0.7,1.2,0.3,3.2,0.5
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
