項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.10),(0.06),0.16,0.17,(0.06),(0.10),0.11,0.14,0.10
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,3.4,2.1,3.1,2.9,2.0,1.9,1.6,2.1,1.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.13,(0.10),0.19,0.19,0.11,(0.08),0.12,0.12,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.10,(0.09),0.18,0.14,(0.08),(0.07),(0.08),0.10,(0.05)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,2.7,1.5,2.8,2.6,1.3,0.87,1.6,2.0,1.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.27,(0.17),0.27,0.29,(0.14),(0.12),(0.19),0.22,(0.12)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.24,(0.20),0.21,(0.19),(0.14),(0.09),(0.15),(0.13),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.21,(0.15),0.23,(0.19),(0.12),(0.09),(0.09),(0.08),(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,4.5,3.4,2.6,2.5,1.7,1.3,2.8,2.9,1.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,1.7,1.2,1.3,1.3,0.74,0.72,2.4,2.9,1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,0.29,(0.20),0.23,0.21,(0.11),ND,(0.19),(0.19),(0.11)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,4.6,3.1,3.2,3.2,1.6,1.6,6.5,7.9,3.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,4.2,2.7,3.7,3.6,1.1,1.9,8.8,9.4,3.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,19,13,15,15,7.7,7.6,21,24,12
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,310,210,87,87,67,43,58,79,46
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.29,(0.16),0.65,0.63,0.25,0.41,0.81,1.2,1.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,34,9.7,97,98,16,40,31,55,39
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.57,0.24,0.96,0.90,0.32,0.49,0.54,0.88,0.73
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,(0.13),(0.09),ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,35,10,99,100,17,41,32,57,41
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.64,0.50,1.5,1.9,0.56,1.2,1.9,3.5,2.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,58,27,190,190,52,99,110,220,200
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,17,9.0,45,46,15,28,40,74,69
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,1.0,0.60,3.6,3.5,1.1,2.1,1.3,3.7,2.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,1.6,1.1,4.0,4.0,1.9,2.3,3.4,4.8,5.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,3.8,2.4,9.7,10,4.7,5.3,6.2,10,11
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.90,0.65,2.4,2.5,1.2,1.4,1.9,2.7,3.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.28,(0.17),0.60,0.70,0.29,0.34,0.47,0.76,0.60
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,83,41,260,260,77,140,170,320,290
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,120,52,360,360,93,180,200,380,330
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,430,260,440,440,160,220,260,460,380
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.46,0.38,0.32,0.32,0.23,0.17,0.21,0.25,0.16
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.064,0.027,0.12,0.11,0.037,0.058,0.063,0.1,0.087
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.52,0.41,0.44,0.43,0.27,0.23,0.27,0.35,0.24
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.51,0.4,0.49,0.47,0.29,0.25,0.3,0.39,0.28
浮遊物質量（SS）,,,,,mg/L,11,10,7,7,7,4,7,6,7
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
