項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,0.55,0.45,5.2,0.50,0.57,2.1,0.96,1.1,0.89
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,2.8,2.7,40,2.4,2.8,14,5.4,5.3,3.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,4.9,3.8,55,4.2,6,21,8.7,8.7,5.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,ND,ND,(0.04),ND,ND,(0.04),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,(0.04),ND,(0.05),ND,ND,(0.04),(0.04),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,ND,ND,(0.03),ND,ND,(0.03),(0.04),(0.03),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.19,(0.06),0.50,0.33,0.34,0.36,0.57,0.58,0.38
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,ND,ND,(0.05),ND,ND,(0.04),(0.03),(0.04),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,ND,ND,(0.05),ND,ND,ND,(0.03),(0.04),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.63,0.27,0.99,1.1,0.89,1.1,2.4,2.5,1.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.10),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.07),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.10),ND,ND,ND,(0.06),ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,0.56,(0.16),1.5,0.73,0.74,1.2,2.2,2.0,1.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,(0.15),(0.11),0.67,(0.11),(0.14),0.31,0.25,0.22,(0.16)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.40,0.26,1.6,0.24,0.40,0.72,0.71,0.71,0.36
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,(0.4),(0.2),1.5,ND,(0.3),0.5,(0.3),(0.3),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,2.2,0.95,6.1,2.4,2.7,3.9,6.2,6.1,3.1
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,7.1,4.8,61,6.6,8.7,25,15,15,9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,4.3,1.0,5.4,1.1,2.9,2.7,2.1,2.2,0.85
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.14),ND,(0.16),ND,(0.13),(0.10),(0.13),(0.14),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,4.4,1,5.6,1.1,3,2.8,2.2,2.3,0.85
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.27,ND,0.22,ND,0.21,(0.16),0.22,(0.18),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,25,12,28,10,27,13,21,21,3.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,7.8,3.0,7.5,2.8,8.8,4.3,6.3,6.6,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.49,(0.19),0.42,(0.18),0.48,0.29,0.38,0.36,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.67,0.44,0.90,0.41,0.80,0.48,0.78,0.83,0.21
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.4,0.70,1.8,0.68,1.7,0.99,1.7,1.8,0.40
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.33,(0.15),0.49,(0.14),0.40,0.22,0.46,0.44,(0.08)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,(0.14),(0.14),(0.12),ND,(0.12),(0.13),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,36,16,39,14,40,19,31,31,5.7
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,40,17,45,15,43,22,33,34,6.5
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,47,22,110,22,51,47,48,48,16
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.063,0.062,0.16,0.062,0.063,0.081,0.075,0.075,0.064
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.016,0.0045,0.019,0.0045,0.015,0.012,0.015,0.016,0.0042
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.079,0.066,0.18,0.066,0.078,0.093,0.090,0.091,0.068
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.085,0.07,0.18,0.07,0.084,0.095,0.098,0.1,0.071
浮遊物質量（SS）,,,,,mg/L,5,3,4,4,2,3,2,2,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
