種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
がれき類,コンクリート塊,,,3543,0,3543,54,54,52,0,2,0,0,3489,13,0,3476,0,3478,3478,3449,3430,19,0,29,19,3495,29,19
がれき類,アスファルト･コンクリート塊,,,1075,0,1075,93,93,90,0,3,0,0,982,0,0,982,0,985,985,967,963,4,0,18,4,1053,18,4
がれき類,その他のがれき類,,,1247,0,1247,9,9,9,0,0,0,0,1238,0,0,1238,0,1238,1238,1222,1129,93,0,16,93,1138,16,93
石綿含有産業廃棄物,,,,44,0,44,0,0,0,0,0,0,0,44,0,0,14,30,44,14,11,5,6,30,3,36,5,3,36
ばいじん,,,,9,0,9,0,0,0,0,0,0,0,9,0,0,9,0,9,9,9,0,9,0,0,9,0,0,9
紙くず,,,,56,11,45,2,2,2,0,0,0,0,43,0,0,43,0,43,43,34,34,0,0,9,0,36,9,0
木くず,,,,344,1,343,2,2,2,0,0,0,0,341,0,0,341,0,341,341,294,291,3,0,47,3,293,47,3
繊維くず,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,3,2,1,0,0,1,2,0,1
動植物性残さ,,,,34,8,26,1,0,0,0,0,0,1,25,0,0,25,0,25,25,16,16,0,0,9,0,16,10,0
動物系固形不要物,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,3,0,3,3,2,2,0,0,1,0,2,1,0
動物のふん尿,,,,39,0,39,0,0,0,0,0,0,0,39,0,0,39,0,39,39,23,23,0,0,16,0,23,16,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,300,0,300,0,0,0,0,0,0,0,300,0,0,298,2,300,298,276,203,73,2,22,75,203,22,75
その他,,,,5,0,5,0,0,0,0,0,0,0,5,0,0,5,0,5,5,3,3,0,0,2,0,3,2,0
特別管理産業廃棄物,,,,71,0,71,0,0,0,0,0,0,0,71,0,0,65,6,71,65,16,15,1,6,49,7,15,49,7
特別管理産業廃棄物,廃油,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0
特別管理産業廃棄物,廃酸,,,13,0,13,0,0,0,0,0,0,0,13,0,0,13,0,13,13,9,9,0,0,4,0,9,4,0
特別管理産業廃棄物,廃アルカリ,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,1,0,0,1,0,1,1,0
特別管理産業廃棄物,感染性廃棄物,,,39,0,39,0,0,0,0,0,0,0,39,0,0,39,0,39,39,3,2,1,0,36,1,2,36,1
特別管理産業廃棄物,特定有害廃棄物,,,15,0,15,0,0,0,0,0,0,0,15,0,0,9,6,15,9,3,3,0,6,6,6,3,6,6
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,2,0,0,0,0,2,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,8,0,8,0,0,0,0,0,0,0,8,0,0,2,6,8,2,1,1,0,6,1,6,1,1,6
特別管理産業廃棄物,特定有害廃棄物,その他,,5,0,5,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,0,0,0,5,0,0,5,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
