項目名,毒性等価係数,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
OCDD,,―,―,1600,―,―,2500,―,―,1900,―,―,2000,―,―,5800
Total（PCDDs）,,―,―,7200,―,―,8400,―,―,8100,―,―,8300,―,―,13000
TeCDFs,,―,―,1000,―,―,1000,―,―,1100,―,―,1100,―,―,1100
PeCDFs,,―,―,1300,―,―,1400,―,―,1400,―,―,1500,―,―,1400
HxCDFs,,―,―,1300,―,―,1400,―,―,1400,―,―,1500,―,―,1500
HpCDFs,,―,―,800,―,―,850,―,―,890,―,―,950,―,―,990
OCDF,,―,―,220,―,―,250,―,―,260,―,―,280,―,―,310
Total（PCDFs）,,―,―,4700,―,―,5000,―,―,5100,―,―,5300,―,―,5400
Total (PCDDs+PCDFs),,―,―,12000,―,―,13000,―,―,13000,―,―,14000,―,―,18000
Total Co-PCBs,,―,―,890,―,―,840,―,―,1600,―,―,1200,―,―,1100
TEQ Total(PCDDs+PCDFs),,,,240,,,270,,,270,,,280,,,290
TEQ Total Co-PCB,,,,8.3,,,8.4,,,10,,,10,,,9.8
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,250,,,280,,,280,,,290,,,300
含水率（％）,,,,12.7,,,15.2,,,13.7,,,13.8,,,14.3
強熱減量（％）,,,,25.1,,,28.3,,,27.9,,,28.9,,,28.3
土色,,,,黒褐,,,暗褐,,,黒褐,,,暗褐,,,黒褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,
