項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,3.2,3.3,3.5,3.4,1.9,0.64,0.51,2.8,0.65
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,7.7,9.3,6.5,6.6,2.3,1.1,1.2,7.1,1.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,16,19,12,12,4.5,2.2,2.3,13,2.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,150,180,82,94,27,21,12,65,14
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,210,250,120,130,45,27,17,86,20
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,(0.09),(0.09),0.54,0.60,0.12,(0.08),0.12,0.26,(0.05)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,0.14,(0.10),0.23,0.22,0.14,(0.05),(0.06),0.18,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.09),(0.08),0.45,0.55,0.13,(0.07),(0.10),0.24,(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,2.8,2.6,5.5,5.6,2.7,0.89,1.1,2.8,1.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.13,0.12,0.51,0.53,0.15,(0.08),0.10,0.24,(0.05)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.12,0.11,0.33,0.35,0.13,(0.05),(0.07),0.16,(0.03)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,2.9,2.4,4.8,4.8,2.9,0.67,2.0,3.3,2.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.25,0.22,0.92,0.62,0.27,(0.12),(0.12),0.39,(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.20),(0.18),0.46,0.36,0.20,(0.06),(0.07),0.21,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.19),(0.18),0.37,0.32,0.22,(0.07),ND,(0.18),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,4.7,4.5,6.4,5.7,2.3,0.64,3.0,6.1,2.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,1.7,1.6,3.7,3.7,1.0,0.59,0.88,4.6,0.78
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,0.30,0.36,0.67,0.53,(0.19),ND,ND,0.30,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,4.8,4.3,10,10,2.3,1.4,2.6,13,2.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,4.5,4.3,12,13,1.9,2.2,2.9,18,2.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,20,18,39,39,12,5.8,12,43,10
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,230,270,160,170,58,33,28,130,30
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.31,0.25,1.8,1.9,0.77,0.29,0.27,1.5,0.62
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,19,17,220,180,67,17,12,81,23
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.48,0.38,2.6,2.1,0.91,0.22,0.26,1.3,0.37
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,0.20,0.20,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,20,18,220,180,69,18,13,84,24
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.68,0.58,3.8,3.0,1.4,0.46,0.66,2.3,0.73
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,55,54,340,330,220,52,52,260,89
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,17,16,100,110,50,16,16,86,31
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,1.2,1.0,7.8,8.2,3.8,1.3,0.82,4.8,1.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,1.5,1.5,7.7,7.7,5.1,1.0,1.1,7.5,2.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,3.6,3.8,19,19,13,2.6,2.6,18,4.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.98,0.94,4.7,4.4,3.0,0.61,0.63,4.2,1.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.27,0.29,1.2,1.2,0.86,(0.18),(0.20),1.2,0.30
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,80,78,480,480,300,74,74,380,130
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,100,96,710,670,370,92,87,470,150
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,330,360,870,840,420,120,110,600,180
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.43,0.46,0.64,0.63,0.28,0.12,0.13,0.38,0.097
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.053,0.043,0.3,0.25,0.11,0.027,0.03,0.15,0.044
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.48,0.50,0.94,0.88,0.39,0.14,0.16,0.53,0.14
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.49,0.49,1.0,0.98,0.44,0.16,0.18,0.59,0.16
浮遊物質量（SS）,,,,,mg/L,11,10,20,20,10,2,2,6,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
