ダイオキシン類異性体等分析結果（第３回 令和元年１１月：区部）,,,,,,,,,,,,,,,,ダイオキシン類異性体等分析結果（第３回 令和元年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（令和元年11月13日～11月20日）,,,,,,,,,,単位：pg/m3,,,実測濃度,,,（令和元年11月13日～11月20日）,,,,,,,,,,,,,,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉　","⑧江戸川区
春江町局",,,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,"定量
下限値","検出
下限値","⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩郡
檜原局","定量
下限値","検出
下限値"
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.003,0.045,0.045,0.042,0.073,0.045,0.082,0.12,0.075,,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.011,0.003,0.053,0.038,,0.012,0.003,0.11,0.039,0.07,0.054,0.054,0.055,,0.011,0.004,0.001
,,HpCDDs,－,－,－,0.094,0.1,0.088,0.15,0.096,0.17,0.25,0.15,,,,,HpCDDs,－,－,－,0.12,0.074,,－,－,0.24,0.076,0.15,0.11,0.11,0.11,,0.026,－,－
,,OCDD,0.0003,0.012,0.003,0.088,0.12,0.11,0.13,0.099,0.18,0.23,0.16,,,,,OCDD,0.0003,0.021,0.006,0.12,0.081,,0.012,0.003,0.21,0.097,0.22,0.1,0.13,0.14,,0.026,0.004,0.001
,,Total PCDDs,－,－,－,0.53,0.59,0.5,0.71,0.48,0.99,1.2,0.88,,,,,Total PCDDs,－,－,－,0.48,0.33,,－,－,1.4,0.38,0.83,0.64,0.47,0.63,,0.13,－,－
PCDFs,,"1,2,7,8-TeCDF",0,0.0024,0.0006,0.014,0.018,0.012,0.014,0.0094,0.019,0.021,0.023,,,PCDFs,,"1,2,7,8-TeCDF",0,－,－,0.008,0.009,,0.0024,0.0006,0.021,0.007,0.012,0.0098,0.0099,0.014,,0.0018,0.0008,0.0002
,,"2,3,7,8-TeCDF",0.1,0.0024,0.0006,0.0088,0.01,0.0071,0.0085,0.0062,0.011,0.014,0.015,,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.004,0.005,,0.0024,0.0006,0.016,0.0045,0.0083,0.0068,0.0063,0.0084,,0.001,0.0008,0.0002
,,"1,3,6,8-TeCDF",0,0.0024,0.0006,0.018,0.021,0.014,0.016,0.011,0.023,0.027,0.031,,,,,"1,3,6,8-TeCDF",0,－,－,0.009,0.01,,0.0024,0.0006,0.028,0.0096,0.014,0.014,0.012,0.016,,0.0033,0.0008,0.0002
,,TeCDFs,－,－,－,0.4,0.47,0.34,0.36,0.26,0.54,0.58,0.67,,,,,TeCDFs,－,－,－,0.21,0.18,,－,－,0.65,0.19,0.33,0.29,0.24,0.39,,0.052,－,－
,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.014,0.012,0.007,0.012,0.008,0.017,0.021,0.02,,,,,"1,2,3,7,8-PeCDF",0.03,0.006,0.002,0.009,0.008,,0.005,0.001,0.02,0.006,0.01,0.008,0.006,0.01,,0.0012,0.0016,0.0005
,,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.013,0.016,0.011,0.017,0.01,0.025,0.024,0.02,,,,,"2,3,4,7,8-PeCDF",0.3,0.006,0.002,0.009,0.007,,0.004,0.001,0.024,0.007,0.013,0.011,0.009,0.015,,0.0021,0.0015,0.0004
,,PeCDFs,－,－,－,0.28,0.33,0.19,0.26,0.15,0.39,0.42,0.38,,,,,PeCDFs,－,－,－,0.16,0.12,,－,－,0.42,0.13,0.23,0.19,0.13,0.25,,0.035,－,－
,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.022,0.02,0.014,0.022,0.013,0.032,0.034,0.027,,,,,"1,2,3,4,7,8-HxCDF",0.1,0.007,0.002,0.013,0.008,,0.006,0.002,0.035,0.009,0.017,0.016,0.014,0.022,,0.003,0.002,0.0006
,,"1,2,3,6,7,8-HxCDF",0.1,0.005,0.001,0.021,0.019,0.012,0.023,0.01,0.033,0.036,0.026,,,,,"1,2,3,6,7,8-HxCDF",0.1,0.008,0.002,0.014,0.01,,0.005,0.001,0.026,0.009,0.013,0.015,0.012,0.021,,0.0025,0.0016,0.0005
,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,ND,0.004,ND,0.003,ND,0.006,0.006,0.003,,,,,"1,2,3,7,8,9-HxCDF",0.1,0.011,0.003,ND,ND,,0.008,0.002,0.006,ND,ND,0.004,0.003,0.003,,ND,0.0026,0.0008
,,"2,3,4,6,7,8-HxCDF",0.1,0.0018,0.0006,0.019,0.019,0.013,0.023,0.012,0.035,0.03,0.027,,,,,"2,3,4,6,7,8-HxCDF",0.1,0.007,0.002,0.016,0.013,,0.0018,0.0006,0.029,0.0097,0.015,0.017,0.014,0.022,,0.0032,0.0006,0.0002
,,HxCDFs,－,－,－,0.23,0.22,0.14,0.23,0.12,0.33,0.33,0.27,,,,,HxCDFs,－,--,--,0.12,0.083,,－,－,0.33,0.094,0.16,0.17,0.14,0.23,,0.028,－,－
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.012,0.003,0.074,0.071,0.045,0.092,0.046,0.13,0.11,0.091,,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.074,0.047,,0.012,0.003,0.11,0.041,0.054,0.066,0.062,0.08,,0.013,0.004,0.001
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.008,0.003,0.015,0.013,0.008,0.015,0.007,0.019,0.018,0.016,,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.01,0.003,0.012,0.008,,0.008,0.003,0.014,0.007,0.01,0.013,0.009,0.014,,0.0017,0.0028,0.0009
,,HpCDFs,－,－,－,0.13,0.12,0.078,0.15,0.066,0.2,0.18,0.16,,,,,HpCDFs,－,－,－,0.12,0.076,,－,－,0.18,0.07,0.09,0.11,0.1,0.13,,0.019,－,－
,,OCDF,0.0003,0.012,0.003,0.056,0.062,0.041,0.057,0.033,0.082,0.048,0.063,,,,,OCDF,0.0003,0.022,0.006,0.071,0.039,,0.012,0.003,0.063,0.043,0.028,0.051,0.045,0.037,,0.01,0.004,0.001
,,Total PCDFs,－,－,－,1.1,1.2,0.79,1.1,0.63,1.5,1.6,1.5,,,,,Total PCDFs,－,－,－,0.68,0.5,,－,－,1.6,0.52,0.83,0.81,0.66,1,,0.15,－,－
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.0027,0.0009,0.02,0.02,0.045,0.013,0.0078,0.019,0.016,0.023,,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.011,0.003,0.007,0.006,,0.0027,0.0009,0.02,0.009,0.012,0.011,0.008,0.012,,ND,0.0009,0.0003
,,"3,3',4,4'-TeCB (#77)",0.0001,0.012,0.003,0.3,0.2,0.6,0.12,0.09,0.13,0.11,0.13,,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.008,0.002,0.061,0.056,,0.012,0.003,0.079,0.063,0.07,0.14,0.068,0.091,,0.02,0.004,0.001
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.019,0.02,0.013,0.014,0.008,0.023,0.019,0.019,,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.006,0.002,0.009,0.008,,0.004,0.001,0.022,0.007,0.012,0.011,0.006,0.014,,0.002,0.0015,0.0005
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.008,0.002,0.005,0.005,0.003,0.004,0.003,ND,0.006,0.005,,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.005,0.002,0.003,ND,,0.008,0.002,0.006,ND,0.004,0.003,ND,0.003,,ND,0.0026,0.0008
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.004,0.001,0.057,0.045,0.13,0.024,0.011,0.025,0.022,0.019,,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.008,0.002,0.011,0.009,,0.004,0.001,0.014,0.013,0.012,0.013,0.014,0.013,,0.0044,0.0014,0.0004
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,2.7,1.8,6.1,0.84,0.37,0.85,0.67,0.7,,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,0.42,0.33,,0.009,0.003,0.44,0.36,0.49,0.5,0.46,0.46,,0.1,0.003,0.001
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.92,0.62,1.6,0.31,0.13,0.3,0.24,0.26,,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.01,0.003,0.15,0.12,,0.009,0.003,0.16,0.12,0.16,0.18,0.14,0.17,,0.031,0.003,0.0009
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.006,0.002,0.07,0.06,0.17,0.028,0.015,0.034,0.028,0.032,,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.014,0.011,,0.006,0.002,0.023,0.015,0.021,0.017,0.016,0.018,,0.0044,0.0019,0.0006
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.0033,0.0009,0.056,0.042,0.06,0.021,0.01,0.025,0.022,0.018,,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.009,0.003,0.011,0.008,,0.0033,0.0009,0.016,0.011,0.015,0.015,0.012,0.016,,0.0023,0.0011,0.0003
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.0033,0.0009,0.096,0.081,0.099,0.038,0.019,0.047,0.04,0.038,,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.026,0.021,,0.0033,0.0009,0.029,0.016,0.027,0.025,0.019,0.032,,0.0039,0.0011,0.0003
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.007,0.002,0.023,0.019,0.021,0.011,0.006,0.015,0.013,0.012,,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.006,0.002,0.007,0.006,,0.007,0.002,0.009,0.005,0.008,0.007,0.005,0.011,,0.0012,0.0022,0.0007
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.012,0.003,0.012,0.009,0.006,0.008,ND,0.015,0.01,0.009,,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.006,0.004,,0.012,0.003,0.012,ND,0.005,0.007,0.004,0.007,,ND,0.004,0.001
,,Total Co-PCBs,－,－,－,4.3,2.9,8.9,1.4,0.7,1.5,1.2,1.3,,,,,Total Co-PCBs,－,－,－,0.72,0.58,,－,－,0.83,0.62,0.84,0.9,0.76,0.9,,0.17,－,－
Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,5.9,4.7,10,3.2,1.8,4,4,3.7,,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,1.9,1.4,,－,－,3.9,1.5,2.5,2.4,1.9,2.5,,0.44,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pg-TEQ/m3,,,毒性等量,,,,,,,,,,,,,,,,,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0028,0.006,0.0042,0.0088,0.0046,0.012,0.022,0.011,,,PCDDs,,,－,－,－,0.0028,0.0038,,－,－,0.0062,0.0022,0.011,0.0059,0.0042,0.0073,,0.0007,－,－
PCDFs,,,－,－,－,0.012,0.013,0.0088,0.014,0.008,0.021,0.021,0.017,,,PCDFs,,,－,－,－,0.0087,0.0067,,－,－,0.02,0.0061,0.01,0.01,0.0085,0.013,,0.0018,－,－
Co-PCBs,,,－,－,－,0.0022,0.0023,0.0017,0.0016,0.00092,0.0024,0.0021,0.0021,,,Co-PCBs,,,－,－,－,0.001,0.00085,,－,－,0.0024,0.00076,0.0014,0.0012,0.00066,0.0015,,0.00022,－,－
Total DXN,,,－,－,－,0.017,0.021,0.015,0.025,0.013,0.035,0.045,0.03,,,Total DXN,,,－,－,－,0.013,0.011,,－,－,0.029,0.009,0.022,0.017,0.013,0.022,,0.0027,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(5)⑰西多摩郡檜原局については、吸引流量300L/minで7日間連続採取した。,,,,,,,,,,,,,,,,,,
