項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.15),ND,(0.11),(0.13),(0.16),ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,61,26,26,44,53,29,19,19,7.1
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,69,30,30,51,58,32,20,20,7.9
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,83,44,76,150,74,49,48,49,22
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.069,0.067,0.104,0.169,0.069,0.07,0.063,0.065,0.065
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.0225,0.013,0.0151,0.0259,0.0219,0.0121,0.0046,0.0046,0.0042
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.092,0.080,0.12,0.19,0.090,0.082,0.068,0.069,0.070
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.099,0.084,0.12,0.19,0.097,0.087,0.071,0.073,0.072
浮遊物質量（SS）,,,,,mg/L,2,2,4,11,2,2,2,2,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
