項目名,毒性等価係数,八王子市小比企町／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市下連雀6／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,調布市八雲台1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平市花小金井6／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,国立市富士見台2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,清瀬市中清戸1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩市落合2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大島町元町字佐吾右衛門野地／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,新島村本村4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,神津島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小笠原村母島字元地／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDF",0,0.2,0.07,(0.18),0.2,0.07,4.1,0.2,0.07,1,0.3,0.08,0.54,0.3,0.08,2.4,0.2,0.07,0.9,0.3,0.08,0.99,0.2,0.07,0.2,0.2,0.07,0.49,0.2,0.07,0.91,0.2,0.07,N.D.
"1,2,7,8-TeCDF",0,0.2,0.07,0.24,0.2,0.07,9.0,0.2,0.07,1.7,0.3,0.08,0.94,0.3,0.08,4.2,0.2,0.07,1.2,0.3,0.08,1.2,0.2,0.07,0.44,0.2,0.07,1.2,0.2,0.07,1.3,0.2,0.07,N.D.
"2,3,7,8-TeCDF",0.1,0.2,0.07,0.2,0.2,0.07,7.8,0.2,0.07,1.6,0.3,0.08,0.77,0.3,0.08,3.8,0.2,0.07,1.2,0.3,0.08,1.1,0.2,0.07,0.32,0.2,0.07,1.4,0.2,0.07,1.2,0.2,0.07,(0.09)
"1,2,3,7,8-PeCDF",0.03,0.6,0.2,(0.2),0.6,0.2,7.8,0.6,0.2,1.3,0.6,0.2,0.8,0.6,0.2,4.1,0.6,0.2,1.3,0.6,0.2,1.6,0.6,0.2,(0.5),0.5,0.2,2.3,0.6,0.2,1.6,0.5,0.2,N.D.
"2,3,4,7,8-PeCDF",0.3,0.6,0.2,(0.4),0.7,0.2,10,0.6,0.2,2.0,0.7,0.2,1.1,0.7,0.2,5.6,0.6,0.2,1.9,0.7,0.2,2.2,0.6,0.2,0.6,0.6,0.2,1.6,0.6,0.2,1.7,0.6,0.2,N.D.
"1,2,3,4,7,8-HxCDF",0.1,0.3,0.08,0.61,0.3,0.09,14,0.3,0.09,2.6,0.3,0.1,2.3,0.3,0.09,6.6,0.3,0.09,2.4,0.3,0.09,3.5,0.3,0.08,0.71,0.3,0.08,3.7,0.3,0.08,2.0,0.3,0.08,0.51
"1,2,3,6,7,8-HxCDF",0.1,0.2,0.05,0.61,0.2,0.05,14,0.2,0.05,2.4,0.2,0.06,1.9,0.2,0.05,7.7,0.2,0.05,2.4,0.2,0.05,4.8,0.2,0.05,0.75,0.2,0.05,2.3,0.2,0.05,2.3,0.2,0.05,0.3
"1,2,3,7,8,9-HxCDF",0.1,1,0.4,N.D.,1,0.4,(0.8),1,0.4,N.D.,2,0.6,N.D.,1,0.4,(0.6),1,0.4,N.D.,2,0.5,(0.7),1,0.4,N.D.,1,0.4,N.D.,1,0.4,N.D.,1,0.4,N.D.
"2,3,4,6,7,8-HxCDF",0.1,0.4,0.1,0.8,0.4,0.1,15,0.4,0.1,2.5,0.4,0.1,2.0,0.4,0.1,8.6,0.4,0.1,3.0,0.4,0.1,7.7,0.4,0.1,0.9,0.4,0.1,2.5,0.4,0.1,1.9,0.4,0.1,(0.3)
"1,2,3,4,6,7,8-HpCDF",0.01,0.5,0.2,2.9,0.6,0.2,56,0.5,0.2,11,0.6,0.2,17,0.6,0.2,30,0.5,0.2,11,0.6,0.2,29,0.5,0.2,3.5,0.5,0.2,9.5,0.5,0.2,19,0.5,0.2,5.0
"1,2,3,4,7,8,9-HpCDF",0.01,1,0.4,N.D.,2,0.5,6.8,1,0.4,1.5,2,0.5,2.8,2,0.5,3.5,1,0.4,1.9,2,0.5,5.3,1,0.4,N.D.,1,0.4,(0.9),1,0.4,1.4,1,0.4,(0.7)
OCDF,0.0003,2,0.7,4.0,3,0.8,40,2,0.7,8.3,3,0.8,44,3,0.8,24,2,0.7,15,3,0.8,44,2,0.7,3.7,2,0.7,7.7,2,0.7,92,2,0.7,24
"3,4,4',5-TeCB(#81)",0.0003,0.6,0.2,N.D.,0.7,0.2,3.5,0.7,0.2,1.2,0.7,0.2,(0.4),0.7,0.2,1.5,0.7,0.2,(0.6),0.7,0.2,(0.5),0.6,0.2,N.D.,0.6,0.2,N.D.,0.7,0.2,N.D.,0.6,0.2,N.D.
"3,3',4,4'-TeCB(#77)",0.0001,0.7,0.2,2.4,0.7,0.2,40,0.7,0.2,30,0.8,0.2,5.3,0.7,0.2,22,0.7,0.2,10,0.8,0.2,5.8,0.7,0.2,1.0,0.7,0.2,1.2,0.7,0.2,0.8,0.7,0.2,1.2
"3,3',4,4',5-PeCB(#126)",0.1,0.4,0.1,0.5,0.5,0.1,19,0.5,0.1,9.1,0.5,0.2,2.3,0.5,0.1,9.0,0.5,0.1,2.4,0.5,0.1,3.4,0.4,0.1,0.7,0.4,0.1,1.3,0.5,0.1,0.6,0.4,0.1,(0.3)
"3,3',4,4',5,5'-HxCB(#169)",0.03,2,0.5,N.D.,2,0.5,4.3,2,0.5,(0.9),2,0.5,(0.8),2,0.5,2.8,2,0.5,(0.7),2,0.5,2.9,2,0.5,N.D.,1,0.4,(0.9),2,0.5,N.D.,1,0.4,N.D.
"2',3,4,4',5-PeCB(#123)",0.00003,0.9,0.3,(0.3),1,0.3,14,6,2,66,1,0.3,1.8,1,0.3,7.2,0.9,0.3,1.4,1,0.3,1.7,0.9,0.3,(0.6),0.9,0.3,(0.5),0.9,0.3,N.D.,0.9,0.3,(0.3)
"2,3',4,4',5-PeCB(#118)",0.00003,0.9,0.3,13,0.9,0.3,280,5,2,4200,1,0.3,40,0.9,0.3,120,0.9,0.3,35,1,0.3,27,0.9,0.3,6.5,0.9,0.3,6.6,0.9,0.3,3.0,0.9,0.3,7.5
"2,3,3',4,4'-PeCB(#105)",0.00003,1,0.3,6.6,1,0.3,150,6,2,1400,1,0.3,17,1,0.3,62,1,0.3,21,1,0.3,13,1,0.3,2.2,1,0.3,4.1,1,0.3,1.5,1,0.3,4.0
"2,3,4,4',5-PeCB(#114)",0.00003,1,0.3,(0.4),1,0.3,6.1,7,2,68,1,0.4,(0.9),1,0.3,2.7,1,0.3,(0.9),1,0.4,(0.7),1,0.3,N.D.,1,0.3,N.D.,1,0.3,N.D.,1,0.3,N.D.
"2,3',4,4',5,5'-HxCB(#167)",0.00003,0.8,0.2,1.5,0.8,0.2,50,0.8,0.2,270,0.9,0.3,4.8,0.8,0.3,24,0.8,0.2,5.0,0.9,0.3,4.4,0.8,0.2,1.6,0.8,0.2,2.6,0.8,0.2,(0.5),0.8,0.2,1.4
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.7,0.2,3.0,0.7,0.2,99,0.7,0.2,580,0.8,0.2,9.9,0.7,0.2,38,0.7,0.2,8.3,0.7,0.2,7.0,0.7,0.2,2.9,0.7,0.2,3.8,0.7,0.2,0.8,0.7,0.2,2.2
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.7,0.2,1.1,0.7,0.2,33,0.7,0.2,150,0.8,0.2,3.3,0.8,0.2,15,0.7,0.2,3.4,0.8,0.2,4.2,0.7,0.2,1.1,0.7,0.2,2.0,0.7,0.2,(0.4),0.7,0.2,0.8
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,0.9,0.3,(0.4),0.9,0.3,11,0.9,0.3,17,1,0.3,1.2,0.9,0.3,6.0,0.9,0.3,1.3,0.9,0.3,2.9,0.9,0.3,(0.5),0.8,0.3,1.3,0.9,0.3,N.D.,0.9,0.3,N.D.
TeCDDs ,,,,9.8,,,68,,,15,,,14,,,44,,,47,,,52,,,2.1,,,7.6,,,22,,,1.0
PeCDDs ,,,,3.3,,,62,,,17,,,13,,,45,,,19,,,27,,,3.0,,,12,,,24,,,1.0
HxCDDs ,,,,5.4,,,91,,,51,,,33,,,67,,,27,,,48,,,8.3,,,18,,,38,,,5.6
HpCDDs,,,,12,,,130,,,50,,,93,,,79,,,58,,,93,,,10,,,26,,,160,,,24
OCDD,,,,100,,,300,,,89,,,1200,,,230,,,480,,,500,,,36,,,190,,,5100,,,340
Total（PCDDs）,,,,130,,,650,,,220,,,1300,,,460,,,630,,,720,,,59,,,250,,,5300,,,370
TeCDFs,,,,6.2,,,170,,,33,,,18,,,89,,,29,,,32,,,7.6,,,16,,,25,,,1.2
PeCDFs,,,,5.3,,,160,,,29,,,17,,,83,,,26,,,37,,,7.4,,,23,,,25,,,1.7
HxCDFs,,,,5.5,,,140,,,26,,,26,,,74,,,27,,,53,,,7.9,,,24,,,26,,,5.4
HpCDFs,,,,5.6,,,89,,,18,,,49,,,49,,,24,,,59,,,4.7,,,15,,,50,,,15
OCDF,,,,4.0,,,40,,,8.3,,,44,,,24,,,15,,,44,,,3.7,,,7.7,,,92,,,24
Total（PCDFs）,,,,27,,,600,,,110,,,150,,,320,,,120,,,220,,,31,,,85,,,220,,,48
Total (PCDDs+PCDFs),,,,160,,,1300,,,340,,,1500,,,780,,,750,,,950,,,91,,,340,,,5600,,,420
Total Co-PCBs,,,,29,,,710,,,6800,,,88,,,310,,,91,,,73,,,17,,,24,,,7.7,,,18
Total (PCDDs+PCDFs+Co-PCBs),,,,190,,,2000,,,7100,,,1600,,,1100,,,840,,,1000,,,110,,,360,,,5600,,,440
TEQ Total(PCDDs+PCDFs),,,,0.43,,,16,,,4.9,,,4.5,,,9.9,,,3.8,,,6.4,,,1.1,,,2.6,,,8.9,,,0.77
TEQ Total Co-PCB,,,,0.051,,,2.05,,,1.14,,,0.23,,,0.99,,,0.24,,,0.43,,,0.071,,,0.13,,,0.06,,,0.0006
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,0.48,,,18,,,6,,,4.7,,,11,,,4.1,,,6.8,,,1.1,,,2.8,,,9,,,0.77
含水率（％）,,,,3.6,,,5.0,,,3.2,,,13.0,,,6.4,,,2.6,,,12.3,,,3.5,,,0.6,,,0.9,,,4.4
強熱減量（％）,,,,5.0,,,8.7,,,5.4,,,17.4,,,12.6,,,5.0,,,18.2,,,4.0,,,4.3,,,3.6,,,10.3
土色,,,,褐灰,,,黒褐,,,黒褐,,,暗褐,,,黒褐,,,灰褐,,,黒褐,,,黒,,,灰褐,,,褐,,,赤褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
