No,項目番号,点検項目【大分類】,点検項目【中分類】,点検項目【小分類】,点検項目,対策番号 ※1,効果の目安 ※2,エネルギーシェア ※3,備考 ※4,大規模事業所の取組状況【1】(事業所数),大規模事業所の取組状況【2】(事業所数),大規模事業所の取組状況【3】(事業所数),大規模事業所の取組状況【4】(事業所数),大規模事業所の取組状況【5】(事業所数),大規模事業所の取組状況【6】(事業所数),凡例【1】 ※5,凡例【2】 ※5,凡例【3】 ※5,凡例【4】 ※5,凡例【5】 ※5,凡例【6】 ※5
11,3-9,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,,冷却塔ファン等の台数制御又は発停制御,2 1b.4,C,-,※4,19,14,5,6,70,72,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
12,4-1,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,永久磁石(IPM)モータ,2 1b.8,A,-,※4,1,0,1,2,85,97,全て,大半,半分,一部,導入無し,熱源ポンプ無し or空欄
13,4-2,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,プレミアム効率（IE3）モータ,2 1b.8,A,-,※4,3,0,6,11,70,96,全て,大半,半分,一部,導入無し,熱源ポンプ無し or空欄
14,4-3,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,高効率（IE2）モータ,2 1b.8,A,-,※4,8,1,7,7,67,96,全て,大半,半分,一部,導入無し,熱源ポンプ無し or空欄
15,4-4,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,熱源2次ポンプ変流量制御,2 1b.5,A,-,※4,20,7,7,9,32,111,全て,大半,半分,一部,導入無し,熱源2次ポンプ無し or空欄
16,4-5,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,熱源1次ポンプ変流量制御,2 1b.11,A,-,※4,14,3,6,12,41,110,全て,大半,半分,一部,導入無し,熱源1次ポンプ無し or空欄
17,4-6,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,冷却水ポンプ変流量制御,2 1b.12,A,-,※4,12,2,7,9,38,118,全て,大半,半分,一部,導入無し,冷却水ポンプ無し or空欄
18,4-7,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率熱源ポンプ及び省エネ制御の導入,,熱源2次ポンプ変流量制御,2 1b.13,A,-,※4,3,5,2,3,61,112,全て,大半,半分,一部,導入無し,熱源2次ポンプ無し or空欄
19,5,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,蒸気ボイラーのエコノマイザー又はエアヒーターの導入,2 1a.2,C,-,,62,7,0,5,28,84,全て,大半,半分,一部,導入無し,対象機器無し or空欄
20,6,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,大温度差送水システムの導入,2 1b.9,B,-,,16,10,9,11,37,103,10℃以上,8℃以上10℃未満,7℃以上8℃未満,6℃以上7℃未満,6℃未満,地域冷暖房と同一 or 冷温水無し or空欄
21,7,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,蒸気弁・フランジ部の断熱,2 1a.3,C,-,,60,24,4,11,87,,熱源回り及び空調機回り,熱源回りのみ,空調機回りのみ,実施無し,蒸気無し or空欄,-
22,8,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,蒸気ドレン回収設備の導入,2 1a.6,-,-,,26,19,7,13,32,89,全て,大半,半分,一部,導入無し,蒸気無し or空欄
23,9,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,省エネ型スチームトラップの導入,2 1a.9,-,-,,9,14,3,27,46,87,全て,大半,半分,一部,導入無し,蒸気無し or空欄
24,10,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,熱交換器の断熱,2 1b.14,C,-,,33,16,7,20,39,71,全て,大半,半分,一部,導入無し,熱交換器無し or空欄
25,11,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,高効率コージェネレーションの導入,2 1c.1,A,-,,,,,,,,-,-,-,-,-,-
26,12,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,燃焼機器の空気比の管理,3 1a.1、1b.1,C,-,,34,45,26,81,,,目標空気比,基準空気比,基準空気比以上 or 把握できていない,燃焼機器無し or空欄,-,-
27,13,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,冷凍機の冷却水温度設定値の調整,3 1b.2,C,-,,65,17,104,,,,実施,実施無し,水冷冷凍機無し or空欄,-,-,-
28,14,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,部分負荷時の熱源運転の適正化,3 1b.8,B,-,,23,84,79,,,,実施,実施無し,熱源機器無し or空欄,-,-,-
29,15,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,部分負荷時の熱源ポンプ運転の適正化,3 1b.9,C,-,,30,72,84,,,,実施,実施無し,熱源ポンプ無し or空欄,-,-,-
30,16,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,熱源機器の冷温水出口温度設定値の調整,3 1b.7,C,-,,74,41,71,,,,実施,実施無し,熱源機器無し or空欄,-,-,-
31,17,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,冷温水管、蒸気管等の保温の確認,3 1a.7、1b.3,C,-,,118,39,,,,,実施,実施無し,-,-,-,-
32,18,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,インバータ制御系統のバルブの開度調整の実施,3 1b.4,C,-,,59,16,111,,,,実施,実施無し,インバータポンプ無しor熱源ポンプ無しor空欄,-,-,-
33,19,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,熱源不要期間の熱源機器等停止,3 1a.5、1b.5,C,-,,77,17,92,,,,実施,実施無し,対象機器なし or空欄,-,-,-
34,20,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,空調開始時の熱源起動時間の適正化,3 1b.12,C,-,,73,25,88,,,,実施,実施無し,対象機器なし or空欄,-,-,-
35,21,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,熱源機器の点検・清掃,3 2a.1、2b.2,C,-,,90,13,83,,,,実施,実施無し,熱源機器無し or空欄,-,-,-
36,22-1,空調・換気設備,高効率空調機の導入,,プラグファン,2 2a.3,A,-,※4,3,1,1,10,85,86,全て,大半,半分,一部,導入無し,空調機無し or空欄
37,22-2,空調・換気設備,高効率空調機の導入,,モータ直結形ファン,2 2a.3,A,-,※4,8,2,3,17,71,85,全て,大半,半分,一部,導入無し,空調機無し or空欄
38,22-3,空調・換気設備,高効率空調機の導入,,永久磁石(IPM)モータ,2 2a.3,A,-,※4,3,0,0,2,95,86,全て,大半,半分,一部,導入無し,空調機無し or空欄
39,22-4,空調・換気設備,高効率空調機の導入,,プレミアム効率（IE3）モータ,2 2a.3,A,-,※4,0,1,2,20,79,84,全て,大半,半分,一部,導入無し,空調機無し or空欄
40,22-5,空調・換気設備,高効率空調機の導入,,高効率（IE2）モータ,2 2a.3,A,-,※4,3,1,4,10,84,84,全て,大半,半分,一部,導入無し,空調機無し or空欄
41,22-6,空調・換気設備,高効率空調機の導入,,楕円管熱交換器,2 2a.3,A,-,※4,0,0,0,1,97,88,全て,大半,半分,一部,導入無し,空調機無し or空欄
42,23-1,空調・換気設備,高効率パッケージ形空調機の導入,,通年エネルギー消費効率APF,2 2a.1,A,-,※4,2,6,3,17,121,37,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
43,23-2,空調・換気設備,高効率パッケージ形空調機の導入,,冷暖房平均COP,2 2a.1,A,-,※4,3,4,2,14,125,38,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
44,23-3,空調・換気設備,高効率パッケージ形空調機の導入,,インバータ制御機器,2 2a.1,A,-,※4,33,30,18,22,51,32,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
45,23-4,空調・換気設備,高効率パッケージ形空調機の導入,,高効率冷媒(R410A),2 2a.1,A,-,※4,23,26,41,16,48,32,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
46,23-5,空調・換気設備,高効率パッケージ形空調機の導入,,屋外機の散水システム,2 2a.1,A,-,※4,1,4,4,11,132,34,全て,大半,半分,一部,導入無し,パッケージ形空調機無し or空欄
47,24,空調・換気設備,,,ウォーミングアップ時の外気遮断制御の導入,2 2a.5,B,-,,5,7,3,16,87,68,全て,大半,半分,一部,導入無し,対象設備無しor大半が24時間空調 or空欄
48,25,空調・換気設備,,,空調機の変風量システムの導入,2 2a.6,C,-,,12,24,14,41,60,35,全て,大半,半分,一部,導入無し,空調機無し or空欄
49,26,空調・換気設備,,,空調機の気化式加湿器の導入,2 2a.7,C,-,,7,7,8,35,82,47,全て,大半,半分,一部,導入無し,対象設備無し or空欄
50,27,空調・換気設備,,,外気冷房システムの導入,2 2a.8,A,-,,5,2,3,11,132,33,全て,大半,半分,一部,導入無し,冬季・中間期冷房無し or空欄
51,28,空調・換気設備,,,CO2濃度による外気量制御の導入,2 2a.10,A,-,,2,7,3,13,7,154,全て,大半,半分,一部,手動調整のみ,導入無しor対象設備無し
52,29,空調・換気設備,,,ファンコイルユニットの比例制御の導入,2 2a.11,B,-,,22,10,0,11,83,60,全て,大半,半分,一部,導入無し,ファンコイルユニット無し or空欄
53,30,空調・換気設備,,,空調の最適起動制御の導入,2 2a.12,C,-,,8,8,3,9,123,35,全て,大半,半分,一部,導入無し,全て24時間空調 or空欄
54,31,空調・換気設備,,,全熱交換器等の導入,2 2a.13,A,-,,7,12,12,57,77,,全て,大半,半分,一部,導入無し,-
55,32,空調・換気設備,,,大温度差送風空調システムの導入,2 2a.14,A,-,,3,0,0,2,137,44,全て,大半,半分,一部,導入無し,空調機無し or空欄
56,33-1,空調・換気設備,高効率空調・換気用ファンの導入,,モータ直結ファン,2 2a.4,B,-,※4,34,4,4,27,109,8,全て,大半,半分,一部,導入無し,空調・換気用ファン無し or空欄
57,33-2,空調・換気設備,高効率空調・換気用ファンの導入,,永久磁石(IPM)モータ,2 2a.4,B,-,※4,32,0,1,6,138,9,全て,大半,半分,一部,導入無し,空調・換気用ファン無し or空欄
58,33-3,空調・換気設備,高効率空調・換気用ファンの導入,,プレミアム効率（IE3）モータ,2 2a.4,B,-,※4,29,1,2,25,121,8,全て,大半,半分,一部,導入無し,空調・換気用ファン無し or空欄
59,33-4,空調・換気設備,高効率空調・換気用ファンの導入,,高効率（IE2）モータ,2 2a.4,B,-,※4,32,3,4,12,127,8,全て,大半,半分,一部,導入無し,空調・換気用ファン無し or空欄
60,34,空調・換気設備,,,電気室・エレベーター機械室の温度制御の導入,2 2a.2,C,-,,43,19,9,27,49,39,全て,大半,半分,一部,導入無し,電気室・EV機械室換気無し or空欄
61,35-1,空調・換気設備,高効率厨房換気システムの導入,,置換換気方式又は給排気形フード,2 2a.18,C,-,,4,2,1,4,76,99,全て,大半,半分,一部,導入無し,厨房無し or空欄
62,35-2,空調・換気設備,高効率厨房換気システムの導入,,外気処理空調機の風量モード切換制御,2 2a.19,C,-,,5,2,0,3,76,100,全て,大半,半分,一部,導入無し,厨房無し or空欄
63,36,空調・換気設備,,,ファンの手動調整用インバータの導入,2 2a.22,A,-,,0,11,4,26,95,50,全て,大半,半分,一部,導入無し,対象設備無し or空欄
64,37,空調・換気設備,,,室使用開始時の空調起動時間の適正化,3 3a.2,B,-,,36,35,2,21,41,51,全て,大半,半分,一部,実施無し,24時間空調 or空欄
65,38-1,空調・換気設備,夏季居室の室内温度の適正化・クールビズ,,24℃未満,3 3a.1、3 3a.4,A,-,,2,2,5,34,143,,全て,大半,半分,一部,無し,-
66,38-2,空調・換気設備,夏季居室の室内温度の適正化・クールビズ,,24℃以上25℃未満,3 3a.1、3 3a.4,A,-,,4,2,4,29,147,,全て,大半,半分,一部,無し,-
67,38-3,空調・換気設備,夏季居室の室内温度の適正化・クールビズ,,25℃以上26℃未満,3 3a.1、3 3a.4,A,-,,5,11,5,43,122,,全て,大半,半分,一部,無し,-
68,38-4,空調・換気設備,夏季居室の室内温度の適正化・クールビズ,,26℃以上27℃未満,3 3a.1、3 3a.4,A,-,,9,20,10,46,101,,全て,大半,半分,一部,無し,-
69,38-5,空調・換気設備,夏季居室の室内温度の適正化・クールビズ,,27℃以上28℃未満,3 3a.1、3 3a.4,A,-,,11,16,11,50,98,,全て,大半,半分,一部,無し,-
70,38-6,空調・換気設備,夏季居室の室内温度の適正化・クールビズ,,28℃以上,3 3a.1、3 3a.4,A,-,,20,25,3,20,118,,全て,大半,半分,一部,無し,-
71,39,空調・換気設備,,,換気ファンの間欠運転の実施,3 3a.3,C,-,,21,32,6,28,75,,全て,大半,半分,一部,実施無し,-
72,40,空調・換気設備,,,居室以外の室内温度の緩和,3 3a.7,C,-,,80,9,29,68,,,エントランスホール及び廊下等で実施,エントランスホール又は廊下等で実施,実施無し,該当室無し or空欄,-,-
73,41,空調・換気設備,,,エレベータ機械室・電気室の室内設定温度の適正化,3 3a.5,C,-,,57,18,6,16,54,35,全て,大半,半分,一部,実施無し,対象室無し or空欄
74,42,空調・換気設備,,,空調機等のフィルターの清浄,3 4a.1,C,-,,32,17,31,61,26,,月1回以上,年6回程度,年4回程度,年2回程度,1年以上に1回又は実施無し,-
75,43,空調・換気設備,,,省エネファンベルトへの交換,3 4a.6,C,-,,9,20,9,50,59,39,全て,大半,半分,一部,実施無し,ベルト駆動ファン無し or空欄
76,44,受変電設備・照明設備,,,高効率照明及び省エネ制御の導入,2 2b.1、6、7,A,-,,,,,,,,-,-,-,-,-,-
77,45,受変電設備・照明設備,,,高輝度型誘導灯・蓄光型誘導灯の導入,2 2b.2,C,-,,20,23,15,79,49,,全て,大半,半分,一部,導入無し,-
78,46-1,受変電設備・照明設備,高効率変圧器の導入,,超高効率変圧器,2 1d.1,C,-,※4,3,1,9,11,143,19,全て,大半,半分,一部,導入無し,対象変圧器無し or空欄
79,46-2,受変電設備・照明設備,高効率変圧器の導入,,トップランナー変圧器2014,2 1d.1,C,-,※4,2,1,8,26,131,18,全て,大半,半分,一部,導入無し,対象変圧器無し or空欄
80,46-3,受変電設備・照明設備,高効率変圧器の導入,,トップランナー変圧器,2 1d.1,C,-,※4,4,6,15,30,112,19,全て,大半,半分,一部,導入無し,対象変圧器無し or空欄
81,47-1,受変電設備・照明設備,照明の人感センサーによる在室検知制御の導入,,廊下,2 2b.4,A,-,,7,15,8,61,95,,全て,大半,半分,一部,導入無し,-
82,47-2,受変電設備・照明設備,照明の人感センサーによる在室検知制御の導入,,階段室,2 2b.4,A,-,,11,12,12,34,117,,全て,大半,半分,一部,導入無し,-
83,47-3,受変電設備・照明設備,照明の人感センサーによる在室検知制御の導入,,便所,2 2b.4,A,-,,21,33,10,52,70,,全て,大半,半分,一部,導入無し,-
84,47-4,受変電設備・照明設備,照明の人感センサーによる在室検知制御の導入,,湯沸室,2 2b.4,A,-,,11,5,5,23,142,,全て,大半,半分,一部,導入無し,-
85,47-5,受変電設備・照明設備,照明の人感センサーによる在室検知制御の導入,,事務室,2 2b.4,A,-,,1,1,0,15,169,,全て,大半,半分,一部,導入無し,-
86,48,受変電設備・照明設備,,,照明のタイムスケジュール制御の導入,2 2b.8,C,-,,11,3,27,92,53,,居室及び共用部に導入,居室のみ導入,共用部のみ導入,導入無し,該当室無し or空欄,-
87,49-1,受変電設備・照明設備,照度条件の緩和,,夜間時間帯,3 3b.1,C,-,,49,50,5,60,,,廊下及び駐車場で実施,廊下のみで実施,駐車場のみで実施,実施無し,-,-
88,49-2,受変電設備・照明設備,照度条件の緩和,,深夜時間帯,3 3b.1,C,-,,47,53,4,60,,,廊下及び駐車場で実施,廊下のみで実施,駐車場のみで実施,実施無し,-,-
89,50-1,受変電設備・照明設備,居室の昼休み及び時間外の消灯及び間引点灯,,昼休み消灯,3 3b.2,C,-,,52,51,10,35,38,,全て,大半,半分,一部,実施無し,-
90,50-2,受変電設備・照明設備,居室の昼休み及び時間外の消灯及び間引点灯,,残業時間一斉消灯,3 3b.2,C,-,,23,19,6,37,101,,全て,大半,半分,一部,実施無し,-
91,51-1,給水・給湯設備、衛生設備,高効率給水ポンプの導入,,推定末端圧一定インバータ制御ポンプユニット,2 1f.1,C,-,※4,120,1,4,11,34,16,全て,大半,半分,一部,導入無し,給水ポンプユニット無し or空欄
92,51-2,給水・給湯設備、衛生設備,高効率給水ポンプの導入,,永久磁石(IPM)モータ,2 1f.1,C,-,※4,0,1,0,3,134,48,全て,大半,半分,一部,導入無し,給水ポンプ無し or空欄
93,51-3,給水・給湯設備、衛生設備,高効率給水ポンプの導入,,プレミアム効率（IE3）モータ,2 1f.1,C,-,※4,0,0,2,14,122,48,全て,大半,半分,一部,導入無し,給水ポンプ無し or空欄
94,51-4,給水・給湯設備、衛生設備,高効率給水ポンプの導入,,高効率（IE2）モータ,2 1f.1,C,-,※4,0,3,5,16,113,49,全て,大半,半分,一部,導入無し,給水ポンプ無し or空欄
95,52,給水・給湯設備、衛生設備,,,大便器の節水器具の導入,2 2c.1,C,-,,10,9,6,41,78,42,全て,大半,半分,一部,導入無し,把握できていない or空欄
96,53,給水・給湯設備、衛生設備,,,自然冷媒ヒートポンプ給湯器の導入,2 2c.5,C,-,,8,1,2,10,82,83,全て,大半,半分,一部,導入無し,対象機器無し or空欄
97,54,給水・給湯設備、衛生設備,,,潜熱回収給湯器の導入,2 2c.6,C,-,,5,1,0,9,101,70,全て,大半,半分,一部,導入無し,対象機器無し or空欄
98,55,給水・給湯設備、衛生設備,,,洗浄便座暖房の夏季停止,3 3c.1,C,-,,126,26,34,,,,実施,実施無し,洗浄便座無し or空欄,-,-,-
99,56-1,給水・給湯設備、衛生設備,給湯設備の省エネ運用,,季節や用途等に応じた給湯温度設定の緩和,3 3c.2,C,-,,66,88,32,,,,実施,実施無し,給湯無し or空欄,-,-,-
100,56-2,給水・給湯設備、衛生設備,給湯設備の省エネ運用,,貯湯式電気温水器の夜間・休日の電源停止,3 3c.3,C,-,,54,57,75,,,,実施,実施無し,対象機器無し or空欄,-,-,-
101,56-3,給水・給湯設備、衛生設備,給湯設備の省エネ運用,,便所洗面給湯の給湯中止又は給湯期間の短縮,3 3c.4,C,-,,13,56,73,44,,,通年給湯中止,夏季の給湯中止,実施無し,給湯無し or空欄,-,-
102,57-1,昇降機設備,エレベーターの省エネ制御の導入,,可変電圧可変周波数制御方式,2 2d.1,A,-,,45,9,15,10,47,60,全て,大半,半分,一部,導入無し,エレベーター無し or空欄
103,57-2,昇降機設備,エレベーターの省エネ制御の導入,,電力回生制御,2 2d.4,A,-,,4,2,3,1,116,60,全て,大半,半分,一部,導入無し,エレベーター無し or空欄
104,58-1,圧縮空気供給設備,高効率エアコンプレッサーの導入,,インバータ制御,2 1e.1,-,-,※4,18,18,25,37,61,27,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
105,58-2,圧縮空気供給設備,高効率エアコンプレッサーの導入,,永久磁石(IPM)モータ,2 1e.1,-,-,※4,6,3,13,13,123,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
106,58-3,圧縮空気供給設備,高効率エアコンプレッサーの導入,,プレミアム効率（IE3）モータ,2 1e.1,-,-,※4,2,3,3,14,136,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
107,58-4,圧縮空気供給設備,高効率エアコンプレッサーの導入,,高効率（IE2）モータ,2 1e.1,-,-,※4,2,3,3,12,138,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
108,58-5,圧縮空気供給設備,高効率エアコンプレッサーの導入,,2段圧縮方式,2 1e.1,-,-,※4,9,9,5,18,117,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
109,58-6,圧縮空気供給設備,高効率エアコンプレッサーの導入,,インバータ制御冷却ファン,2 1e.1,-,-,※4,7,6,10,10,125,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
110,58-7,圧縮空気供給設備,高効率エアコンプレッサーの導入,,増風量制御方式,2 1e.1,-,-,※4,4,3,2,3,146,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
111,58-8,圧縮空気供給設備,高効率エアコンプレッサーの導入,,圧縮機・モータ直結構造,2 1e.1,-,-,※4,16,11,11,15,105,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
112,58-9,圧縮空気供給設備,高効率エアコンプレッサーの導入,,複数台圧縮機制御,2 1e.1,-,-,※4,24,31,13,11,79,28,全て,大半,半分,一部,導入無し,エアコンプレッサー無し or空欄
113,59,圧縮空気供給設備,,,エアコンプレッサーの台数制御の導入,2 1e.2,-,-,,21,91,36,38,,,末端圧力制御,吐出圧力制御,導入無し,エアコンプレッサー無し or空欄,-,-
114,60,圧縮空気供給設備,,,エアコンプレッサー吸込みフィルターの清掃,3 2e.2,-,-,,142,7,37,,,,実施,実施無し,エアコンプレッサー無し or空欄,-,-,-
115,61-1,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,,複数電動機の台数制御,2 5e.1,-,-,※4,22,7,0,8,23,126,全て,大半,半分,一部,導入無し,対象設備無し or空欄
116,61-2,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,,電動機の回転数制御,2 5e.4,-,-,※4,9,13,27,53,37,47,全て,大半,半分,一部,導入無し,対象設備無し or空欄
117,61-3,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ポンプ,永久磁石(IPM)モータ,2 5e.8,-,-,※4,0,0,2,3,107,74,全て,大半,半分,一部,導入無し,対象設備無し or空欄
118,61-4,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ポンプ,プレミアム効率（IE3）モータ,2 5e.8,-,-,※4,0,0,2,16,96,72,全て,大半,半分,一部,導入無し,対象設備無し or空欄
119,61-5,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ポンプ,高効率（IE2）モータ,2 5e.8,-,-,※4,1,2,3,19,90,71,全て,大半,半分,一部,導入無し,対象設備無し or空欄
120,61-6,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ブロワ・ファン,モータ直結形,2 5e.9,-,-,※4,9,6,6,19,66,80,全て,大半,半分,一部,導入無し,対象設備無し or空欄
121,61-7,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ブロワ・ファン,永久磁石(IPM)モータ,2 5e.9,-,-,※4,0,0,1,5,100,80,全て,大半,半分,一部,導入無し,対象設備無し or空欄
122,61-8,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ブロワ・ファン,プレミアム効率（IE3）モータ,2 5e.9,-,-,※4,0,1,1,13,91,80,全て,大半,半分,一部,導入無し,対象設備無し or空欄
123,61-9,電動力応用設備,生産プロセスにおける電動機の省エネ制御及び高効率ポンプ・ブロワ・ファンの導入,高効率ブロワ・ファン,高効率（IE2）モータ,2 5e.9,-,-,※4,2,1,1,20,83,79,全て,大半,半分,一部,導入無し,対象設備無し or空欄
124,62,電動力応用設備,,,油圧・空圧駆動アクチュエータの電動化,2 5e.10,-,-,,4,7,4,40,50,81,全て,大半,半分,一部,導入無し,対象設備無し or空欄
125,63,特殊空調設備,,,クリーンルームのローカルリターン方式の導入,2 5f.1,-,-,,9,5,0,12,19,141,全て,大半,半分,一部,導入無し,クリーンルーム無し or空欄
126,64,特殊空調設備,,,ファンフィルタユニットの台数制御の導入,2 5f.3,-,-,,0,0,0,2,42,142,全て,大半,半分,一部,導入無し,クリーンルーム無し or空欄
127,65-1,特殊空調設備,高効率冷凍・冷蔵設備の導入,,冷凍庫壁面の高断熱化,2 5f.9,C,-,※4,12,0,0,4,23,147,全て,大半,半分,一部,導入無し,冷凍設備無し or空欄
128,65-2,特殊空調設備,高効率冷凍・冷蔵設備の導入,,前室の導入,2 5f.9,C,-,※4,3,2,6,3,37,135,全て,大半,半分,一部,導入無し,冷凍・冷蔵設備無し or空欄
