床材の種類,,適用接着剤,該当JIS No.,施工時の下地条件／モルタルコンクリート下地／乾燥しているＡ,施工時の下地条件／モルタルコンクリート下地／表面は乾燥しているが湿気が残っているＢ,施工時の下地条件／木質下地Ｃ,施工時の下地条件／金属下地Ｄ,施工時の下地条件／セルフレベリング下地（せっこう・セメント系）Ｅ,施工後の使用条件／一般的な使用Ｆ,施工後の使用条件／耐水性を要する箇所（トイレ・厨房など）Ｇ,施工後の使用条件／耐熱性を要する箇所（床暖房など）Ｈ,施工後の使用条件／動荷重の移動する場所（医療機器・手押し車など）Ｉ,塗布量（g/m2）,ＶＯＣ量（g/m2）
ゴム質系床タイル,,ニトリルゴム系溶剤形,JIS A 5536,◎,×,○,◎,×,◎,×,×,○,450,360
ゴム質系床タイル,,エポキシ樹脂系,JIS A 5536,○,○,○,◎,○,○,◎,○,◎,350,105
ゴム質系床タイル,,ウレタン樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,◎,350,105
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,×,×,350,140
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,ビニル共重合樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,×,×,350,140
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,ニトリルゴム系溶剤形,JIS A 5536,－,－,－,◎,×,－,×,×,×,450,360
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,ビニル共重合樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,アクリル樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,エポキシ樹脂系,JIS A 5536,◎,○,◎,○,○,◎,◎,◎,◎,350,105
ビニル床シート（発泡層のあるもの・ないものを含む）,単体,ウレタン樹脂系,JIS A 5536,◎,○,◎,○,○,◎,○,○,○,350,105
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,×,×,350,140
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,ビニル共重合樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,×,×,350,140
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,ニトリルゴム系溶剤形,JIS A 5536,－,－,－,◎,×,－,×,×,×,450,360
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,酢酸ビニル樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,ビニル共重合樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,アクリル樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,エポキシ樹脂系,JIS A 5536,◎,○,◎,○,○,◎,◎,◎,◎,350,105
ビニル床シート（発泡層のあるもの・ないものを含む）,繊布積層,ウレタン樹脂系,JIS A 5536,◎,○,◎,○,○,◎,○,○,◎,350,105
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,○,×,350,140
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,ビニル共重合樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,○,○,×,350,140
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,クロロプレンゴム系溶剤形,JIS A 5536,－,－,－,○,×,－,×,×,×,450,360
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,ニトリルゴム系溶剤形,JIS A 5536,－,－,－,○,×,－,×,×,×,450,360
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,酢酸ビニル樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,ビニル共重合樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,アクリル樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,ゴム系ラテックス形,JIS A 5536,○,×,○,×,×,○,×,×,×,300,9
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,エポキシ樹脂系,JIS A 5536,◎,○,◎,○,○,◎,◎,◎,◎,350,105
ビニル床シート（発泡層のあるもの・ないものを含む）,不織布積層（フェルトを除く）,ウレタン樹脂系,JIS A 5536,◎,○,◎,○,○,◎,○,○,◎,350,105
リノリウム,,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,－,○,×,○,○,×,×,×,350,140
リノリウム,,ビニル共重合樹脂系溶剤形,JIS A 5536,○,－,○,×,○,○,×,×,×,350,140
リノリウム,,酢酸ビニル樹脂系エマルション形,JIS A 5536,○,－,○,×,×,○,×,×,×,300,9
リノリウム,,ビニル共重合樹脂系エマルション形,JIS A 5536,○,－,○,×,×,○,×,×,×,300,9
リノリウム,,アクリル樹脂系エマルション形,JIS A 5536,○,－,○,×,×,○,×,×,×,300,9
リノリウム,,エポキシ樹脂系,JIS A 5536,○,－,○,○,○,○,○,○,○,350,105
リノリウム,,ウレタン樹脂系,JIS A 5536,◎,－,◎,○,○,◎,◎,◎,◎,350,105
コルク,,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,－,○,×,○,○,×,×,－,350,140
コルク,,ビニル共重合樹脂系溶剤形,JIS A 5536,○,－,○,×,○,○,×,×,－,350,140
コルク,,クロロプレンゴム系溶剤形,JIS A 5536,◎,－,◎,◎,○,◎,×,×,－,450,360
コルク,,エポキシ樹脂系,JIS A 5536,◎,－,◎,◎,○,◎,◎,◎,－,350,105
コルク,,ウレタン樹脂系,JIS A 5536,◎,－,◎,◎,○,◎,◎,◎,－,350,105
木質系床材,緩衝材なし,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,×,○,×,×,○,×,×,－,300～600,120～240
木質系床材,緩衝材なし,クロロプレンゴム系溶剤形,JIS A 5536,○,×,○,○,×,○,○,×,－,300～600,240～480
木質系床材,緩衝材なし,酢酸ビニル樹脂系エマルション形,JIS A 5536,×,×,×,×,×,○,×,×,－,300～600,9～18
木質系床材,緩衝材なし,アクリル樹脂系エマルション形,JIS A 5536,×,×,○,×,×,○,×,×,－,300～600,9～18
木質系床材,緩衝材なし,変成シリコーン樹脂系,JIS A 5536,×,×,○,×,○,○,○,○,－,300～600,9～18
木質系床材,緩衝材なし,エポキシ樹脂系,JIS A 5536,◎,×,◎,◎,○,◎,◎,◎,－,300～600,60～120
木質系床材,緩衝材なし,ウレタン樹脂系,JIS A 5536,◎,×,◎,○,○,◎,◎,◎,－,300～600,60～120
木質系床材,緩衝材つき,クロロプレンゴム系溶剤形,JIS A 5536,○,×,○,○,×,○,○,×,－,300～600,240～480
木質系床材,緩衝材つき,エポキシ樹脂系,JIS A 5536,◎,×,◎,◎,○,◎,◎,◎,－,300～600,60～120
木質系床材,緩衝材つき,ウレタン樹脂系,JIS A 5536,◎,×,◎,○,○,◎,◎,◎,－,300～600,60～120
レジン系テラゾー,,クロロプレンゴム系溶剤形,JIS A 5536,○,○,○,－,○,○,○,○,－,450,360
レジン系テラゾー,,エポキシ樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,－,350,105
レジン系テラゾー,,ウレタン樹脂系,JIS A 5536,◎,○,◎,○,○,◎,◎,◎,－,350,105
カーペット,,酢酸ビニル樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,○,○,350,140
カーペット,,ビニル共重合樹脂系溶剤形,JIS A 5536,○,×,○,×,○,○,×,○,○,350,140
カーペット,,クロロプレンゴム系溶剤形,JIS A 5536,－,×,○,○,×,－,×,○,○,450,360
カーペット,,ニトリルゴム系溶剤形,JIS A 5536,－,×,○,○,×,－,×,○,○,450,360
カーペット,,ビニル共重合樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,○,×,300,9
カーペット,,アクリル樹脂系エマルション形,JIS A 5536,○,×,○,×,×,○,×,○,×,300,9
カーペット,,ゴム系ラテックス形,JIS A 5536,○,×,○,×,×,○,×,◎,×,300,9
カーペット,,エポキシ樹脂系,JIS A 5536,○,○,○,○,○,○,◎,○,○,350,105
カーペット,,ウレタン樹脂系,JIS A 5536,○,○,○,○,○,○,○,○,○,350,105
タイルカーペット,,アクリル樹脂系エマルション形（ピールアップタイプ）,JIS A 5536,○,×,○,○,○,○,－,×,×,100,3
人工芝,,クロロプレンゴム系溶剤形,JIS A 5536,○,×,○,－,○,○,×,○,－,450,360
人工芝,,ニトリルゴム系溶剤形,JIS A 5536,○,×,○,－,○,○,×,○,－,450,360
人工芝,,エポキシ樹脂系,JIS A 5536,◎,○,◎,－,◎,◎,○,◎,－,350,105
人工芝,,ウレタン樹脂系,JIS A 5536,◎,○,◎,－,◎,◎,○,○,－,350,105
根太材,,クロロプレンゴム系溶剤形,JIS A 5550,－,－,◎,－,－,◎,×,×,－,600,480
根太材,,ウレタン樹脂系,JIS A 5550,－,－,◎,－,－,◎,◎,◎,－,600,180
根太材,,変成シリコーン樹脂系,JIS A 5550,－,－,◎,－,－,◎,◎,◎,－,600,18
根太材,,酢酸ビニル樹脂系エマルション形,JIS A 5550,－,－,◎,－,－,◎,×,×,－,600,18
根太材,,ビニル共重合樹脂系エマルション形,JIS A 5550,－,－,◎,－,－,◎,×,×,－,600,18
根太材,,アクリル樹脂系エマルション形,JIS A 5550,－,－,◎,－,－,◎,×,×,－,600,18
注）根太材施工時の木質下地は合板,,,,,,,,,,,,,,
注）◎：優 ○：実用可 △：要注意 ×：不可 －：不使用,,,,,,,,,,,,,,
