項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,1.0,1.1,2.6,2.9,1.1,1.3,1.5,2.1,2.2,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.17),0.21,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.14),0.17,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.15),0.27,ND,ND,(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.2,1.5,3.1,3.5,1.7,1.2,1.8,2.1,2.2,2.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.64,0.20,1.2,1.4,(0.06),(0.15),0.33,(0.20),(0.19),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,0.20,0.28,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,2.0,0.69,3.6,4.0,0.43,0.60,1.0,0.82,0.77,0.52
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,2.4,0.6,3.7,3.9,ND,(0.3),0.8,(0.5),(0.5),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,7.1,4.1,15,18,3.4,3.8,5.8,6,6.2,4.8
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,21,18,150,180,5.6,9.8,39,23,23,7.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,(0.11),ND,0.26,0.23,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,6.4,2.1,20,19,0.44,1.5,4.6,2.8,2.7,0.55
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,(0.13),ND,0.47,0.43,ND,ND,(0.11),ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,(0.07),ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,6.6,2.1,21,20,0.44,1.5,4.7,2.8,2.7,0.55
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.40,0.21,0.89,0.87,ND,0.30,0.31,(0.17),(0.17),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,29,14,56,53,3.5,18,18,12,12,3.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,8.0,4.0,16,15,1.1,5.1,4.7,3.3,3.3,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.50,0.23,0.85,0.93,ND,0.25,0.31,0.21,0.22,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.66,0.34,1.7,1.6,(0.09),0.54,0.49,0.34,0.29,(0.10)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.3,0.60,3.3,3.5,(0.12),0.95,0.83,0.62,0.57,(0.16)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.34,(0.18),0.97,1.1,ND,0.24,0.24,(0.17),(0.14),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,0.26,0.31,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,40,20,80,76,4.8,25,25,17,17,5.1
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,47,22,100,96,5.3,27,30,20,19,5.6
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,68,40,250,280,11,37,69,42,43,13
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.078,0.069,0.31,0.38,0.06,0.063,0.084,0.071,0.07,0.06
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.016,0.0047,0.054,0.047,0.0041,0.0048,0.013,0.0047,0.0047,0.0041
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.094,0.074,0.36,0.42,0.064,0.068,0.098,0.075,0.075,0.064
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.082,0.061,0.30,0.43,0.052,0.057,0.083,0.062,0.061,0.052
浮遊物質量（SS）,,,,,mg/L,2,2,14,14,3,2,4,3,3,3
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
