項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,2100,4100,3100,4300,6800,620,3300,1400,1400,7100
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,2900,5600,5000,6100,9400,850,4500,1800,1800,9500
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,5.6,6.4,4.7,4.2,7.4,1.9,5.2,2.2,2.5,6.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,2.7,5.2,4.9,5,5.6,0.9,2.6,1.8,1.6,4.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,5.0,6.5,4.4,4.1,7.8,1.7,6.8,3.8,4.0,7.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,89,130,110,120,170,27,110,69,67,160
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,6.2,9.1,6.1,3.5,13,2.3,6.5,3.5,3.5,11
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,5.1,8.1,5.1,4.5,9.9,1.9,4.2,3.1,3.2,10
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,320,310,170,150,490,69,670,420,420,490
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,10,16,9.3,8.7,21,3.7,11,5.4,5.9,22
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,7.6,11,7.1,7.4,14,2.8,6.3,4.7,4.1,21
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,0.9,0.9,(0.5),0.8,1.5,(0.4),0.8,0.8,0.7,1.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,8.2,14,8.8,11,24,2.2,9.1,6.8,7.1,23
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,480,430,190,210,740,100,1000,630,640,810
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,82,120,54,55,170,26,91,41,40,170
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,8.1,13,8.8,7,20,3.4,9.9,5.5,5.3,19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,300,350,160,180,560,83,500,270,260,570
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,220,310,140,160,600,76,290,140,140,520
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,1400,1500,770,820,2600,360,2600,1500,1500,2600
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,4300,7100,5700,6900,12000,1200,7100,3300,3300,12000
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,16,15,13,11,9.8,4.8,8.0,6.8,6.6,14
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,690,1100,1100,1000,410,230,430,210,220,800
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,19,26,24,21,20,5.8,15,11,11,27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,2.4,3.4,2.1,2,3.3,0.7,2.0,1.5,1.5,3.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,730,1100,1100,1000,440,240,460,230,240,840
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,47,50,45,40,37,16,26,34,30,47
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,2900,3400,2400,2200,2600,1100,2100,2000,2100,3100
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,1200,1100,740,720,980,350,780,630,620,1200
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,51,50,44,44,34,17,28,33,33,36
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,130,110,77,78,110,50,81,81,84,110
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,260,260,180,150,220,120,170,190,190,210
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,73,73,48,42,64,25,48,51,52,63
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,20,20,13,13,26,11,15,11,11,23
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,4700,5100,3500,3300,4100,1700,3200,3000,3100,4800
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,5400,6200,4700,4300,4500,1900,3700,3300,3400,5600
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,9700,13000,10000,11000,17000,3100,11000,6600,6700,18000
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,11,19,14,15,30,4.2,14,7.4,7.1,31
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,2.2,3,2.7,2.4,2.3,0.68,1.7,1.3,1.3,3
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,13,22,17,17,32,4.8,16,8.6,8.4,34
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,15,23,18,18,33,5.3,16,9.3,9.1,35
強熱減量,,,,,mg/g,46.1,49,8.7,8.7,11.5,11.7,10.7,8.3,8.3,13.1
泥分量,,,,,mg/g,87.3,87.7,84.3,84.3,81.4,53.2,45.1,90.8,90.8,82
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
