項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,23,16,73,77,14,84,80,63,32
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.47,0.35,0.84,0.84,0.22,1.0,1.8,1.1,0.65
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,24,17,75,79,14,86,83,65,33
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.68,0.46,1.6,1.3,0.39,1.8,3.1,2.2,2.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,57,38,180,180,43,180,290,230,150
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,18,12,49,49,13,59,100,76,49
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,1.2,0.81,3.8,3.9,0.81,4.3,6.4,4.9,2.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,1.9,1.3,3.9,3.9,1.3,4.2,8.8,6.1,2.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,4.6,3.2,10,9.8,3.4,11,20,15,6.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,1.1,0.77,2.3,2.3,0.82,2.4,5.0,3.5,1.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.31,0.23,0.51,0.52,(0.17),0.54,1.3,0.82,0.33
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,85,57,250,250,63,260,430,340,210
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,110,73,330,330,77,350,520,400,250
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,550,390,390,390,120,410,620,480,280
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.69,0.41,0.35,0.34,0.13,0.21,0.37,0.28,0.13
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.053,0.039,0.1,0.1,0.026,0.12,0.2,0.13,0.076
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.74,0.45,0.45,0.44,0.15,0.33,0.57,0.40,0.20
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.71,0.45,0.5,0.49,0.16,0.37,0.64,0.46,0.23
浮遊物質量（SS）,,,,,mg/L,12,10,5,5,6,4,2,3,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
