項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,4新中川／小岩大橋／二重測定,6隅田川／小台橋,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.08,0.02,-,pg/L,0.1,(0.08),(0.05),0.13,0.17,0.12,0.38,0.12,0.16
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.08,0.03,-,pg/L,0.1,0.08,(0.06),0.23,0.19,0.16,0.28,0.13,0.22
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,3.2,3.1,2.9,3.2,3.6,2.5,4.4,2.3,3.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,N.D.,(0.05),(0.05),0.12,0.12,0.15,0.13,N.D.,(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.09,0.03,0.3,pg/L,(0.07),(0.06),(0.07),0.12,0.15,(0.09),0.14,(0.06),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,1.8,1.6,1.5,1.8,2.5,1.8,3.4,1.3,2.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.17,0.05,0.1,pg/L,0.17,(0.12),(0.15),0.24,0.23,0.24,0.4,(0.09),0.22
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.18,0.05,0.1,pg/L,(0.16),(0.14),(0.16),(0.16),0.22,(0.12),0.19,(0.07),(0.14)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.18,0.05,0.1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.16,0.05,0.1,pg/L,0.25,0.2,0.2,0.2,0.29,0.18,0.25,(0.12),0.19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,2.4,2.2,2.1,1.7,2.5,1.6,4.9,1.8,3.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.17,0.05,0.01,pg/L,1.2,1.2,1.3,1.3,1.3,1.4,5.4,1.4,2.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.17,0.05,0.01,pg/L,0.2,0.24,0.26,0.19,0.25,(0.17),0.33,(0.10),0.24
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,3.2,3,3.3,3.1,3.1,3.4,13,3.7,5.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.29,0.09,0.0003,pg/L,3.2,2.8,2.8,4.1,3.1,4.6,20,4.6,7.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,14,13,12,14,15,14,46,14,22
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,220,260,260,63,84,59,120,43,91
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.17,0.05,0.0003,pg/L,0.17,(0.15),(0.14),0.46,0.45,0.42,2,0.61,2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.17,0.05,0.0001,pg/L,17,24,29,57,61,48,83,32,61
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.16,0.05,0.1,pg/L,0.32,0.37,0.59,N.D.,0.69,0.66,1.2,0.45,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,N.D.,N.D.,N.D.,(0.10),(0.11),(0.08),N.D.,N.D.,(0.07)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,17,25,30,58,62,49,86,33,64
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.17,0.05,0.00003,pg/L,0.81,0.57,0.55,2.7,2,1.8,5.7,2,5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.16,0.05,0.00003,pg/L,41,31,27,170,140,130,290,140,310
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.17,0.05,0.00003,pg/L,12,9.9,8.3,41,34,33,97,42,110
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.18,0.05,0.00003,pg/L,0.84,0.71,0.62,3.2,2.6,2.5,6.2,1.6,5.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.16,0.05,0.00003,pg/L,1.1,1.1,0.96,3.7,3.8,3.2,7.6,2.5,7.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.19,0.06,0.00003,pg/L,2.7,2.3,2.1,8.6,9.5,7.3,18,5,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.19,0.06,0.00003,pg/L,0.71,0.61,0.44,2.1,2.3,1.7,4.2,1.4,4.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.17),(0.16),(0.12),0.56,0.6,0.49,1.3,0.4,1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,59,46,40,230,190,180,430,190,460
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,77,71,70,290,260,230,520,230,530
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,300,330,330,350,340,290,640,270,620
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.41,0.33,0.34,0.23,0.27,0.21,0.43,0.16,0.23
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.036,0.042,0.064,0.018,0.084,0.079,0.14,0.055,0.14
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.45,0.37,0.4,0.25,0.35,0.29,0.57,0.21,0.37
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.44,0.35,0.39,0.29,0.39,0.32,0.63,0.23,0.41
浮遊物質量（SS）,,,,,mg/L,7,7,7,6,7,6,2,2,3
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
