大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２０(令和２)年１１月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第３回調査 　２０２０(令和２)年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2020(令和2）年　11月11日～11月18日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2020(令和2）年　11月11日～11月18日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.003,0.065,0.05,0.05,0.057,0.043,0.095,0.077,0.066,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.009,0.003,0.046,0.03,,0.012,0.003,0.088,0.062,0.043,0.66,0.035,0.045,,0.022,0.004,0.001
,,HpCDDs,－,―,―,0.14,0.098,0.1,0.11,0.092,0.19,0.16,0.13,,,,HpCDDs,－,--,--,0.089,0.058,,―,―,0.19,0.12,0.088,1.1,0.077,0.087,,0.054,―,―
,,OCDD,0.0003,0.024,0.006,0.2,0.16,0.15,0.16,0.13,0.26,0.23,0.21,,,,OCDD,0.0003,0.023,0.007,0.12,0.12,,0.024,0.006,0.15,0.13,0.14,2.4,0.098,0.18,,0.037,0.008,0.002
,,Total PCDDs,－,―,―,0.85,0.61,0.65,0.76,0.56,1.2,1,0.93,,,,Total PCDDs,－,--,--,0.38,0.33,,―,―,0.97,0.51,0.51,4.3,0.35,0.52,,0.4,―,―
PCDFs,,"1,2,7,8-TeCDF",0,0.003,0.0009,0.019,0.016,0.015,0.014,0.0098,0.024,0.021,0.024,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.001,0.008,0.008,,0.003,0.0009,0.014,0.01,0.0099,0.01,0.0048,0.0082,,0.0064,0.001,0.0003
,,"2,3,7,8-TeCDF",0.1,0.003,0.0009,0.011,0.0093,0.0078,0.008,0.0054,0.016,0.013,0.013,,,,"2,3,7,8-TeCDF",0.1,0.005,0.001,0.006,-0.004,,0.003,0.0009,0.0088,0.0066,0.0057,0.0047,ND,0.0054,,0.0039,0.001,0.0003
,,"1,3,6,8-TeCDF",0,0.003,0.0009,0.022,0.015,0.016,0.017,0.01,0.027,0.026,0.028,,,,"1,3,6,8-TeCDF",0,0.005,0.001,0.012,0.012,,0.003,0.0009,0.019,0.012,0.013,0.01,0.0082,0.011,,0.017,0.001,0.0003
,,TeCDFs,－,―,―,0.55,0.4,0.39,0.38,0.26,0.76,0.56,0.69,,,,TeCDFs,－,--,--,0.21,0.19,,―,―,0.44,0.26,0.27,0.26,0.15,0.22,,0.21,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.017,0.011,0.01,0.013,0.007,0.023,0.019,0.021,,,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.011,0.008,,0.005,0.001,0.014,0.011,0.008,0.008,-0.005,0.007,,0.0065,0.0018,0.0005
,,"2,3,4,7,8-PeCDF",0.3,0.005,0.001,0.021,0.013,0.013,0.014,0.012,0.033,0.021,0.023,,,,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.008,0.007,,0.005,0.001,0.018,0.011,0.01,0.011,0.006,0.01,,0.0089,0.0017,0.0005
,,PeCDFs,－,―,―,0.35,0.23,0.2,0.24,0.16,0.5,0.34,0.38,,,,PeCDFs,－,--,--,0.13,0.11,,―,―,0.28,0.18,0.15,0.18,0.09,0.14,,0.16,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.004,0.001,0.033,0.019,0.015,0.019,0.012,0.041,0.026,0.027,,,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.016,0.01,,0.004,0.001,0.028,0.021,0.014,0.02,0.008,0.019,,0.0097,0.0015,0.0005
,,"1,2,3,6,7,8-HxCDF",0.1,0.008,0.002,0.031,0.018,0.016,0.02,0.012,0.039,0.027,0.028,,,,"1,2,3,6,7,8-HxCDF",0.1,0.006,0.002,0.011,0.009,,0.008,0.002,0.023,0.017,0.014,0.02,-0.008,0.015,,0.0092,0.0027,0.0008
,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,-0.005,-0.003,-0.003,-0.004,ND,-0.007,-0.004,-0.004,,,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,      ND,      ND,,0.008,0.002,-0.003,-0.005,ND,-0.004,ND,ND,,-0.001,0.0027,0.0008
,,"2,3,4,6,7,8-HxCDF",0.1,0.007,0.002,0.034,0.022,0.018,0.024,0.015,0.049,0.029,0.032,,,,"2,3,4,6,7,8-HxCDF",0.1,0.008,0.002,0.014,0.011,,0.007,0.002,0.033,0.021,0.016,0.024,0.01,0.018,,0.013,0.0023,0.0007
,,HxCDFs,－,―,―,0.32,0.18,0.15,0.2,0.12,0.41,0.27,0.27,,,,HxCDFs,－,--,--,0.12,0.08,,―,―,0.26,0.17,0.13,0.19,0.085,0.15,,0.11,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.005,0.001,0.12,0.069,0.058,0.074,0.052,0.15,0.1,0.093,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.012,0.003,0.056,0.044,,0.005,0.001,0.11,0.08,0.052,0.089,0.04,0.1,,0.035,0.0018,0.0005
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.009,0.003,0.024,0.013,-0.009,0.013,-0.008,0.028,0.017,0.014,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,-0.01,-0.006,,0.009,0.003,0.014,0.013,-0.009,0.014,-0.005,0.017,,0.004,0.003,0.001
,,HpCDFs,－,―,―,0.22,0.12,0.091,0.12,0.081,0.26,0.17,0.15,,,,HpCDFs,－,--,--,0.09,0.068,,―,―,0.17,0.12,0.084,0.14,0.063,0.16,,0.052,―,―
,,OCDF,0.0003,0.015,0.003,0.095,0.045,0.037,0.054,0.033,0.12,0.068,0.067,,,,OCDF,0.0003,0.02,0.006,0.038,0.041,,0.015,0.003,0.065,0.059,0.044,0.071,0.027,0.22,,0.022,0.005,0.001
,,Total PCDFs,－,―,―,1.5,0.97,0.87,0.99,0.65,2,1.4,1.6,,,,Total PCDFs,－,--,--,0.59,0.49,,―,―,1.2,0.8,0.69,0.84,0.42,0.89,,0.55,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.006,0.002,0.022,0.02,0.061,0.015,0.009,0.023,0.02,0.022,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.006,0.002,0.006,0.007,,0.006,0.002,0.016,0.011,0.01,0.009,0.007,0.008,,0.0081,0.002,0.0006
,,"3,3',4,4'-TeCB (#77)",0.0001,0.007,0.002,0.25,0.18,0.84,0.13,0.064,0.15,0.15,0.14,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.004,0.001,0.054,0.061,,0.007,0.002,0.076,0.086,0.068,0.076,0.066,0.059,,0.033,0.0024,0.0007
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.024,0.015,0.02,0.021,0.008,0.026,0.019,0.021,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.008,0.002,0.009,0.01,,0.004,0.001,0.017,0.011,0.008,0.01,0.007,0.007,,0.0098,0.0012,0.0004
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.012,0.003,-0.006,-0.003,-0.004,-0.005,ND,-0.006,-0.005,-0.005,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.009,0.003,      ND,      ND,,0.012,0.003,-0.006,-0.003,ND,-0.003,ND,ND,,-0.002,0.004,0.001
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.006,0.002,0.055,0.035,0.19,0.021,0.01,0.022,0.025,0.022,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.01,0.003,0.011,-0.009,,0.006,0.002,0.013,0.013,0.012,0.011,0.012,0.01,,0.006,0.002,0.0006
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,2.1,1.5,8.3,0.7,0.34,0.76,0.71,0.7,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.008,0.002,0.34,0.36,,0.009,0.003,0.37,0.44,0.37,0.35,0.35,0.29,,0.11,0.003,0.001
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.74,0.54,2.2,0.27,0.13,0.28,0.28,0.27,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.13,0.13,,0.009,0.003,0.15,0.16,0.14,0.13,0.12,0.11,,0.052,0.003,0.001
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.067,0.049,0.24,0.027,0.015,0.032,0.031,0.033,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.014,0.014,,0.007,0.002,0.021,0.017,0.015,0.015,0.013,0.012,,0.0065,0.0023,0.0007
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.006,0.002,0.05,0.038,0.083,0.025,0.012,0.027,0.021,0.023,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.003,0.009,0.01,,0.006,0.002,0.015,0.012,0.015,0.014,0.01,0.011,,0.0063,0.0019,0.0006
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.007,0.002,0.084,0.075,0.14,0.042,0.022,0.049,0.044,0.046,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.02,0.02,,0.007,0.002,0.031,0.024,0.022,0.021,0.017,0.022,,0.011,0.0023,0.0007
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.001,0.022,0.018,0.032,0.012,0.007,0.016,0.013,0.013,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.002,0.005,0.005,,0.005,0.001,0.01,0.007,0.006,0.007,0.005,0.006,,0.0047,0.0016,0.0005
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.012,0.003,0.012,-0.011,-0.009,-0.007,ND,-0.012,-0.01,-0.011,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,-0.006,-0.004,,0.012,0.003,-0.011,-0.006,-0.005,-0.009,ND,-0.007,,0.006,0.004,0.001
,,Total Co-PCBs,－,―,―,3.5,2.5,12,1.3,0.63,1.4,1.3,1.3,,,,Total Co-PCBs,－,--,--,0.6,0.63,,―,―,0.74,0.79,0.68,0.66,0.61,0.55,,0.26,―,―
Total (PCDDs+PCDFs+Co-PCBs),,,－,―,―,5.8,4,14,3,1.8,4.7,3.7,3.8,,Total (PCDDs+PCDFs+Co-PCBs),,,－,--,--,1.6,1.4,,―,―,2.9,2.1,1.9,5.8,1.4,2,,1.2,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pg-TEQ/m3,,毒性等量,,,,,,,単位：pg-TEQ/m3,,,,,,,,,単位：pg-TEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0087,0.0055,0.006,0.0075,0.0043,0.012,0.012,0.0097,,PCDDs,,,－,--,--,0.0025,0.002,,－,－,0.0087,0.0045,0.0043,0.038,0.0035,0.0041,,0.0035,－,－
PCDFs,,,－,－,－,0.02,0.012,0.011,0.013,0.009,0.028,0.018,0.019,,PCDFs,,,－,--,--,0.0082,0.0064,,－,－,0.017,0.012,0.0089,0.012,0.0052,0.01,,0.0069,－,－
co-PCBs,,,－,－,－,0.0027,0.0017,0.0026,0.0023,0.00087,0.0028,0.0021,0.0023,,co-PCBs,,,－,--,--,0.00097,0.0011,,－,－,0.0019,0.0012,0.00087,0.0011,0.00077,0.00077,,0.0011,－,－
Total DXN,,,－,－,－,0.031,0.019,0.019,0.023,0.014,0.042,0.032,0.031,,Total DXN,,,－,--,--,0.012,0.0094,,－,－,0.027,0.017,0.014,0.051,0.0094,0.015,,0.012,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
