項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,3中川／平井小橋／二重測定,4新中川／小岩大橋,6隅田川／小台橋／,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.17,0.05,0.01,pg/L,(0.13),(0.16),0.14,(0.14),N.D.,N.D.,0.22,(0.10),(0.17)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,2.5,3,1.7,2.3,0.82,1.2,10,3.2,6.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.29,0.09,0.0003,pg/L,2.8,2.8,1.5,3.1,0.78,1.9,17,4.2,7.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,12,13,8.8,10,4.3,6.6,38,13,24
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,120,130,110,46,25,24,100,34,90
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.17,0.05,0.0003,pg/L,(0.15),N.D.,(0.12),0.27,(0.12),(0.16),0.91,0.49,1.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.17,0.05,0.0001,pg/L,12,17,8.5,36,10,17,37,16,44
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.16,0.05,0.1,pg/L,0.29,0.32,0.23,0.45,0.2,0.25,0.59,0.32,0.96
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,N.D.,N.D.,N.D.,(0.06),N.D.,N.D.,N.D.,N.D.,N.D.
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,12,17,8.8,37,10,17,38,17,46
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.17,0.05,0.00003,pg/L,0.7,0.57,0.39,1.6,0.72,0.89,2.8,1.4,4.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.16,0.05,0.00003,pg/L,34,36,23,110,39,48,120,81,210
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.17,0.05,0.00003,pg/L,10,11,7.6,25,9.6,13,45,26,78
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.18,0.05,0.00003,pg/L,0.66,0.74,0.39,1.9,0.61,1,2.8,1.2,4.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.16,0.05,0.00003,pg/L,0.91,1.1,0.84,2.3,1.1,1,3,1.6,5.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.19,0.06,0.00003,pg/L,2.5,2.8,2.2,5.9,2.7,2.8,8.4,4.2,17
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.19,0.06,0.00003,pg/L,0.65,0.74,0.49,1.3,0.72,0.65,1.9,1,3.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.15),(0.18),(0.11),0.37,(0.19),0.21,0.55,0.29,0.92
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,50,53,35,150,55,68,180,120,330
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,62,70,44,190,65,85,220,130,370
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,180,200,150,230,90,110,320,170,460
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.19,0.2,0.18,0.15,0.085,0.11,0.22,0.096,0.22
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.033,0.036,0.026,0.055,0.024,0.03,0.069,0.038,0.11
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.22,0.24,0.21,0.21,0.11,0.14,0.29,0.13,0.33
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.22,0.24,0.2,0.23,0.11,0.15,0.31,0.14,0.37
浮遊物質量（SS）,,,,,mg/L,7,7,6,5,4,3,2,1,3
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
