［資料2-1］　ダイオキシン類異性体等分析結果（第１回 令和元年５月：区部）,,,,,,,,,,,,,,,,ダイオキシン類異性体等分析結果（第１回 令和元年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（令和元年5月22日～5月29日）,,,,,,,,,,単位：pg/m3,,,実測濃度,,,（令和元年5月22日～5月29日）,,,,,,,,,,,,,,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉　","⑧江戸川区
春江町局",,,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,"定量
下限値","検出
下限値","⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩郡
檜原局","定量
下限値","検出
下限値"
,,"1,2,3,7,8,9-HxCDF",0.1,0.007,0.002,ND,ND,ND,ND,ND,ND,ND,ND,,,,,"1,2,3,7,8,9-HxCDF",0.1,0.011,0.003,ND,ND,,0.007,0.002,ND,ND,ND,ND,ND,ND,,ND,0.0025,0.0008
,,"2,3,4,6,7,8-HxCDF",0.1,0.007,0.002,0.012,0.016,0.007,0.01,0.007,0.015,0.015,0.011,,,,,"2,3,4,6,7,8-HxCDF",0.1,0.007,0.002,0.011,0.005,,0.007,0.002,0.009,0.005,0.006,0.009,0.007,0.01,,0.0057,0.0022,0.0007
,,HxCDFs,－,－,－,0.15,0.19,0.094,0.12,0.083,0.19,0.18,0.15,,,,,HxCDFs,－,－,－,0.099,0.044,,－,－,0.1,0.06,0.074,0.098,0.081,0.11,,0.063,－,－
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.053,0.062,0.029,0.041,0.028,0.063,0.06,0.042,,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.041,0.022,,0.009,0.003,0.035,0.021,0.02,0.042,0.026,0.038,,0.016,0.003,0.001
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.004,0.001,0.006,0.01,0.004,0.007,0.005,0.01,0.01,0.008,,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.01,0.003,0.008,0.004,,0.004,0.001,0.007,0.005,ND,0.009,0.006,0.006,,0.0017,0.0014,0.0004
,,HpCDFs,－,－,－,0.083,0.11,0.044,0.069,0.045,0.11,0.1,0.064,,,,,HpCDFs,－,－,－,0.075,0.032,,－,－,0.065,0.039,0.034,0.073,0.047,0.064,,0.024,－,－
,,OCDF,0.0003,0.012,0.003,0.044,0.056,0.025,0.03,0.024,0.062,0.054,0.05,,,,,OCDF,0.0003,0.022,0.006,0.033,0.018,,0.012,0.003,0.045,0.019,0.02,0.052,0.033,0.027,,0.013,0.004,0.001
,,Total PCDFs,－,－,－,1,1.6,0.66,0.78,0.54,1.1,1.2,0.98,,,,,Total PCDFs,－,－,－,0.61,0.35,,－,－,0.73,0.41,0.44,0.6,0.55,0.68,,0.57,－,－
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.005,0.001,0.036,0.036,0.073,0.03,0.015,0.034,0.026,0.021,,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.011,0.003,0.017,0.008,,0.005,0.001,0.016,0.017,0.012,0.012,0.016,0.014,,0.015,0.0016,0.0005
,,"3,3',4,4'-TeCB (#77)",0.0001,0.003,0.0009,0.46,0.38,1.1,0.41,0.16,0.41,0.27,0.26,,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.008,0.002,0.24,0.15,,0.003,0.0009,0.17,0.24,0.17,0.16,0.23,0.17,,0.15,0.001,0.0003
,,"3,3'4,4',5-PeCB (#126)",0.1,0.008,0.002,0.034,0.034,0.027,0.028,0.017,0.03,0.027,0.021,,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.006,0.002,0.024,0.012,,0.008,0.002,0.016,0.013,0.013,0.015,0.016,0.017,,0.015,0.0028,0.0008
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.009,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.004,0.004,,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.005,0.002,0.003,ND,,0.009,0.003,0.003,ND,ND,ND,ND,ND,,0.0029,0.0031,0.0009
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.007,0.002,0.08,0.073,0.17,0.063,0.029,0.072,0.04,0.038,,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.008,0.002,0.033,0.023,,0.007,0.002,0.025,0.027,0.027,0.022,0.034,0.022,,0.018,0.0022,0.0007
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.004,0.001,3.7,3.2,8.8,2.7,1.1,2.9,1.7,1.6,,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,1.4,0.92,,0.004,0.001,0.98,1.1,1.3,0.96,1.5,0.88,,0.54,0.0012,0.0004
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,1.3,1,2.5,0.97,0.36,1.1,0.61,0.54,,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.01,0.003,0.7,0.37,,0.009,0.003,0.36,0.37,0.43,0.34,0.47,0.31,,0.27,0.003,0.0009
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.008,0.002,0.12,0.097,0.26,0.085,0.035,0.095,0.059,0.048,,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.055,0.03,,0.008,0.002,0.035,0.035,0.041,0.031,0.045,0.032,,0.022,0.0026,0.0008
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.004,0.001,0.084,0.073,0.1,0.065,0.026,0.071,0.05,0.039,,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.009,0.003,0.039,0.027,,0.004,0.001,0.03,0.024,0.032,0.03,0.034,0.024,,0.014,0.0012,0.0004
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.005,0.001,0.18,0.15,0.19,0.12,0.051,0.13,0.1,0.076,,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.087,0.056,,0.005,0.001,0.05,0.044,0.059,0.056,0.057,0.044,,0.028,0.0016,0.0005
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.008,0.002,0.038,0.038,0.042,0.031,0.014,0.033,0.026,0.019,,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.006,0.002,0.023,0.014,,0.008,0.002,0.015,0.012,0.015,0.015,0.017,0.013,,0.0088,0.0028,0.0008
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.012,0.012,0.01,0.009,0.006,0.009,0.01,0.008,,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.006,0.004,,0.009,0.003,ND,0.004,0.003,ND,0.004,0.007,,0.0043,0.0029,0.0009
,,Total Co-PCBs,－,－,－,6.1,5.1,13,4.6,1.8,4.9,2.9,2.7,,,,,Total Co-PCBs,－,－,－,2.6,1.6,,－,－,1.7,1.9,2.1,1.6,2.4,1.5,,1.1,－,－
Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,7.5,7.1,14,5.8,2.6,6.5,4.6,4.1,,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,3.6,2.2,,－,－,2.8,2.5,2.8,2.5,3.2,2.6,,2.2,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pg-TEQ/m3,,,毒性等量,,,,,,,,,,,,,,,,,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0036,0.0041,0.0029,0.0023,0.0023,0.0048,0.0052,0.0024,,,PCDDs,,,－,－,－,0.0021,0.0016,,－,－,0.0028,0.0023,0.0023,0.0021,0.0029,0.0043,,0.0041,－,－
PCDFs,,,－,－,－,0.0093,0.012,0.0062,0.0088,0.0056,0.012,0.011,0.0087,,,PCDFs,,,－,－,－,0.0064,0.0036,,－,－,0.0072,0.0043,0.0044,0.0066,0.0054,0.0076,,0.0048,－,－
Co-PCBs,,,－,－,－,0.0037,0.0037,0.0033,0.0031,0.0019,0.0033,0.0029,0.0023,,,Co-PCBs,,,－,－,－,0.0026,0.0013,,－,－,0.0018,0.0014,0.0014,0.0016,0.0017,0.0018,,0.0016,－,－
Total DXN,,,－,－,－,0.017,0.02,0.012,0.014,0.0098,0.02,0.019,0.013,,,Total DXN,,,－,－,－,0.011,0.0065,,－,－,0.012,0.008,0.0081,0.01,0.01,0.014,,0.011,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(5)⑰西多摩郡檜原局については、吸引流量300L/minで7日間連続採取した。,,,,,,,,,,,,,,,,,,
