ダイオキシン類異性体等分析結果（第２回 令和元年８月：区部）,,,,,,,,,,,,,,,,ダイオキシン類異性体等分析結果（第２回 令和元年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（令和元年8月21日～8月28日）,,,,,,,,,,単位：pg/m3,,,実測濃度,,,（令和元年8月21日～8月28日）,,,,,,,,,,,,,,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉　","⑧江戸川区
春江町局",,,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,"定量
下限値","検出
下限値","⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩郡
檜原局","定量
下限値","検出
下限値"
,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,ND,ND,ND,ND,ND,ND,ND,ND,,,,,"1,2,3,7,8,9-HxCDF",0.1,0.011,0.003,ND,ND,,0.008,0.002,ND,ND,ND,ND,ND,ND,,ND,0.0026,0.0008
,,"2,3,4,6,7,8-HxCDF",0.1,0.0018,0.0006,0.0099,0.011,0.0087,0.011,0.0066,0.014,0.014,0.0097,,,,,"2,3,4,6,7,8-HxCDF",0.1,0.007,0.002,0.016,0.007,,0.0018,0.0006,0.009,0.0073,0.0063,0.0075,0.0047,0.0089,,0.003,0.0006,0.0002
,,HxCDFs,－,－,－,0.13,0.16,0.12,0.15,0.077,0.16,0.18,0.13,,,,,HxCDFs,－,－,－,0.14,0.06,,－,－,0.096,0.084,0.075,0.095,0.059,0.097,,0.043,－,－
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.012,0.003,0.035,0.036,0.03,0.043,0.023,0.059,0.057,0.052,,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.009,0.003,0.053,0.02,,0.012,0.003,0.035,0.027,0.027,0.03,0.02,0.03,,0.009,0.004,0.001
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.008,0.003,0.006,0.007,ND,0.01,0.004,0.009,0.008,0.006,,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.01,0.003,0.013,0.004,,0.008,0.003,0.008,0.006,0.006,0.004,0.004,0.006,,0.0011,0.0028,0.0009
,,HpCDFs,－,－,－,0.06,0.064,0.047,0.082,0.038,0.1,0.091,0.081,,,,,HpCDFs,－,－,－,0.098,0.038,,－,－,0.07,0.047,0.047,0.05,0.036,0.053,,0.015,－,－
,,OCDF,0.0003,0.012,0.003,0.031,0.028,0.033,0.046,0.026,0.062,0.041,0.062,,,,,OCDF,0.0003,0.022,0.006,0.031,0.02,,0.012,0.003,0.05,0.029,0.027,0.019,0.027,0.033,,0.005,0.004,0.001
,,Total PCDFs,－,－,－,0.9,1.1,0.81,0.93,0.57,1.1,1.1,0.82,,,,,Total PCDFs,－,－,－,0.81,0.51,,－,－,0.63,0.58,0.48,0.54,0.41,0.69,,0.36,－,－
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.0027,0.0009,0.03,0.029,0.059,0.029,0.024,0.036,0.019,0.016,,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.011,0.003,0.016,0.014,,0.0027,0.0009,0.019,0.022,0.022,0.019,0.018,0.024,,0.0086,0.0009,0.0003
,,"3,3',4,4'-TeCB (#77)",0.0001,0.012,0.003,0.51,0.36,0.9,0.45,0.28,0.44,0.3,0.21,,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.008,0.002,0.21,0.23,,0.012,0.003,0.21,0.32,0.25,0.35,0.24,0.31,,0.11,0.004,0.001
,,"3,3'4,4',5-PeCB (#126)",0.1,0.004,0.001,0.027,0.024,0.024,0.026,0.017,0.026,0.022,0.015,,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.006,0.002,0.02,0.019,,0.004,0.001,0.015,0.017,0.015,0.02,0.015,0.023,,0.0084,0.0015,0.0005
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.008,0.002,0.004,0.004,0.002,ND,ND,0.004,0.004,0.003,,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.005,0.002,0.003,0.002,,0.008,0.002,ND,ND,ND,0.003,ND,0.004,,0.0009,0.0026,0.0008
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.004,0.001,0.087,0.07,0.18,0.065,0.036,0.069,0.045,0.033,,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.008,0.002,0.037,0.035,,0.004,0.001,0.032,0.045,0.037,0.044,0.04,0.042,,0.016,0.0014,0.0004
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,4.3,3.2,8,2.8,1.6,2.9,1.9,1.3,,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.009,0.003,1.9,1.5,,0.009,0.003,1.2,1.7,1.4,1.8,1.5,1.7,,0.5,0.003,0.001
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,1.4,1.1,2.5,1,0.59,1.1,0.72,0.48,,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.01,0.003,0.68,0.56,,0.009,0.003,0.44,0.58,0.47,0.65,0.51,0.65,,0.18,0.003,0.0009
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.006,0.002,0.12,0.098,0.24,0.09,0.052,0.1,0.057,0.038,,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.009,0.003,0.065,0.055,,0.006,0.002,0.038,0.05,0.044,0.052,0.045,0.057,,0.016,0.0019,0.0006
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.0033,0.0009,0.087,0.076,0.1,0.067,0.04,0.072,0.052,0.037,,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.009,0.003,0.047,0.042,,0.0033,0.0009,0.036,0.042,0.036,0.051,0.038,0.045,,0.014,0.0011,0.0003
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.0033,0.0009,0.18,0.15,0.21,0.13,0.075,0.14,0.1,0.073,,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.099,0.081,,0.0033,0.0009,0.06,0.079,0.064,0.091,0.068,0.088,,0.023,0.0011,0.0003
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.007,0.002,0.046,0.034,0.046,0.032,0.019,0.037,0.027,0.02,,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.006,0.002,0.025,0.022,,0.007,0.002,0.017,0.022,0.016,0.025,0.019,0.023,,0.006,0.0022,0.0007
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.012,0.003,0.011,0.01,0.007,0.008,0.004,ND,0.007,0.008,,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,0.007,0.005,,0.012,0.003,0.008,0.005,0.007,0.006,0.004,0.006,,0.002,0.004,0.001
,,Total Co-PCBs,－,－,－,6.8,5.1,12,4.8,2.8,4.9,3.3,2.2,,,,,Total Co-PCBs,－,－,－,3.1,2.6,,－,－,2.1,2.9,2.4,3.2,2.5,3,,0.88,－,－
Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,8.1,6.6,13,6.2,3.7,6.6,4.9,3.4,,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,4.4,3.4,,－,－,3,3.8,3.2,4.1,3.2,4.2,,1.4,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pg-TEQ/m3,,,毒性等量,,,,,,,,,,,,,,,,,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0037,0.0022,0.0034,0.0045,0.0028,0.0046,0.0043,0.0021,,,PCDDs,,,－,－,－,0.0048,0.0018,,－,－,0.0022,0.0027,0.002,0.0028,0.0013,0.0035,,0.0018,－,－
PCDFs,,,－,－,－,0.0084,0.0087,0.0074,0.0098,0.0054,0.01,0.011,0.0077,,,PCDFs,,,－,－,－,0.0091,0.0049,,－,－,0.0058,0.0064,0.0049,0.006,0.0042,0.0075,,0.0036,－,－
Co-PCBs,,,－,－,－,0.0031,0.0027,0.0029,0.0028,0.0018,0.0029,0.0024,0.0017,,,Co-PCBs,,,－,－,－,0.0022,0.0021,,－,－,0.0016,0.0018,0.0016,0.0022,0.0016,0.0025,,0.0009,－,－
Total DXN,,,－,－,－,0.015,0.014,0.014,0.017,0.01,0.018,0.018,0.012,,,Total DXN,,,－,－,－,0.016,0.0088,,－,－,0.0095,0.011,0.0086,0.011,0.0072,0.014,,0.0062,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,(4)有効数字の関係上、合計が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(5)⑰西多摩郡檜原局については、吸引流量300L/minで7日間連続採取した。,,,,,,,,,,,,,,,,,,
