大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２０(令和２)年８月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第２回調査 　２０２０(令和２)年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2020(令和2)年　8月19日～8月26日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2020(令和2)年　8月19日～8月26日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,HxCDFs,－,―,―,0.12,0.13,0.068,0.16,0.082,0.14,0.14,0.11,,,,HxCDFs,－,--,--,0.1,0.085,,―,―,0.28,0.089,0.11,0.18,0.14,0.11,,0.038,―,―
,,"1,2,3,4,6,7,8-HpCDF",0.01,0.007,0.002,0.022,0.026,0.015,0.044,0.022,0.029,0.034,0.021,,,,"1,2,3,4,6,7,8-HpCDF",0.01,0.012,0.003,0.034,0.023,,0.007,0.002,0.082,0.024,0.037,0.052,0.042,0.03,,0.015,0.0022,0.0006
,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.003,-0.006,-0.004,ND,-0.009,ND,-0.006,-0.007,-0.005,,,,"1,2,3,4,7,8,9-HpCDF",0.01,0.012,0.004,-0.006,      ND,,0.012,0.003,0.014,-0.004,-0.008,-0.008,-0.007,-0.004,,-0.002,0.004,0.001
,,HpCDFs,－,―,―,0.041,0.048,0.024,0.081,0.036,0.055,0.061,0.037,,,,HpCDFs,－,--,--,0.05,0.038,,―,―,0.13,0.042,0.065,0.081,0.069,0.042,,0.025,―,―
,,OCDF,0.0003,0.008,0.002,0.023,0.029,0.02,0.061,0.028,0.037,0.049,0.025,,,,OCDF,0.0003,0.02,0.006,0.032,-0.017,,0.008,0.002,0.069,0.024,0.042,0.031,0.046,0.027,,0.033,0.0027,0.0008
,,Total PCDFs,－,―,―,0.87,1,0.54,0.95,0.64,1.1,0.87,0.86,,,,Total PCDFs,－,--,--,0.63,0.58,,―,―,1.6,0.55,0.76,1.1,0.99,0.69,,0.34,―,―
コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.008,0.002,0.03,0.034,0.048,0.044,0.022,0.043,0.023,0.02,,コプラナーPCBs,,"3,4,4',5-TeCB (#81)",0.0003,0.006,0.002,0.017,0.021,,0.008,0.002,0.043,0.025,0.027,0.034,0.041,0.025,,0.012,0.0027,0.0008
,,"3,3',4,4'-TeCB (#77)",0.0001,0.0033,0.0009,0.55,0.45,0.75,0.68,0.4,0.64,0.34,0.32,,,,"3,3',4,4'-TeCB (#77)",0.0001,0.004,0.001,0.28,0.28,,0.0033,0.0009,0.35,0.42,0.32,0.36,0.46,0.33,,0.14,0.0011,0.0003
,,"3,3'4,4',5-PeCB (#126)",0.1,0.005,0.001,0.028,0.028,0.023,0.036,0.025,0.039,0.024,0.021,,,,"3,3'4,4',5-PeCB (#126)",0.1,0.008,0.002,0.022,0.025,,0.005,0.001,0.04,0.024,0.024,0.038,0.035,0.023,,0.01,0.0017,0.0005
,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.008,0.002,-0.004,-0.005,ND,-0.004,ND,-0.004,-0.003,ND,,,,"3,3',4,4',5,5'-HxCB (#169)",0.03,0.009,0.003,-0.004,-0.003,,0.008,0.002,0.01,-0.003,-0.004,ND,-0.005,-0.003,,-0.0011,0.0028,0.0008
,,"2',3,4,4',5-PeCB (#123)",0.00003,0.004,0.001,0.084,0.092,0.13,0.099,0.05,0.095,0.051,0.043,,,,"2',3,4,4',5-PeCB (#123)",0.00003,0.01,0.003,0.048,0.049,,0.004,0.001,0.049,0.054,0.065,0.055,0.068,0.053,,0.02,0.0012,0.0004
,,"2,3',4,4',5-PeCB (#118)",0.00003,0.007,0.002,3.8,4.2,6.2,4.6,2.1,4.4,2.4,1.9,,,,"2,3',4,4',5-PeCB (#118)",0.00003,0.008,0.002,2,2.1,,0.007,0.002,2.2,2.2,2.6,2.2,3,2,,0.78,0.0023,0.0007
,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.003,0.0009,1.3,1.5,2.1,1.7,0.76,1.6,0.89,0.69,,,,"2,3,3',4,4'-PeCB (#105)",0.00003,0.009,0.003,0.76,0.85,,0.003,0.0009,0.75,0.76,0.92,0.85,1.1,0.69,,0.28,0.001,0.0003
,,"2,3,4,4',5-PeCB (#114)",0.00003,0.004,0.001,0.11,0.13,0.21,0.15,0.074,0.14,0.076,0.06,,,,"2,3,4,4',5-PeCB (#114)",0.00003,0.007,0.002,0.066,0.065,,0.004,0.001,0.079,0.07,0.093,0.074,0.095,0.067,,0.025,0.0014,0.0004
,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.006,0.002,0.11,0.12,0.12,0.12,0.058,0.12,0.06,0.054,,,,"2,3',4,4',5,5'-HxCB (#167)",0.00003,0.008,0.003,0.053,0.061,,0.006,0.002,0.066,0.065,0.071,0.078,0.084,0.055,,0.022,0.0019,0.0006
,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.005,0.001,0.18,0.23,0.2,0.22,0.099,0.22,0.14,0.1,,,,"2,3,3',4,4',5-HxCB (#156)",0.00003,0.006,0.002,0.088,0.12,,0.005,0.001,0.12,0.11,0.13,0.13,0.15,0.097,,0.035,0.0017,0.0005
,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.006,0.002,0.043,0.05,0.046,0.047,0.024,0.052,0.034,0.026,,,,"2,3,3',4,4',5'-HxCB (#157)",0.00003,0.005,0.002,0.022,0.028,,0.006,0.002,0.034,0.027,0.031,0.033,0.04,0.025,,0.0091,0.002,0.0006
,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.012,0.003,-0.009,-0.01,-0.007,-0.011,ND,0.012,ND,-0.008,,,,"2,3,3',4,4',5,5'-HpCB (#189)",0.00003,0.009,0.003,-0.007,-0.006,,0.012,0.003,0.017,-0.007,-0.008,0.013,0.013,-0.008,,-0.003,0.004,0.001
,,Total Co-PCBs,－,―,―,6.3,6.9,9.8,7.7,3.6,7.3,4,3.3,,,,Total Co-PCBs,－,－,－,3.4,3.6,,―,―,3.7,3.8,4.3,3.8,5.1,3.4,,1.3,―,―
Total (PCDDs+PCDFs+Co-PCBs),,,－,―,―,7.6,8.4,11,9.2,4.7,9,5.6,4.6,,Total (PCDDs+PCDFs+Co-PCBs),,,－,－,－,4.6,4.7,,―,―,6.8,4.8,5.7,5.6,6.8,4.6,,1.9,―,―
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性等量,,,,,,,,,,,,,単位：pg-TEQ/m3,,毒性等量,,,,,,,単位：pg-TEQ/m3,,,,,,,,,単位：pg-TEQ/m3,,,,単位：pg-TEQ/m3
PCDDs ,,,－,－,－,0.0033,0.0033,0.0029,0.0044,0.0033,0.0039,0.0048,0.0034,,PCDDs,,,－,－,－,0.0023,0.0019,,－,－,0.012,0.0032,0.0024,0.0056,0.0025,0.0037,,0.0013,－,－
PCDFs,,,－,－,－,0.0072,0.0069,0.004,0.009,0.0054,0.01,0.0081,0.0059,,PCDFs,,,－,－,－,0.0071,0.0051,,－,－,0.019,0.0054,0.0083,0.013,0.011,0.0071,,0.0032,－,－
co-PCBs,,,－,－,－,0.0032,0.0032,0.0027,0.004,0.0027,0.0043,0.0026,0.0023,,co-PCBs,,,－,－,－,0.0024,0.0027,,－,－,0.0044,0.0026,0.0027,0.004,0.0038,0.0025,,0.0011,－,－
Total DXN,,,－,－,－,0.014,0.013,0.0096,0.017,0.011,0.018,0.016,0.012,,Total DXN,,,－,－,－,0.012,0.0098,,－,－,0.036,0.011,0.013,0.023,0.017,0.013,,0.0056,－,－
備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,備考：,,(1)毒性等価係数：WHO-TEF 2006,,,,,,,,,,,,,,,,,,
,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,(2)括弧付の数字：検出下限以上定量下限未満,,,,,,,,,,,,,,,,,,
,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,"(3)TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,,,,
,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,(4)有効数字の関係上、合計量が合わない場合がある。,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,(5)西多摩郡檜原局については、吸引量を300L/minとして採取した。,,,,,,,,,,,,,,,,,,
