項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(4)東京湾／St.22／二重測定,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,4.5,3.8,4.2,-,5.1,5.5,0.6,2.7,2.7,4.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.30,0.10,-,pg/g,6.6,5,3.9,3.6,6.7,7.7,2.2,5.4,4.6,6.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/g,95,95,110,100,200,210,28,120,130,180
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.30,0.10,0.03,pg/g,4.9,3.9,3.1,3.4,6.1,6.4,1.9,4.8,4,7.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.30,0.10,0.3,pg/g,4.7,4.1,4,4.2,6.8,6.6,1.5,4.2,4.3,7.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/g,140,180,130,140,730,700,46,620,770,570
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.70,0.20,0.1,pg/g,9.7,8.6,7.6,7.8,15,15,4.4,9.8,7.4,16
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,6.3,6.5,6.4,6.7,12,11,2,6.6,6.7,14
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.70,0.20,0.1,pg/g,0.9,(0.7),0.7,0.64,1.1,1,(0.3),0.9,(0.6),1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.70,0.20,0.1,pg/g,9.7,10,9.7,11,22,24,2.5,13,14,25
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/g,190,240,180,180,1100,1100,71,980,1200,900
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.70,0.20,0.01,pg/g,77,72,49,57,150,150,32,85,57,160
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.70,0.20,0.01,pg/g,7.7,7.2,7.7,7.7,14,15,3,8.5,5.9,15
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/g,220,230,150,170,610,620,100,430,380,570
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,1.70,0.50,0.0003,pg/g,260,230,130,140,410,420,130,240,110,410
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/g,900,970,700,720,3100,3100,380,2400,2600,2600
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/g,3900,4500,6700,6500,11000,11000,1200,6600,4700,11000
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.70,0.20,0.0003,pg/g,18,11,8.5,8.3,9,8.9,4.1,7,9.1,8.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.70,0.20,0.0001,pg/g,970,1000,670,890,460,490,180,340,280,320
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.70,0.20,0.1,pg/g,26,21,18,18,19,18,5.2,13,16,18
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.70,0.20,0.03,pg/g,2.5,2.1,2.6,2.4,2.9,3.1,(0.5),1.8,2.3,3.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/g,1000,1000,700,920,490,520,190,360,310,350
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.70,0.20,0.00003,pg/g,78,50,40,32,33,30,18,27,44,34
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.70,0.20,0.00003,pg/g,5300,3000,2100,1800,2400,2300,1300,1800,2700,2400
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.70,0.20,0.00003,pg/g,2300,1100,750,570,930,850,340,690,880,920
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.70,0.20,0.00003,pg/g,87,39,37,34,24,21,16,24,46,28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.70,0.20,0.00003,pg/g,170,83,63,65,85,79,36,67,110,92
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.70,0.20,0.00003,pg/g,420,190,150,150,150,140,84,150,270,190
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.70,0.20,0.00003,pg/g,100,50,38,43,48,45,22,39,68,52
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.70,0.20,0.00003,pg/g,28,15,10,12,17,14,6.7,12,18,20
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/g,8500,4500,3200,2700,3700,3500,1800,2800,4100,3700
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/g,9500,5600,3900,3600,4200,4000,2000,3200,4400,4100
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/g,13000,10000,11000,10000,16000,15000,3200,9800,9100,15000
TEQ（PCDDs＋PCDFs）※2,,,,,pg-TEQ/g,12,12,14,14,24,24,3.9,14,11,26
TEQ（ｺﾌﾟﾗﾅｰPCBs）※2,,,,,pg-TEQ/g,3,2.4,2,2,2.1,2,0.61,1.5,1.8,2.1
TEQ（WHO-TEF(2006)）※2,,,,,pg-TEQ/g,15,15,16,16,26,27,4.5,16,13,28
TEQ（WHO-TEF(1998)）※2，※3,,,,,pg-TEQ/g,16,15,17,-,27,27,4.8,16,14,29
強熱減量,,,,,％,8.9,9.2,10,10,15,15,7.6,14,12,15
泥分率,,,,,％,80,77,98,98,91,98,71,98,98,98
※1 単位のpg/gは乾燥重量あたりの換算濃度である。,,,,,,,,,,,,,,,
"※2 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※3 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
