区分,レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2)
テナントビル（オフィス系、小規模）,A2,0.75超-0.80以下,59.2超-63.2以下,24,1934
テナントビル（オフィス系、小規模）,A2-,0.80超-0.85以下,63.2超-67.1以下,25,2022
テナントビル（オフィス系、小規模）,A1+,0.85超-0.90以下,67.1超-71.1以下,35,2157
テナントビル（オフィス系、小規模）,A1,0.90超-0.95以下,71.1超-75.0以下,24,2004
テナントビル（オフィス系、小規模）,A1-,0.95超-1.00以下,75.0超-78.9以下,28,2151
テナントビル（オフィス系、小規模）,B2+,1.00超-1.05以下,78.9超-82.9以下,26,2023
テナントビル（オフィス系、小規模）,B2,1.05超-1.10以下,82.9超-86.8以下,24,2026
テナントビル（オフィス系、小規模）,B2-,1.10超-1.15以下,86.8超-90.8以下,20,2118
テナントビル（オフィス系、小規模）,B1,1.15超-1.50以下,90.8超-118.4以下,87,1966
テナントビル（オフィス系、小規模）,C,1.50超,118.4超,53,1660
テナントビル（オフィス系、中規模）,A4,0.55以下,41.6以下,52,5473
テナントビル（オフィス系、中規模）,A3+,0.55超-0.60以下,41.6超-45.3以下,19,4997
テナントビル（オフィス系、中規模）,A3,0.60超-0.65以下,45.3超-49.1以下,19,5580
テナントビル（オフィス系、中規模）,A3-,0.65超-0.70以下,49.1超-52.9以下,33,5872
テナントビル（オフィス系、中規模）,A2+,0.70超-0.75以下,52.9超-56.7以下,33,5576
テナントビル（オフィス系、中規模）,A2,0.75超-0.80以下,56.7超-60.4以下,47,5445
テナントビル（オフィス系、中規模）,A2-,0.80超-0.85以下,60.4超-64.2以下,51,5604
テナントビル（オフィス系、中規模）,A1+,0.85超-0.90以下,64.2超-68.0以下,58,5580
テナントビル（オフィス系、中規模）,A1,0.90超-0.95以下,68.0超-71.8以下,57,5570
テナントビル（オフィス系、中規模）,A1-,0.95超-1.00以下,71.8超-75.5以下,61,5334
テナントビル（オフィス系、中規模）,B2+,1.00超-1.05以下,75.5超-79.3以下,53,6057
テナントビル（オフィス系、中規模）,B2,1.05超-1.10以下,79.3超-83.1以下,51,5739
テナントビル（オフィス系、中規模）,B2-,1.10超-1.15以下,83.1超-86.9以下,38,5808
テナントビル（オフィス系、中規模）,B1,1.15超-1.50以下,86.9超-113.3以下,126,5541
テナントビル（オフィス系、中規模）,C,1.50超,113.3超,64,5812
テナントビル（オフィス系、準大規模）,A4,0.55以下,41.4以下,10,13061
テナントビル（オフィス系、準大規模）,A3+,0.55超-0.60以下,41.4超-45.1以下,6,14715
テナントビル（オフィス系、準大規模）,A3,0.60超-0.65以下,45.1超-48.9以下,4,12346
テナントビル（オフィス系、準大規模）,A3-,0.65超-0.70以下,48.9超-52.6以下,7,11796
テナントビル（オフィス系、準大規模）,A2+,0.70超-0.75以下,52.6超-56.4以下,8,12261
テナントビル（オフィス系、準大規模）,A2,0.75超-0.80以下,56.4超-60.1以下,7,13809
テナントビル（オフィス系、準大規模）,A2-,0.80超-0.85以下,60.1超-63.9以下,17,14752
テナントビル（オフィス系、準大規模）,A1+,0.85超-0.90以下,63.9超-67.6以下,15,14375
テナントビル（オフィス系、準大規模）,A1,0.90超-0.95以下,67.6超-71.4以下,14,13845
テナントビル（オフィス系、準大規模）,A1-,0.95超-1.00以下,71.4超-75.1以下,21,14280
テナントビル（オフィス系、準大規模）,B2+,1.00超-1.05以下,75.1超-78.9以下,14,14232
テナントビル（オフィス系、準大規模）,B2,1.05超-1.10以下,78.9超-82.7以下,13,13572
テナントビル（オフィス系、準大規模）,B2-,1.10超-1.15以下,82.7超-86.4以下,5,12583
テナントビル（オフィス系、準大規模）,B1,1.15超-1.50以下,86.4超-112.7以下,48,14382
テナントビル（オフィス系、準大規模）,C,1.50超,112.7超,10,14548
テナントビル（商業複合系、小規模）,A4,0.55以下,114.3以下,38,1654
テナントビル（商業複合系、小規模）,A3+,0.55超-0.60以下,114.3超-124.7以下,6,1765
テナントビル（商業複合系、小規模）,A3,0.60超-0.65以下,124.7超-135.1以下,4,1884
テナントビル（商業複合系、小規模）,A3-,0.65超-0.70以下,135.1超-145.4以下,6,1510
テナントビル（商業複合系、小規模）,A2+,0.70超-0.75以下,145.4超-155.8以下,2,1448
テナントビル（商業複合系、小規模）,A2,0.75超-0.80以下,155.8超-166.2以下,5,1632
テナントビル（商業複合系、小規模）,A2-,0.80超-0.85以下,166.2超-176.6以下,2,1513
テナントビル（商業複合系、小規模）,A1+,0.85超-0.90以下,176.6超-187.0以下,5,2012
テナントビル（商業複合系、小規模）,A1,0.90超-0.95以下,187.0超-197.4以下,2,2762
テナントビル（商業複合系、小規模）,A1-,0.95超-1.00以下,197.4超-207.7以下,6,1848
テナントビル（商業複合系、小規模）,B2+,1.00超-1.05以下,207.7超-218.1以下,5,2072
テナントビル（商業複合系、小規模）,B2,1.05超-1.10以下,218.1超-228.5以下,6,2048
テナントビル（商業複合系、小規模）,B2-,1.10超-1.15以下,228.5超-238.9以下,2,1891
テナントビル（商業複合系、小規模）,B1,1.15超-1.50以下,238.9超-311.6以下,17,1923
テナントビル（商業複合系、小規模）,C,1.50超,311.6超,29,1753
テナントビル（商業複合系、中規模）,A4,0.55以下,96.2以下,19,5780
テナントビル（商業複合系、中規模）,A3+,0.55超-0.60以下,96.2超-104.9以下,2,6147
テナントビル（商業複合系、中規模）,A3,0.60超-0.65以下,104.9超-113.7以下,2,6152
テナントビル（商業複合系、中規模）,A3-,0.65超-0.70以下,113.7超-122.4以下,5,6706
テナントビル（商業複合系、中規模）,A2+,0.70超-0.75以下,122.4超-131.1以下,6,5772
テナントビル（商業複合系、中規模）,A2,0.75超-0.80以下,131.1超-139.9以下,7,6284
テナントビル（商業複合系、中規模）,A2-,0.80超-0.85以下,139.9超-148.6以下,4,6551
テナントビル（商業複合系、中規模）,A1+,0.85超-0.90以下,148.6超-157.4以下,3,7180
テナントビル（商業複合系、中規模）,A1,0.90超-0.95以下,157.4超-166.1以下,4,5036
テナントビル（商業複合系、中規模）,A1-,0.95超-1.00以下,166.1超-174.8以下,12,6357
テナントビル（商業複合系、中規模）,B2+,1.00超-1.05以下,174.8超-183.6以下,5,5019
テナントビル（商業複合系、中規模）,B2,1.05超-1.10以下,183.6超-192.3以下,4,4398
テナントビル（商業複合系、中規模）,B2-,1.10超-1.15以下,192.3超-201.1以下,7,5180
テナントビル（商業複合系、中規模）,B1,1.15超-1.50以下,201.1超-262.2以下,23,5518
テナントビル（商業複合系、中規模）,C,1.50超,262.2超,15,4965
テナントビル（商業複合系、準大規模）,A4,0.55以下,68.3以下,3,16663
テナントビル（商業複合系、準大規模）,A3+,0.55超-0.60以下,68.3超-74.5以下,1,10472
テナントビル（商業複合系、準大規模）,A3,0.60超-0.65以下,74.5超-80.7以下,3,15116
テナントビル（商業複合系、準大規模）,A3-,0.65超-0.70以下,80.7超-86.9以下,0,0
テナントビル（商業複合系、準大規模）,A2+,0.70超-0.75以下,86.9超-93.1以下,2,13227
テナントビル（商業複合系、準大規模）,A2,0.75超-0.80以下,93.1超-99.3以下,1,15120
テナントビル（商業複合系、準大規模）,A2-,0.80超-0.85以下,99.3超-105.5以下,3,14173
テナントビル（商業複合系、準大規模）,A1+,0.85超-0.90以下,105.5超-111.7以下,0,0
テナントビル（商業複合系、準大規模）,A1,0.90超-0.95以下,111.7超-117.9以下,5,15446
テナントビル（商業複合系、準大規模）,A1-,0.95超-1.00以下,117.9超-124.1以下,6,12705
テナントビル（商業複合系、準大規模）,B2+,1.00超-1.05以下,124.1超-130.4以下,1,17214
テナントビル（商業複合系、準大規模）,B2,1.05超-1.10以下,130.4超-136.6以下,2,12616
テナントビル（商業複合系、準大規模）,B2-,1.10超-1.15以下,136.6超-142.8以下,4,12393
テナントビル（商業複合系、準大規模）,B1,1.15超-1.50以下,142.8超-186.2以下,4,12191
テナントビル（商業複合系、準大規模）,C,1.50超,186.2超,5,10928
物販店（コンビニ）,A4,0.55以下,322.0以下,80,202
物販店（コンビニ）,A3+,0.55超-0.60以下,322.0超-351.3以下,62,194
物販店（コンビニ）,A3,0.60超-0.65以下,351.3超-380.6以下,106,193
物販店（コンビニ）,A3-,0.65超-0.70以下,380.6超-409.8以下,146,188
物販店（コンビニ）,A2+,0.70超-0.75以下,409.8超-439.1以下,221,177
物販店（コンビニ）,A2,0.75超-0.80以下,439.1超-468.4以下,251,170
物販店（コンビニ）,A2-,0.80超-0.85以下,468.4超-497.6以下,341,162
物販店（コンビニ）,A1+,0.85超-0.90以下,497.6超-526.9以下,307,152
物販店（コンビニ）,A1,0.90超-0.95以下,526.9超-556.2以下,293,144
物販店（コンビニ）,A1-,0.95超-1.00以下,556.2超-585.4以下,302,137
物販店（コンビニ）,B2+,1.00超-1.05以下,585.4超-614.7以下,230,132
物販店（コンビニ）,B2,1.05超-1.10以下,614.7超-644.0以下,208,128
物販店（コンビニ）,B2-,1.10超-1.15以下,644.0超-673.3以下,181,122
物販店（コンビニ）,B1,1.15超-1.50以下,673.3超-878.1以下,708,109
物販店（コンビニ）,C,1.50超,878.1超,210,88
物販店（ドラッグストア）,A4,0.55以下,162.5以下,28,465
物販店（ドラッグストア）,A3+,0.55超-0.60以下,162.5超-177.3以下,7,625
物販店（ドラッグストア）,A3,0.60超-0.65以下,177.3超-192.1以下,20,531
物販店（ドラッグストア）,A3-,0.65超-0.70以下,192.1超-206.8以下,18,436
物販店（ドラッグストア）,A2+,0.70超-0.75以下,206.8超-221.6以下,15,456
物販店（ドラッグストア）,A2,0.75超-0.80以下,221.6超-236.4以下,20,375
物販店（ドラッグストア）,A2-,0.80超-0.85以下,236.4超-251.1以下,25,321
物販店（ドラッグストア）,A1+,0.85超-0.90以下,251.1超-265.9以下,19,327
物販店（ドラッグストア）,A1,0.90超-0.95以下,265.9超-280.7以下,23,342
物販店（ドラッグストア）,A1-,0.95超-1.00以下,280.7超-295.4以下,16,282
物販店（ドラッグストア）,B2+,1.00超-1.05以下,295.4超-310.2以下,20,323
物販店（ドラッグストア）,B2,1.05超-1.10以下,310.2超-325.0以下,12,278
物販店（ドラッグストア）,B2-,1.10超-1.15以下,325.0超-339.8以下,17,256
物販店（ドラッグストア）,B1,1.15超-1.50以下,339.8超-443.1以下,40,232
物販店（ドラッグストア）,C,1.50超,443.1超,32,193
物販店（総合スーパー・百貨店）,A4,0.55以下,142.9以下,74,11307
物販店（総合スーパー・百貨店）,A3+,0.55超-0.60以下,142.9超-155.9以下,11,5416
物販店（総合スーパー・百貨店）,A3,0.60超-0.65以下,155.9超-168.9以下,14,5989
物販店（総合スーパー・百貨店）,A3-,0.65超-0.70以下,168.9超-181.8以下,15,4235
物販店（総合スーパー・百貨店）,A2+,0.70超-0.75以下,181.8超-194.8以下,15,4896
物販店（総合スーパー・百貨店）,A2,0.75超-0.80以下,194.8超-207.8以下,16,3540
物販店（総合スーパー・百貨店）,A2-,0.80超-0.85以下,207.8超-220.8以下,14,2375
物販店（総合スーパー・百貨店）,A1+,0.85超-0.90以下,220.8超-233.8以下,16,3231
物販店（総合スーパー・百貨店）,A1,0.90超-0.95以下,233.8超-246.8以下,18,2241
物販店（総合スーパー・百貨店）,A1-,0.95超-1.00以下,246.8超-259.7以下,20,2715
物販店（総合スーパー・百貨店）,B2+,1.00超-1.05以下,259.7超-272.7以下,17,2360
物販店（総合スーパー・百貨店）,B2,1.05超-1.10以下,272.7超-285.7以下,18,2002
物販店（総合スーパー・百貨店）,B2-,1.10超-1.15以下,285.7超-298.7以下,16,1953
物販店（総合スーパー・百貨店）,B1,1.15超-1.50以下,298.7超-389.6以下,105,1551
物販店（総合スーパー・百貨店）,C,1.50超,389.6超,54,1260
物販店（生鮮食品等）,A4,0.55以下,212.9以下,99,5249
物販店（生鮮食品等）,A3+,0.55超-0.60以下,212.9超-232.2以下,28,2717
物販店（生鮮食品等）,A3,0.60超-0.65以下,232.2超-251.6以下,36,2612
物販店（生鮮食品等）,A3-,0.65超-0.70以下,251.6超-270.9以下,47,2313
物販店（生鮮食品等）,A2+,0.70超-0.75以下,270.9超-290.3以下,30,2093
物販店（生鮮食品等）,A2,0.75超-0.80以下,290.3超-309.6以下,34,1702
物販店（生鮮食品等）,A2-,0.80超-0.85以下,309.6超-329.0以下,33,1757
物販店（生鮮食品等）,A1+,0.85超-0.90以下,329.0超-348.3以下,37,1714
物販店（生鮮食品等）,A1,0.90超-0.95以下,348.3超-367.7以下,22,1187
物販店（生鮮食品等）,A1-,0.95超-1.00以下,367.7超-387.0以下,21,933
物販店（生鮮食品等）,B2+,1.00超-1.05以下,387.0超-406.4以下,30,676
物販店（生鮮食品等）,B2,1.05超-1.10以下,406.4超-425.7以下,24,933
物販店（生鮮食品等）,B2-,1.10超-1.15以下,425.7超-445.1以下,30,492
物販店（生鮮食品等）,B1,1.15超-1.50以下,445.1超-580.5以下,129,450
物販店（生鮮食品等）,C,1.50超,580.5超,94,303
物販店（食料品の製造小売）,A4,0.55以下,421.0以下,12,96
物販店（食料品の製造小売）,A3+,0.55超-0.60以下,421.0超-459.2以下,7,112
物販店（食料品の製造小売）,A3,0.60超-0.65以下,459.2超-497.5以下,10,111
物販店（食料品の製造小売）,A3-,0.65超-0.70以下,497.5超-535.8以下,22,103
物販店（食料品の製造小売）,A2+,0.70超-0.75以下,535.8超-574.0以下,23,98
物販店（食料品の製造小売）,A2,0.75超-0.80以下,574.0超-612.3以下,22,96
物販店（食料品の製造小売）,A2-,0.80超-0.85以下,612.3超-650.6以下,22,95
物販店（食料品の製造小売）,A1+,0.85超-0.90以下,650.6超-688.8以下,25,91
物販店（食料品の製造小売）,A1,0.90超-0.95以下,688.8超-727.1以下,29,82
物販店（食料品の製造小売）,A1-,0.95超-1.00以下,727.1超-765.3以下,20,74
物販店（食料品の製造小売）,B2+,1.00超-1.05以下,765.3超-803.6以下,16,76
物販店（食料品の製造小売）,B2,1.05超-1.10以下,803.6超-841.9以下,20,72
物販店（食料品の製造小売）,B2-,1.10超-1.15以下,841.9超-880.1以下,20,73
物販店（食料品の製造小売）,B1,1.15超-1.50以下,880.1超-1148.0以下,95,65
物販店（食料品の製造小売）,C,1.50超,1148.0超,12,50
物販店（服飾品）,A4,0.55以下,68.7以下,14,849
物販店（服飾品）,A3+,0.55超-0.60以下,68.7超-74.9以下,7,1497
物販店（服飾品）,A3,0.60超-0.65以下,74.9超-81.2以下,7,1191
物販店（服飾品）,A3-,0.65超-0.70以下,81.2超-87.4以下,6,1038
物販店（服飾品）,A2+,0.70超-0.75以下,87.4超-93.6以下,5,1337
物販店（服飾品）,A2,0.75超-0.80以下,93.6超-99.9以下,9,1144
物販店（服飾品）,A2-,0.80超-0.85以下,99.9超-106.1以下,14,996
物販店（服飾品）,A1+,0.85超-0.90以下,106.1超-112.4以下,12,881
物販店（服飾品）,A1,0.90超-0.95以下,112.4超-118.6以下,11,972
物販店（服飾品）,A1-,0.95超-1.00以下,118.6超-124.8以下,8,651
物販店（服飾品）,B2+,1.00超-1.05以下,124.8超-131.1以下,16,817
物販店（服飾品）,B2,1.05超-1.10以下,131.1超-137.3以下,10,887
物販店（服飾品）,B2-,1.10超-1.15以下,137.3超-143.6以下,6,1249
物販店（服飾品）,B1,1.15超-1.50以下,143.6超-187.2以下,32,713
物販店（服飾品）,C,1.50超,187.2超,11,1308
物販店（自動車（新車）小売）,A4,0.55以下,34.9以下,19,2979
物販店（自動車（新車）小売）,A3+,0.55超-0.60以下,34.9超-38.1以下,13,1930
物販店（自動車（新車）小売）,A3,0.60超-0.65以下,38.1超-41.3以下,12,2404
物販店（自動車（新車）小売）,A3-,0.65超-0.70以下,41.3超-44.4以下,11,1618
物販店（自動車（新車）小売）,A2+,0.70超-0.75以下,44.4超-47.6以下,14,1747
物販店（自動車（新車）小売）,A2,0.75超-0.80以下,47.6超-50.8以下,20,2013
物販店（自動車（新車）小売）,A2-,0.80超-0.85以下,50.8超-53.9以下,13,1572
物販店（自動車（新車）小売）,A1+,0.85超-0.90以下,53.9超-57.1以下,24,1421
物販店（自動車（新車）小売）,A1,0.90超-0.95以下,57.1超-60.3以下,15,1675
物販店（自動車（新車）小売）,A1-,0.95超-1.00以下,60.3超-63.4以下,14,1095
物販店（自動車（新車）小売）,B2+,1.00超-1.05以下,63.4超-66.6以下,14,1444
物販店（自動車（新車）小売）,B2,1.05超-1.10以下,66.6超-69.8以下,13,1138
物販店（自動車（新車）小売）,B2-,1.10超-1.15以下,69.8超-73.0以下,13,1508
物販店（自動車（新車）小売）,B1,1.15超-1.50以下,73.0超-95.1以下,45,1575
物販店（自動車（新車）小売）,C,1.50超,95.1超,27,1182
飲食店（食堂・レストラン）,A4,0.55以下,328.2以下,198,373
飲食店（食堂・レストラン）,A3+,0.55超-0.60以下,328.2超-358.0以下,80,306
飲食店（食堂・レストラン）,A3,0.60超-0.65以下,358.0超-387.8以下,116,306
飲食店（食堂・レストラン）,A3-,0.65超-0.70以下,387.8超-417.7以下,113,304
飲食店（食堂・レストラン）,A2+,0.70超-0.75以下,417.7超-447.5以下,91,297
飲食店（食堂・レストラン）,A2,0.75超-0.80以下,447.5超-477.3以下,92,284
飲食店（食堂・レストラン）,A2-,0.80超-0.85以下,477.3超-507.2以下,71,282
飲食店（食堂・レストラン）,A1+,0.85超-0.90以下,507.2超-537.0以下,81,274
飲食店（食堂・レストラン）,A1,0.90超-0.95以下,537.0超-566.8以下,61,260
飲食店（食堂・レストラン）,A1-,0.95超-1.00以下,566.8超-596.6以下,63,231
飲食店（食堂・レストラン）,B2+,1.00超-1.05以下,596.6超-626.5以下,46,245
飲食店（食堂・レストラン）,B2,1.05超-1.10以下,626.5超-656.3以下,38,225
飲食店（食堂・レストラン）,B2-,1.10超-1.15以下,656.3超-686.1以下,37,228
飲食店（食堂・レストラン）,B1,1.15超-1.50以下,686.1超-894.9以下,248,136
飲食店（食堂・レストラン）,C,1.50超,894.9超,234,85
飲食店（居酒屋・バー）,A4,0.55以下,200.9以下,75,416
飲食店（居酒屋・バー）,A3+,0.55超-0.60以下,200.9超-219.1以下,50,432
飲食店（居酒屋・バー）,A3,0.60超-0.65以下,219.1超-237.4以下,57,334
飲食店（居酒屋・バー）,A3-,0.65超-0.70以下,237.4超-255.6以下,58,346
飲食店（居酒屋・バー）,A2+,0.70超-0.75以下,255.6超-273.9以下,68,323
飲食店（居酒屋・バー）,A2,0.75超-0.80以下,273.9超-292.1以下,87,286
飲食店（居酒屋・バー）,A2-,0.80超-0.85以下,292.1超-310.4以下,77,281
飲食店（居酒屋・バー）,A1+,0.85超-0.90以下,310.4超-328.6以下,68,279
飲食店（居酒屋・バー）,A1,0.90超-0.95以下,328.6超-346.9以下,67,271
飲食店（居酒屋・バー）,A1-,0.95超-1.00以下,346.9超-365.1以下,78,262
飲食店（居酒屋・バー）,B2+,1.00超-1.05以下,365.1超-383.4以下,64,255
飲食店（居酒屋・バー）,B2,1.05超-1.10以下,383.4超-401.7以下,46,234
飲食店（居酒屋・バー）,B2-,1.10超-1.15以下,401.7超-419.9以下,41,249
飲食店（居酒屋・バー）,B1,1.15超-1.50以下,419.9超-547.7以下,177,229
飲食店（居酒屋・バー）,C,1.50超,547.7超,114,173
飲食店（ハンバーガー）,A4,0.55以下,403.4以下,19,356
飲食店（ハンバーガー）,A3+,0.55超-0.60以下,403.4超-440.1以下,13,372
飲食店（ハンバーガー）,A3,0.60超-0.65以下,440.1超-476.8以下,15,308
飲食店（ハンバーガー）,A3-,0.65超-0.70以下,476.8超-513.4以下,22,252
飲食店（ハンバーガー）,A2+,0.70超-0.75以下,513.4超-550.1以下,23,272
飲食店（ハンバーガー）,A2,0.75超-0.80以下,550.1超-586.8以下,31,289
飲食店（ハンバーガー）,A2-,0.80超-0.85以下,586.8超-623.4以下,23,268
飲食店（ハンバーガー）,A1+,0.85超-0.90以下,623.4超-660.1以下,36,225
飲食店（ハンバーガー）,A1,0.90超-0.95以下,660.1超-696.8以下,23,224
飲食店（ハンバーガー）,A1-,0.95超-1.00以下,696.8超-733.4以下,29,202
飲食店（ハンバーガー）,B2+,1.00超-1.05以下,733.4超-770.1以下,23,211
飲食店（ハンバーガー）,B2,1.05超-1.10以下,770.1超-806.8以下,25,184
飲食店（ハンバーガー）,B2-,1.10超-1.15以下,806.8超-843.5以下,16,192
飲食店（ハンバーガー）,B1,1.15超-1.50以下,843.5超-1100.1以下,82,153
飲食店（ハンバーガー）,C,1.50超,1100.1超,33,103
飲食店（喫茶）,A4,0.55以下,227.8以下,44,145
飲食店（喫茶）,A3+,0.55超-0.60以下,227.8超-248.5以下,18,182
飲食店（喫茶）,A3,0.60超-0.65以下,248.5超-269.2以下,15,161
飲食店（喫茶）,A3-,0.65超-0.70以下,269.2超-289.9以下,16,169
飲食店（喫茶）,A2+,0.70超-0.75以下,289.9超-310.6以下,18,132
飲食店（喫茶）,A2,0.75超-0.80以下,310.6超-331.3以下,26,160
飲食店（喫茶）,A2-,0.80超-0.85以下,331.3超-352.0以下,20,152
飲食店（喫茶）,A1+,0.85超-0.90以下,352.0超-372.7以下,19,169
飲食店（喫茶）,A1,0.90超-0.95以下,372.7超-393.4以下,16,104
飲食店（喫茶）,A1-,0.95超-1.00以下,393.4超-414.1以下,19,136
飲食店（喫茶）,B2+,1.00超-1.05以下,414.1超-434.9以下,27,147
飲食店（喫茶）,B2,1.05超-1.10以下,434.9超-455.6以下,23,134
飲食店（喫茶）,B2-,1.10超-1.15以下,455.6超-476.3以下,20,162
飲食店（喫茶）,B1,1.15超-1.50以下,476.3超-621.2以下,71,127
飲食店（喫茶）,C,1.50超,621.2超,42,90
飲食店（焼肉）,A4,0.55以下,309.1以下,5,344
飲食店（焼肉）,A3+,0.55超-0.60以下,309.1超-337.2以下,1,139
飲食店（焼肉）,A3,0.60超-0.65以下,337.2超-365.3以下,3,378
飲食店（焼肉）,A3-,0.65超-0.70以下,365.3超-393.4以下,4,243
飲食店（焼肉）,A2+,0.70超-0.75以下,393.4超-421.5以下,5,202
飲食店（焼肉）,A2,0.75超-0.80以下,421.5超-449.6以下,13,167
飲食店（焼肉）,A2-,0.80超-0.85以下,449.6超-477.7以下,12,187
飲食店（焼肉）,A1+,0.85超-0.90以下,477.7超-505.8以下,11,182
飲食店（焼肉）,A1,0.90超-0.95以下,505.8超-533.9以下,13,186
飲食店（焼肉）,A1-,0.95超-1.00以下,533.9超-561.9以下,13,199
飲食店（焼肉）,B2+,1.00超-1.05以下,561.9超-590.0以下,7,184
飲食店（焼肉）,B2,1.05超-1.10以下,590.0超-618.1以下,7,143
飲食店（焼肉）,B2-,1.10超-1.15以下,618.1超-646.2以下,2,240
飲食店（焼肉）,B1,1.15超-1.50以下,646.2超-842.9以下,14,118
飲食店（焼肉）,C,1.50超,842.9超,9,114
飲食店（中華料理・ラーメン）,A4,0.55以下,541.9以下,9,121
飲食店（中華料理・ラーメン）,A3+,0.55超-0.60以下,541.9超-591.1以下,6,134
飲食店（中華料理・ラーメン）,A3,0.60超-0.65以下,591.1超-640.4以下,5,85
飲食店（中華料理・ラーメン）,A3-,0.65超-0.70以下,640.4超-689.6以下,10,152
飲食店（中華料理・ラーメン）,A2+,0.70超-0.75以下,689.6超-738.9以下,15,137
飲食店（中華料理・ラーメン）,A2,0.75超-0.80以下,738.9超-788.1以下,6,146
飲食店（中華料理・ラーメン）,A2-,0.80超-0.85以下,788.1超-837.4以下,9,112
飲食店（中華料理・ラーメン）,A1+,0.85超-0.90以下,837.4超-886.6以下,9,98
飲食店（中華料理・ラーメン）,A1,0.90超-0.95以下,886.6超-935.9以下,14,111
飲食店（中華料理・ラーメン）,A1-,0.95超-1.00以下,935.9超-985.1以下,11,112
飲食店（中華料理・ラーメン）,B2+,1.00超-1.05以下,985.1超-1034.4以下,12,103
飲食店（中華料理・ラーメン）,B2,1.05超-1.10以下,1034.4超-1083.7以下,12,94
飲食店（中華料理・ラーメン）,B2-,1.10超-1.15以下,1083.7超-1132.9以下,12,100
飲食店（中華料理・ラーメン）,B1,1.15超-1.50以下,1132.9超-1477.7以下,43,87
飲食店（中華料理・ラーメン）,C,1.50超,1477.7超,10,74
飲食店（その他）,A4,0.55以下,395.3以下,63,324
飲食店（その他）,A3+,0.55超-0.60以下,395.3超-431.3以下,16,236
飲食店（その他）,A3,0.60超-0.65以下,431.3超-467.2以下,27,160
飲食店（その他）,A3-,0.65超-0.70以下,467.2超-503.1以下,20,129
飲食店（その他）,A2+,0.70超-0.75以下,503.1超-539.1以下,22,141
飲食店（その他）,A2,0.75超-0.80以下,539.1超-575.0以下,18,150
飲食店（その他）,A2-,0.80超-0.85以下,575.0超-610.9以下,22,131
飲食店（その他）,A1+,0.85超-0.90以下,610.9超-646.9以下,28,119
飲食店（その他）,A1,0.90超-0.95以下,646.9超-682.8以下,16,109
