項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1中川／平井小橋,2新中川／小岩大橋,3隅田川／小台橋,4新河岸川／志茂橋,5石神井川／豊石橋,6横十間川／天神橋,7北十間川／京成橋,8旧中川／中平井橋
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/ｌ,71,43,160,98,21,590,290,190
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/ｌ,96,50,190,120,24,700,330,220
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/ｌ,340,240,230,150,27,1100,400,250
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/ｌ,0.45684,0.40383,0.13562,0.11676,0.0729,2.6814,0.32634,0.125
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/ｌ,0.0505041,0.0228938,0.0502348,0.0347468,0.0088168,0.204903,0.088996,0.0527934
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/ｌ,0.5073441,0.4267238,0.1858548,0.1515068,0.0817168,2.886303,0.415336,0.1777934
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/ｌ,0.502576,0.4219709,0.209422,0.171446,0.0868205,3.48169,0.4666,0.195037
浮遊物質量（SS）,,,,,mg/ｌ,11,10,7,6,1,5,6,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,
