No.,分野,区分,下地,仕上げの種類,工程,材料,所要量(kg/m2),シンナー,希釈率(%),塗り回数(回),塗装方法,工程内間隔時間(hr),工程間間隔時間(hr),VOC量(g/m2),耐久性ランク,材工費ランク,参考資料
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,主材模様塗り,防水形外装薄塗材Ｅ主材,0.4以上,水道水,製造所の指定,1,吹付け,―,1以内,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,―,―,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.3,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,下塗り／増塗り／主材基層塗り／主材模様塗り／（凸部処理）,,,,,,,,,4,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.3,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,下塗り,防水形外装薄塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.3,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,増塗り,防水形外装薄塗材Ｅ主材,0.7以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.3,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,主材基層塗り,防水形外装薄塗材Ｅ主材,1.0以上,水道水,製造所の指定,1～2,吹付け,5以上,16以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.3,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,主材模様塗り,防水形外装薄塗材Ｅ主材,0.4以上,水道水,製造所の指定,1,吹付け,―,1以内,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.3,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,―,―,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,下塗り／増塗り／主材基層塗り／主材模様塗り／下塗り／増塗り／主材基層塗り／主材模様塗り,,,,,,,,,70,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,下塗り,防水形外装薄塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,増塗り,防水形外装薄塗材Ｅ主材,0.7以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,主材基層塗り,防水形外装薄塗材Ｅ主材,1.0以上,水道水,製造所の指定,1～2,ローラー,5以上,16以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,主材模様塗り,防水形外装薄塗材Ｅ主材,0.4以上,水道水,製造所の指定,1,ローラー,―,―,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.4,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,下塗り／増塗り／主材基層塗り／主材模様塗り,,,,,,,,,4,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.4,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,下塗り,防水形外装薄塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.4,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,増塗り,防水形外装薄塗材Ｅ主材,0.7以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.4,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,主材基層塗り,防水形外装薄塗材Ｅ主材,1.0以上,水道水,製造所の指定,1～2,ローラー,5以上,16以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.4,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（ゆず肌・さざ波状、ローラー塗り）,主材模様塗り,防水形外装薄塗材Ｅ主材,0.4以上,水道水,製造所の指定,1,ローラー,―,―,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,下塗り／主材基層塗り／主材模様塗り／（凸部処理）／上塗り1回目／上塗り2回目,,,,,,,,,367,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,下塗り,外装厚塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,主材基層塗り,外装厚塗材Ｅ主材,1.5以上,水道水,製造所の指定,1,吹付け,―,3以上,,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,主材模様塗り,外装厚塗材Ｅ主材,1.5以上,水道水,製造所の指定,1,吹付け,―,24以上,,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,（凸部処理は0.5以内に行う）,―,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,上塗り1回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,297,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,上塗り2回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,III,Ｃ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,下塗り／主材基層塗り／主材模様塗り／（凸部処理）／上塗り1回目／上塗り2回目,,,,,,,,,19,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,下塗り,外装厚塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,主材基層塗り,外装厚塗材Ｅ主材,1.5以上,水道水,製造所の指定,1,吹付け,―,3以上,,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,主材模様塗り,外装厚塗材Ｅ主材,1.5以上,水道水,製造所の指定,1,吹付け,―,24以上,,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,（凸部処理は0.5以内に行う）,―,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,上塗り1回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,15,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.5,建築,新築,セメント,外装厚塗材Ｅ仕上げ（吹放し・凸部処理、吹付け）,上塗り2回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,III,Ｄ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,下塗り／主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,367,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,下塗り,外装厚塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,主材塗り,外装厚塗材Ｅ主材,3.0以上,水道水,製造所の指定,1～2,こて・ローラー,3以上,24以上,,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,上塗り1回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,297,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,上塗り2回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.6,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,下塗り／主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,19,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.6,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,下塗り,外装厚塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.6,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,主材塗り,外装厚塗材Ｅ主材,3.0以上,水道水,製造所の指定,1～2,こて・ローラー,3以上,24以上,,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.6,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,上塗り1回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,15,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.6,建築,新築,セメント,外装厚塗材Ｅ仕上げ（平たん状・凹凸状、こて・ローラー塗り）,上塗り2回目,外装厚塗材Ｅ上塗材,0.3以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,III,D,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り／主材基層塗り／主材模様塗り／（凸部処理）／上塗り1回目／上塗り2回目,,,,,,,,,317.5,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り,複層塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材基層塗り,複層塗材Ｅ主材,0.7以上,水道水,製造所の指定,1,吹付け,―,16以上,,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材模様塗り,複層塗材Ｅ主材,0.8以上,水道水,製造所の指定,1,吹付け,―,24以上,,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,（凸部処理は１以内に行う）,―,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り1回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り2回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り／主材基層塗り／主材模様塗り／（凸部処理）／上塗り1回目／上塗り2回目,,,,,,,,,16.5,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,下塗り,複層塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材基層塗り,複層塗材Ｅ主材,0.7以上,水道水,製造所の指定,1,吹付け,―,16以上,,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,主材模様塗り,複層塗材Ｅ主材,0.8以上,水道水,製造所の指定,1,吹付け,―,24以上,,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,（凸部処理）,―,―,―,―,―,押えローラー,―,（凸部処理は１以内に行う）,―,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り1回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,12.5,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.7,建築,新築,セメント,複層塗材Ｅ仕上げ（凸部処理・凹凸模様、吹付け）,上塗り2回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,水道水,製造所の指定,1,吹付け・ローラー,―,―,,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り／主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,317.5,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り,複層塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材塗り,複層塗材Ｅ主材,1.0以上,水道水,製造所の指定,1～2,ローラー,16以上,24以上,,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り1回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,247.5,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り上塗り溶剤系,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,上塗り2回目,複層塗材Ｅ上塗材,0.25以上（2回の合計）,シンナー,製造所の指定,1,吹付け・ローラー,―,―,,II,Ｂ,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.8,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り／主材塗り／上塗り1回目／上塗り2回目,,,,,,,,,16.5,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.8,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,下塗り,複層塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.8,建築,新築,セメント,複層塗材Ｅ仕上げ（ゆず肌状、ローラー塗り）,主材塗り,複層塗材Ｅ主材,1.0以上,水道水,製造所の指定,1～2,ローラー,16以上,24以上,,II,Ｃ,日本建築学会「JASS23 吹付け工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」国土交通省  「公共建築工事標準仕様書（建築工事編）」
