項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,4新中川／小岩大橋／二重測定,6隅田川／小台橋,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,(0.09),(0.07),(0.08),0.37,(0.15),(0.08),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.2,0.68,0.91,3.2,0.94,1.2,2.3,0.65,1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.38,0.31,0.37,2.0,0.52,0.48,2.8,0.62,0.66
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,ND,0.33,ND,(0.12),0.20,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.92,0.73,0.88,4.9,1.1,1.0,7.8,1.6,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,1.1,0.7,0.9,6.4,0.8,1.1,11,2.3,2.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,6.5,4.3,4.6,23,5.9,5.9,25,5.9,8
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,75,65,76,110,44,22,83,22,26
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,(0.13),ND,ND,0.80,(0.13),(0.18),0.96,0.29,0.55
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,18,8.5,8.8,110,11,24,45,16,21
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.31,(0.14),0.23,1.4,0.26,0.27,0.66,0.25,0.39
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,(0.14),ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,18,8.6,9,110,11,24,47,17,22
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.49,0.23,0.30,4.3,0.58,0.80,3.3,1.1,1.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,24,15,15,260,39,56,170,64,98
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,7.5,4.7,5.3,58,10,14,53,20,32
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.62,0.31,0.39,4.4,0.80,1.1,3.7,1.2,1.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.67,0.42,0.37,5.8,1.2,1.2,4.6,1.5,2.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.7,1.1,1.2,13,2.9,3.0,11,3.3,4.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.38,0.26,0.29,3.3,0.71,0.69,2.7,0.79,1.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,ND,ND,ND,0.91,(0.19),0.27,0.70,0.25,0.28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,35,22,23,350,55,77,250,92,140
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,54,31,32,460,67,100,300,110,160
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,130,96,110,570,110,120,380,130,190
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.12,0.11,0.12,0.46,0.14,0.19,0.21,0.08,0.085
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.035,0.016,0.025,0.17,0.03,0.033,0.079,0.03,0.046
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.15,0.13,0.15,0.62,0.17,0.22,0.29,0.11,0.13
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.13,0.11,0.13,0.61,0.14,0.24,0.30,0.10,0.13
浮遊物質量（SS）,,,,,mg/L,3,3,3,12,6,3,3,2,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
