項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,ND,ND,(0.08),0.10,(0.04),ND,(0.04),0.15,0.15,(0.04)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.30,(0.08),2.1,2.6,0.66,(0.05),0.59,1.7,1.7,0.23
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,ND,ND,(0.07),(0.09),ND,ND,ND,(0.04),(0.03),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,ND,ND,(0.07),(0.08),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.44,0.41,1.9,2.2,4.3,0.22,1.8,12,11,2.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.18),(0.19),ND,ND,(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.13),(0.16),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,(0.15),0.20,ND,ND,ND,(0.06),(0.07),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,0.46,0.81,2.6,3.1,4.5,0.49,2.6,11,11,4.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,0.23,(0.19),1.2,1.4,0.23,(0.14),0.32,0.24,0.26,(0.18)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,ND,ND,(0.18),(0.17),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,0.57,0.59,3.3,3.8,0.98,0.37,1.1,1.3,1.4,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,0.7,0.5,3.3,3.8,(0.4),(0.3),0.8,(0.3),(0.4),(0.4)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,2.5,2.4,13,16,11,1.4,6.9,26,26,9.1
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,10,13,160,200,29,6.7,37,35,35,21
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,(0.16),ND,0.25,0.23,ND,ND,(0.11),(0.20),(0.19),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,27,2.3,23,18,2.8,1.9,5.2,3.6,3.6,1.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.23,ND,0.43,0.32,ND,ND,(0.13),(0.20),0.21,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,27,2.3,24,19,2.8,1.9,5.4,4,4,1.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.34,(0.12),0.74,0.98,(0.18),(0.15),0.29,0.46,0.47,(0.10)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,34,14,56,58,13,16,22,41,43,9.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,9.8,4.1,15,16,3.9,5.1,6.1,13,13,2.6
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.57,0.24,0.99,1.2,0.25,0.28,0.39,0.78,0.79,(0.17)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,0.72,0.40,1.8,2.1,0.44,0.49,0.69,1.5,1.5,0.35
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.4,0.76,3.7,5.0,0.90,1.0,1.3,3.2,3.3,0.70
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.37,(0.18),0.98,1.2,0.21,0.26,0.36,0.83,0.85,(0.15)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,(0.10),ND,0.31,0.32,ND,(0.11),(0.14),0.21,0.21,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,47,20,80,85,19,23,31,61,63,13
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,75,22,100,100,22,25,37,65,67,15
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,85,35,260,300,50,32,74,100,100,36
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.066,0.067,0.3,0.36,0.072,0.063,0.082,0.07,0.072,0.067
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.028,0.0047,0.049,0.037,0.0048,0.0048,0.015,0.023,0.024,0.0045
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.094,0.072,0.35,0.4,0.076,0.068,0.098,0.093,0.096,0.072
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.10,0.075,0.35,0.4,0.078,0.072,0.099,0.10,0.10,0.074
浮遊物質量（SS）,,,,,mg/L,2,4,10,10,3,8,3,3,3,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,,
