項目名,毒性等価係数,千代田区猿楽町1／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,台東区台東4／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,墨田区堤通2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,大田区西六郷3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,世田谷区上祖師谷3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,渋谷区広尾5／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,豊島区西池袋3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,練馬区大泉町3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,足立区入谷2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,江戸川区小松川2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）
"2,3,3',4,4'-PeCB(#105)",0.00003,0.5,0.1,11,0.5,0.1,19,0.6,0.2,120,0.6,0.2,140,0.6,0.2,55,0.5,0.1,7.4,0.6,0.2,50,0.6,0.2,180,0.5,0.1,6.9,0.6,0.2,120
"2,3,4,4',5-PeCB(#114)",0.00003,0.8,0.2,(0.6),0.8,0.2,(0.7),0.8,0.3,3.6,0.9,0.3,7.5,0.9,0.3,2.4,0.8,0.2,(0.4),0.9,0.3,2.7,0.9,0.3,7.8,0.8,0.2,(0.4),0.9,0.3,5.7
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.4,0.4,2.4,1.4,0.4,3.7,1.5,0.5,23,1.6,0.5,35,1.6,0.5,23,1.4,0.4,2.1,1.6,0.5,11,1.6,0.5,48,1.4,0.4,1.8,1.6,0.5,29
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.22,0.07,5.5,0.21,0.07,9.1,0.23,0.08,41,0.24,0.08,71,0.24,0.08,37,0.22,0.07,3.6,0.25,0.08,24,0.25,0.08,87,0.22,0.07,4.0,0.25,0.08,60
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.3,0.1,1.7,0.3,0.1,2.5,0.3,0.1,16,0.4,0.1,24,0.4,0.1,14,0.3,0.1,1.4,0.4,0.1,6.5,0.4,0.1,31,0.3,0.1,1.2,0.4,0.1,18
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,2.0,0.5,(0.7),1.9,0.5,ND,2.1,0.5,15,2.2,0.5,6.3,2.2,0.5,4.7,2.0,0.5,(0.5),2.2,0.5,(2.0),2.3,0.6,10,2.0,0.5,ND,2.2,0.6,4.4
TeCDDs ,,―,―,2.7,―,―,4.0,―,―,36,―,―,19,―,―,26,―,―,8.4,―,―,9.6,―,―,66,―,―,5.5,―,―,800
PeCDDs ,,―,―,2.0,―,―,3.2,―,―,30,―,―,16,―,―,20,―,―,3.0,―,―,6.4,―,―,53,―,―,6.0,―,―,98
HxCDDs ,,―,―,2.6,―,―,4.3,―,―,43,―,―,25,―,―,39,―,―,3.5,―,―,13,―,―,81,―,―,7.0,―,―,40
HpCDDs,,―,―,4.8,―,―,5.9,―,―,110,―,―,46,―,―,56,―,―,7.1,―,―,26,―,―,89,―,―,10,―,―,150
OCDD,,―,―,19,―,―,46,―,―,710,―,―,250,―,―,560,―,―,58,―,―,210,―,―,230,―,―,30,―,―,1800
Total（PCDDs）,,―,―,31,―,―,64,―,―,920,―,―,360,―,―,700,―,―,80,―,―,270,―,―,520,―,―,58,―,―,2900
TeCDFs,,―,―,6.3,―,―,11,―,―,65,―,―,43,―,―,52,―,―,6.1,―,―,16,―,―,140,―,―,9.5,―,―,65
PeCDFs,,―,―,4.3,―,―,7.7,―,―,54,―,―,35,―,―,40,―,―,5.1,―,―,12,―,―,98,―,―,10,―,―,28
HxCDFs,,―,―,3.3,―,―,6.4,―,―,60,―,―,32,―,―,34,―,―,4.9,―,―,11,―,―,70,―,―,9.4,―,―,37
HpCDFs,,―,―,2.2,―,―,5.6,―,―,120,―,―,28,―,―,27,―,―,4.0,―,―,10,―,―,43,―,―,7.9,―,―,70
OCDF,,―,―,ND,―,―,2,―,―,170,―,―,17,―,―,14,―,―,2,―,―,8,―,―,18,―,―,5,―,―,92
Total（PCDFs）,,―,―,16,―,―,33,―,―,470,―,―,150,―,―,170,―,―,22,―,―,57,―,―,370,―,―,42,―,―,290
Total (PCDDs+PCDFs),,―,―,47,―,―,97,―,―,1400,―,―,510,―,―,870,―,―,100,―,―,320,―,―,890,―,―,100,―,―,3200
Total Co-PCBs,,―,―,47,―,―,75,―,―,530,―,―,590,―,―,290,―,―,33,―,―,210,―,―,840,―,―,31,―,―,530
TEQ Total(PCDDs+PCDFs),,,,0.18,,,0.59,,,7.5,,,3.9,,,5.5,,,0.25,,,1.5,,,12,,,0.95,,,5.9
TEQ Total Co-PCB,,,,0.062,,,0.078,,,1.9,,,0.67,,,0.83,,,0.062,,,0.17,,,2.1,,,0.064,,,0.34
TEQ Total(PCDDs+PCDFs+Co-PCB),,,,0.24,,,0.66,,,9.3,,,4.6,,,6.3,,,0.32,,,1.7,,,14,,,1.0,,,6.2
含水率（％）,,,,0.6,,,0.9,,,4.4,,,11.9,,,11.8,,,0.6,,,10.2,,,12.0,,,0.3,,,9.3
強熱減量（％）,,,,2.9,,,4.1,,,9.7,,,12.4,,,19.6,,,2.6,,,11.6,,,22.4,,,6.3,,,18.4
土色,,,,褐灰,,,黄灰,,,黒褐,,,褐,,,暗褐,,,褐灰,,,褐灰,,,暗褐,,,灰黄褐,,,黒褐
*：毒性等量は、実測濃度が定量下限未満の数値は０（ゼロ）として算出した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*：実測濃度中の括弧付の数値は、検出下限以上定量下限未満の濃度である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
