No.,分野,区分,素地面,塗装仕様名称,工程,塗料名,JIS No.等,塗付量(kg/m2),塗料中のVOC量含有率 (%),塗料中のVOC量(g/m2),シンナー,シンナー中のVOC量希釈率 (%),シンナー中のVOC量(g/m2),塗り回数(回),塗装方法,工程間隔(hr),工程間隔 (hr: hour)(d : day)(m: month),VOC量(g/m2),耐久性ランク,材工費ランク,参考資料
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,中塗り,つや有合成樹脂エマルションペイント,K 5660,0.10,5,5.0,水道水,5,0.0,1,はけ,5,,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,上塗り,つや有合成樹脂エマルションペイント,K 5660,0.10,5,5.0,水道水,5,0.0,1,はけ,48,,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.2,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り（鉛・クロムフリー仕様）,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,109.5,,,18.5,,,,,128,Ⅰ,A,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.1.2,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り（鉛・クロムフリー仕様）,下塗り1回目,鉛・クロムフリーさび止めペイント（弱溶剤系）,K 5674-1,0.10,25,25.0,専用シンナー,5,5.0,1,はけ（吹付け）,24,1ｍ以内,128,Ⅰ,A,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.1.2,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り（鉛・クロムフリー仕様）,下塗り2回目,鉛・クロムフリーさび止めペイント（弱溶剤系）,K 5674-1,0.10,25,25.0,専用シンナー,5,5.0,1,はけ（吹付け）,24,1ｍ以内,128,Ⅰ,A,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.1.2,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り（鉛・クロムフリー仕様）,中塗り,合成樹脂調合ペイント1種又は2種中塗り用,K 5516,0.09,35,31.5,専用シンナー,5,4.5,1,はけ（吹付け）,24,1ｍ以内,128,Ⅰ,A,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.1.2,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り（鉛・クロムフリー仕様）,上塗り,合成樹脂調合ペイント1種又は2種上塗り用,K 5516,0.08,35,28.0,専用シンナー,5,4.0,1,はけ（吹付け）,72,,128,Ⅰ,A,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,耐候性塗料塗り,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,216.0,,,38.0,,,,,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,耐候性塗料塗り,下塗り1回目,構造物用さび止めペイント,K 5551-A,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,耐候性塗料塗り,下塗り2回目,構造物用さび止めペイント,K 5551-A,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,耐候性塗料塗り,中塗り,鋼構造物用耐候性塗料,K 5659 中塗り塗料,0.14,45,63.0,専用シンナー,10,14.0,1,はけ（吹付け）,16,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,耐候性塗料塗り,上塗り,鋼構造物用耐候性塗料,K 5659 上塗り塗料  1級、2級、3級,0.10,55,55.0,専用シンナー,10,10.0,1,はけ（吹付け）,72,,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,216.0,,,38.0,,,,,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,下塗り1回目,構造物用さび止めペイント（弱溶剤系）,K 5551-A,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,下塗り2回目,構造物用さび止めペイント（弱溶剤系）,K 5551-A,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,中塗り,鋼構造物用耐候性塗料（弱溶剤系）,K 5659 中塗り塗料,0.14,45,63.0,専用シンナー,10,14.0,1,はけ（吹付け）,16,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,上塗り,鋼構造物用耐候性塗料（弱溶剤系）,K 5659 上塗り塗料  1級、2級、3級,0.10,55,55.0,専用シンナー,10,10.0,1,はけ（吹付け）,72,,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,216.0,,,38.0,,,,,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,下塗り1回目,変性エポキシ樹脂プライマー（弱溶剤系）,JASS18 M-109,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,下塗り2回目,変性エポキシ樹脂プライマー（弱溶剤系）,JASS18 M-109,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,中塗り,鋼構造物用耐候性塗料（弱溶剤系）,K 5659 中塗り塗料,0.14,45,63.0,専用シンナー,10,14.0,1,はけ（吹付け）,16,7d以内,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.1.3,建築物,新築・塗替,金属（鉄鋼面）,弱溶剤系耐候性塗料塗り,上塗り,鋼構造物用耐候性塗料（弱溶剤系）,K 5659 上塗り塗料  1級、2級、3級,0.10,55,55.0,専用シンナー,10,10.0,1,はけ（吹付け）,72,,254,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（亜鉛めっき鋼面）,耐候性塗料塗り,下塗り／中塗り／上塗り,,,,,167.0,,,31.0,,,,,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（亜鉛めっき鋼面）,耐候性塗料塗り,下塗り,変性エポキシ樹脂プライマー,JASS18 M-109,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,16,7d以内,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（亜鉛めっき鋼面）,耐候性塗料塗り,中塗り,鋼構造物用耐候性塗料,K 5659 中塗り塗料,0.14,45,63.0,専用シンナー,10,14.0,1,はけ（吹付け）,16,7d以内,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,金属（亜鉛めっき鋼面）,耐候性塗料塗り,上塗り,鋼構造物用耐候性塗料,K 5659 上塗り塗料  1級、2級、3級,0.10,55,55.0,専用シンナー,10,10.0,1,はけ（吹付け）,72,,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.2.1,建築物,新築・塗替,金属（亜鉛めっき鋼面）,弱溶剤系耐候性塗料塗り,下塗り／中塗り／上塗り,,,,,167.0,,,31.0,,,,,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.2.1,建築物,新築・塗替,金属（亜鉛めっき鋼面）,弱溶剤系耐候性塗料塗り,下塗り,変性エポキシ樹脂プライマー（弱溶剤系）,JASS18 M-109,0.14,35,49.0,専用シンナー,5,7.0,1,はけ（吹付け）,24,7d以内,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.2.1,建築物,新築・塗替,金属（亜鉛めっき鋼面）,弱溶剤系耐候性塗料塗り,中塗り,鋼構造物用耐候性塗料（弱溶剤系）,K 5659 中塗り塗料,0.14,45,63.0,専用シンナー,10,14.0,1,はけ（吹付け）,16,7d以内,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
2.2.1,建築物,新築・塗替,金属（亜鉛めっき鋼面）,弱溶剤系耐候性塗料塗り,上塗り,鋼構造物用耐候性塗料（弱溶剤系）,K 5659 上塗り塗料  1級、2級、3級,0.10,55,55.0,専用シンナー,10,10.0,1,はけ（吹付け）,72,,198,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5659 3級を代表値とした。
溶剤系,建築物,新築・塗替,セメント,アクリル樹脂エナメル塗り,下塗り／中塗り／上塗り,,,,,164.0,,,156.0,,,,,320,Ⅱ,B,日本建築学会／「JASS１８  塗装工事」(2006)
溶剤系,建築物,新築・塗替,セメント,アクリル樹脂エナメル塗り,下塗り,アクリル樹脂ワニス,K 5653,0.08,70,56.0,専用シンナー,60,48.0,1,ローラー,2,,320,Ⅱ,B,日本建築学会／「JASS１８  塗装工事」(2006)
溶剤系,建築物,新築・塗替,セメント,アクリル樹脂エナメル塗り,中塗り,アクリル樹脂エナメル,K 5654,0.09,60,54.0,専用シンナー,60,54.0,1,ローラー,3,,320,Ⅱ,B,日本建築学会／「JASS１８  塗装工事」(2006)
溶剤系,建築物,新築・塗替,セメント,アクリル樹脂エナメル塗り,上塗り,アクリル樹脂エナメル,K 5654,0.09,60,54.0,専用シンナー,60,54.0,1,ローラー,24,,320,Ⅱ,B,日本建築学会／「JASS１８  塗装工事」(2006)
2.3.1,建築物,新築・塗替,セメント,つや有合成樹脂エマルションペイント塗り,下塗り／中塗り／上塗り,,,,,12.1,,,0.0,,,,,12,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.1,建築物,新築・塗替,セメント,つや有合成樹脂エマルションペイント塗り,下塗り,合成樹脂エマルションシーラー,K 5663,0.07,3,2.1,水道水,0,0.0,1,ローラー,3,,12,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.1,建築物,新築・塗替,セメント,つや有合成樹脂エマルションペイント塗り,下塗り,つや有合成樹脂エマルションペイント用下塗り塗料,JASS18 M-204,0.07,3,2.1,水道水,0,0.0,1,ローラー,3,,12,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.1,建築物,新築・塗替,セメント,つや有合成樹脂エマルションペイント塗り,中塗り,つや有合成樹脂エマルションペイント,K 5660,0.10,5,5.0,水道水,10,0.0,1,ローラー,5,,12,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.1,建築物,新築・塗替,セメント,つや有合成樹脂エマルションペイント塗り,上塗り,つや有合成樹脂エマルションペイント,K 5660,0.10,5,5.0,水道水,10,0.0,1,ローラー,48,,12,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.2,建築物,新築・塗替,セメント,アクリル樹脂系非水分散形塗料塗り,下塗り／中塗り／上塗り,,,,,135.0,,,30.0,,,,,165,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.2,建築物,新築・塗替,セメント,アクリル樹脂系非水分散形塗料塗り,下塗り,アクリル樹脂系非水分散形塗料,K 5670,0.10,45,45.0,専用シンナー,10,10.0,1,ローラー,3,,165,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.2,建築物,新築・塗替,セメント,アクリル樹脂系非水分散形塗料塗り,中塗り,アクリル樹脂系非水分散形塗料,K 5670,0.10,45,45.0,専用シンナー,10,10.0,1,ローラー,3,,165,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.2,建築物,新築・塗替,セメント,アクリル樹脂系非水分散形塗料塗り,上塗り,アクリル樹脂系非水分散形塗料,K 5670,0.10,45,45.0,専用シンナー,10,10.0,1,ローラー,48,,165,Ⅰ,B,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
溶剤系,建築物,新築・塗替,セメント,耐候性塗料塗り,下塗り／中塗り／上塗り,,,,,196.0,,,101.0,,,,,297,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
溶剤系,建築物,新築・塗替,セメント,耐候性塗料塗り,下塗り,反応形合成樹脂シーラー,JASS18 M-201,0.08,80,64.0,専用シンナー,30,24.0,1,ローラー,16,7d以内,297,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
溶剤系,建築物,新築・塗替,セメント,耐候性塗料塗り,中塗り,建築用耐候性上塗り塗料用中塗り,"JASS18 M-403、-404、-
405",0.14,55,77.0,専用シンナー,30,42.0,1,ローラー,16,7d以内,297,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
溶剤系,建築物,新築・塗替,セメント,耐候性塗料塗り,上塗り,建築用耐候性上塗り塗料,K 5658 1級、2級、3級,0.10,55,55.0,専用シンナー,35,35.0,1,ローラー,72,,297,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
2.3.3,建築物,新築・塗替,セメント,ポリウレタンエマルションペイント塗り,下塗り／中塗り／上塗り,,,,,12.1,,,0.0,,,,,12,Ⅱ,C,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.3,建築物,新築・塗替,セメント,ポリウレタンエマルションペイント塗り,下塗り,合成樹脂エマルションシーラー,K 5663,0.07,3,2.1,水道水,0,0.0,1,ローラー,3,,12,Ⅱ,C,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.3,建築物,新築・塗替,セメント,ポリウレタンエマルションペイント塗り,下塗り,つや有合成樹脂エマルションペイント用下塗り塗料,JASS18 M-204,0.07,3,2.1,水道水,0,0.0,1,ローラー,3,,12,Ⅱ,C,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.3,建築物,新築・塗替,セメント,ポリウレタンエマルションペイント塗り,中塗り,ポリウレタンエマルションペイント,JASS18 M-209,0.10,5,5.0,水道水,10,0.0,1,ローラー,5,,12,Ⅱ,C,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.3,建築物,新築・塗替,セメント,ポリウレタンエマルションペイント塗り,上塗り,ポリウレタンエマルションペイント,JASS18 M-209,0.10,5,5.0,水道水,10,0.0,1,ローラー,48,,12,Ⅱ,C,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」
2.3.4,建築物,新築・塗替,セメント,弱溶剤系耐候性塗料塗り,下塗り／中塗り／上塗り,,,,,196.0,,,64.0,,,,,260,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
2.3.4,建築物,新築・塗替,セメント,弱溶剤系耐候性塗料塗り,下塗り,弱溶剤系反応形合成樹脂シーラー,JASS18 M-201,0.08,80,64.0,専用シンナー,35,28.0,1,ローラー,16,7d以内,260,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
2.3.4,建築物,新築・塗替,セメント,弱溶剤系耐候性塗料塗り,中塗り,建築用耐候性上塗り塗料用中塗り（弱溶剤系）,JASS18 M-403、-404、- 405,0.14,55,77.0,専用シンナー,15,21.0,1,ローラー,16,7d以内,260,Ⅲ～Ⅴ,C～E,国土交通省「公共建築（改修）工事標準仕様書」日本建築学会「JASS１８  塗装工事」／日本建築学会「環境負荷低減に配慮した塗装・吹付け工事に関する技術資料」／上塗りシンナー希釈率はJIS K5658 3級を代表値とした。
