地域,No.,団体名,施設名,施設所在地,緯度,経度,座標系,施設種類,処理方式,焼却処理能力(t/日)　（規模）,溶融処理能力(t/日)　（規模）,竣工年月,備考,連絡先
多摩地域（自治体焼却施設）,32,国分寺市,国分寺市清掃センター,国分寺市西恋ケ窪 4-9-8,35.706036,139.465652,JGD2011,ごみ焼却,全連続,140（70t×2）,－,S60.3,休止中,042-321-5300
多摩地域（自治体焼却施設）,33,ふじみ衛生組合,クリーンプラザふじみ,調布市深大寺東町 7-50-30,35.681793,139.560730,JGD2011,ごみ焼却,全連続,288（144t×2）,?????????????????,H25.3,三鷹市・調布市,042-490-5374
多摩地域（自治体焼却施設）,34,柳泉園組合,柳泉園クリーンポート,東久留米市下里 4-3-10,35.754902,139.494705,JGD2011,ごみ焼却,全連続,315（105t×3）,－,H13.12,西東京市・清瀬市・東久留米市,042-470-1555
多摩地域（自治体焼却施設）,35,西多摩衛生組合,環境センター,羽村市羽 4235,35.758251,139.298889,JGD2011,ごみ焼却,全連続,480（160t×3）,－,H10.3,青梅市・福生市・羽村市、瑞穂町,042-554-2409
多摩地域（自治体焼却施設）,36,多摩川衛生組合,クリーンセンター多摩川,稲城市大丸 1528,35.649818,139.481720,JGD2011,ごみ焼却,全連続,450（150t×3）,50（25t×2）,H10.4,一部休止府中市・狛江市・稲城市・国立市,042-377-3601
多摩地域（自治体焼却施設）,37,小平・村山・大和衛生組合,小平・村山・大和衛生組合ごみ焼却施設,小平市中島町 2-1,35.729443,139.427826,JGD2011,ごみ焼却,全連続,360（150t×1＋105t×2）,－,H2.7,小平市・東大和市・武蔵村山市,042-341-4345
多摩地域（自治体焼却施設）,38,西秋川衛生組合,西秋川衛生組合熱回収施設,あきる野市高尾 521,35.717209,139.239532,JGD2011,ごみ焼却,全連続,117（58.5t×2）,－,H26.3,あきる野市・日の出町・檜原村・奥多摩町,042-596-4418
多摩地域（自治体焼却施設）,39,多摩ニュータウン環境組合,多摩ニュータウン環境組合多摩清掃工場,多摩市唐木田 2-1-1,35.612419,139.409958,JGD2011,ごみ焼却,全連続,400（200t×2）,－,H10.4,八王子市・ 町田市・多摩市,042-374-6331
多摩地域（自治体焼却施設）,40,浅川清流環境組合,新可燃ごみ処理施設,日野市石田1-210-2,35.666538,139.427689,JGD2011,ごみ焼却,全連続,228（114t×2）,－,R2.3,日野市・国分寺市・小金井市,042-589-0555
島嶼（自治体焼却）,41,大島町,大島町千波環境美化センター（焼却施設）,大島町野増字上センバ412,34.716900,139.377228,JGD2011,ごみ焼却,機械バッチ,15（7.5t×2）,－,H26.3,,04992-7-5831
島嶼（自治体焼却）,42,利島村,利島村清掃センター,利島村 2320-1,34.529991,139.278015,JGD2011,ごみ焼却,固定バッチ,2.5（2.5t×1）,－,H7.12,,04992-9-0011
島嶼（自治体焼却）,43,新島村,新島村清掃センター,新島村字檜山 417,34.377769,139.253525,JGD2011,ごみ焼却,機械バッチ,6（6.0t×1）,－,H31.4,,04992-5-0240
島嶼（自治体焼却）,44,新島村,式根島クリーンセンター,新島村式根島 914,34.326527,139.213501,JGD2011,ごみ焼却,機械バッチ,4（4t×1）,－,H15.4,休止中,04992-5-240
島嶼（自治体焼却）,45,神津島村,神津島村清掃センター,神津島村字鍛治山 1,34.217190,139.140686,JGD2011,ごみ焼却,機械バッチ,13（13t×1）,－,H6.8,,04992-8-0011
島嶼（自治体焼却）,46,三宅村,三宅村クリーンセンター,"三宅村伊ヶ谷 103,105",34.090927,139.499588,JGD2011,ごみ焼却,機械バッチ,7（7t×1）,－,H12.3,,04994-6-1111
島嶼（自治体焼却）,47,御蔵島村,御蔵島村じん芥処理施設,御蔵島村字イナサ,33.864521,139.587952,JGD2011,ごみ焼却,機械バッチ,2（2t×1）,－,H8.3,,04994-8-2121
島嶼（自治体焼却）,48,八丈町,八丈町クリーンセンター,八丈町大賀郷 4341-1,33.120907,139.766235,JGD2011,ごみ焼却,機械バッチ,17（8.5t×2）,－,H9.11,,04996-2-1121
島嶼（自治体焼却）,49,小笠原村,父島クリーンセンター,小笠原村父島字洲崎,27.071243,142.209610,JGD2011,ごみ焼却,機械バッチ,4.6（4.6t×1）,－,H11.2,,04998-2-3114
民間等（焼却施設）,50,日本衛生㈱,焼却施設,足立区入谷 9-30-10,35.806484,139.753830,JGD2011,ごみ焼却,連続,11.4（11.4t×1）,－,H15.2,産廃施設許可有,03-3853-6061
民間等（焼却施設）,51,㈱シンシア,シンシア品川R・Cセンター,品川区八潮 3-2-11,35.591099,139.756607,JGD2011,ごみ焼却,連続,130（65t×2）,50（25t×2）,H10.3,産廃施設許可有,03-3799-5374
民間等（焼却施設）,52,㈱櫻商会,エアポートクリーンセンター,大田区羽田空港 3-7-4,35.533062,139.793991,JGD2011,ごみ焼却,連続,70（70t×1）,－,H24.7,産廃施設許可有,03-5756-9270
民間等（焼却施設）,53,農林水産省動物医薬品検査所,焼却施設,国分寺市戸倉 1-15-1,35.712482,139.462402,JGD2011,ごみ焼却,固定バッチ,2.72（2.72t×1）,－,H7.3.20,,042-321-1841
民間等（焼却施設）,54,比留間運送㈱,焼却施設,"武蔵村山市伊奈平 3-25-1,2",35.736393,139.380280,JGD2011,ごみ焼却,固定バッチ,4.8（4.8t×1）,－,H6.4,産廃施設許可有,042-565-1336
民間等（焼却施設）,55,㈱リスト,焼却施設,国立市泉 1-8-3,35.675488,139.436050,JGD2011,ごみ焼却,全連続,48（48t×1）,－,H15.10,※特例届出,042-572-1300
民間等（焼却施設）,56,㈲柳産業,焼却施設,国立市泉 1-14-11,35.672302,139.439758,JGD2011,ごみ焼却,固定バッチ,13（13t×1）,－,S63.12,※特例届出,042-577-0332
