産業分類番号,産業分類項目名,報告数（件）,使用量（kg/年）,製造量（kg/年）,製品としての出荷量（kg/年）,環境への排出量（kg/年）,環境への排出量／大気（kg/年）,環境への排出量／公共用水域（kg/年）,環境への排出量／その他（kg/年）,事業所外への移動量（kg/年）,事業所外への移動量／廃棄物（kg/年）,事業所外への移動量／廃水(下水道）（kg/年）,排出量、移動量の合計（kg/年）,順位
3060,電子応用装置製造業,4,1072,0,0,360,355,0,5,712,712,0,1072,52
3070,電気計測器製造業,27,85036,0,170,6701,6701,0,0,17491,17491,10,24192,30
3100,輸送用機械器具製造業（下の業種を除く）,124,1991120,0,522140,526275,526175,100,0,104516,93256,11194,630791,4
3120,鉄道車両・同部分品製造業,1,180,0,0,150,150,0,0,30,30,0,180,55
3140,船舶製造・修理業・舶用機関製造業,5,4160,0,0,4140,4140,0,0,102,102,0,4242,45
3200,精密機械器具製造業（下の業種を除く）,59,83470,0,780,28951,28951,0,0,39692,39289,353,68643,24
3230,医療用機械器具・医療用品製造業,6,1470,0,0,1093,1093,0,0,355,340,15,1448,51
3300,武器製造業,1,190000,0,97000,0,0,0,0,91000,91000,0,91000,20
3400,その他の製造業,53,564422,0,4569,11223,11223,0,0,226090,226090,0,237313,13
3500,電気業,11,59730,2340,0,2760,2760,0,0,280,280,0,3040,49
3600,ガス業,4,1189,,1189,1,1,,,0,0,0,1,56
3700,熱供給業,1,72000,0,0,0,0,0,0,0,0,0,0,57
3810,上水道業,5,5614000,0,0,0,0,0,0,0,0,0,0,57
3820,工業用水道業,,,,,,,,,,,,0,57
3830,下水道業,8,33900,0,0,0,0,0,0,0,0,0,0,57
3900,鉄道業,10,7230,0,1920,3920,3920,0,0,772,772,0,4692,41
4400,倉庫業,13,27309,0,0,3297,3297,0,0,0,0,0,3297,48
5132,石油卸売業,18,239487800,0,239575800,12985,12985,0,0,0,0,0,12985,33
5142,鉄スクラップ卸売業,,,,,,,,,,,,0,57
5220,自動車卸売業,,,,,,,,,,,,0,57
5930,燃料小売業,3911,382791210,0,380760109,139777,139866,85,0,0,0,0,139777,17
7200,洗濯・理容・浴場業（下の業種を除く）,3,6000,0,0,0,0,0,0,0,0,0,0,57
7211,普通洗濯業,148,128432,0,50,58912,58912,0,0,39300,39356,1,98212,19
7213,リネンサプライ業,6,30080,0,0,0,0,0,0,280,280,0,280,54
7430,写真業,5,14780,0,0,7280,7280,0,0,1101,1100,1,8381,37
7700,自動車整備業,306,2404938,0,2216009,139489,139489,0,0,27800,27800,0,167289,16
7810,機械修理業,40,90530,0,1235,55978,55978,0,0,25349,25349,0,81327,22
8632,環境計量証明業,41,25797,0,510,2230,2230,0,0,22950,21884,970,25180,29
8700,廃棄物処理業（下の業種を除く）,10,97239,0,2719,2,2,0,0,4400,4400,0,4402,43
8710,一般廃棄物処理業,32,3405290,0,0,1,1,0,0,11480,11480,0,11481,35
8716,ごみ処分業,16,151500,0,15020,180,180,0,0,11800,11800,0,11980,34
8722,産業廃棄物処分業,6,22960,0,0,0,0,0,0,0,0,0,0,57
8724,特別産業廃棄物処分業,5,693340,0,0,933,933,0,0,8640,8640,0,9573,36
8800,医療業,119,110476,0,0,8147,8147,0,0,98622,96132,2490,106769,18
9100,教育,292,513319,0,1885,51606,51134,602,0,373795,370492,3565,425401,7
9210,自然科学研究所,163,292838,0,1150,29333,29332,0,0,232830,231059,904,262163,10
9999,分類不明,21,490260,0,480000,1419,1419,0,0,3090,3050,44,4509,42
合計,,8390,725063609,53340,660955139,3029851,3025063,788,5,5447098,5406200,40179,8476949,－
