項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,3中川／平井小橋／二重測定,4新中川／小岩大橋,6隅田川／小台橋,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,0.12,0.13,0.13,0.11,(0.05),(0.09),0.26,0.30,0.19
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.09),(0.09),(0.08),(0.10),(0.03),(0.06),0.31,(0.10),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,4.0,4.1,3.4,2.0,0.75,1.4,5.1,2.4,1.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,(0.08),(0.10),(0.07),(0.06),ND,(0.04),0.28,(0.06),(0.05)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.12,0.11,(0.09),(0.06),ND,ND,0.20,(0.05),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,3.1,3.4,2.9,1.5,0.88,1.3,4.7,1.8,1.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.22,0.24,0.20,(0.10),ND,ND,0.66,(0.12),(0.10)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.20,0.23,0.20,(0.08),ND,ND,0.33,(0.07),(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.23,0.22,0.21,(0.13),(0.08),(0.09),0.28,(0.09),(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,3.4,3.5,3.0,0.97,0.39,0.62,8.2,1.6,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,1.6,1.8,1.5,0.63,0.27,0.35,10,1.2,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,0.41,0.40,0.37,(0.11),ND,ND,0.70,(0.09),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,4.6,5.4,4.4,1.4,0.51,0.75,29,3.1,2.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,4.2,6.1,3.9,1.7,(0.5),1.1,39,3.6,3.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,19,23,18,7.6,3,5.2,86,13,11
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,380,390,350,53,33,45,250,37,43
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.23,0.28,0.23,0.30,ND,0.22,1.8,0.85,0.75
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,25,26,18,34,3.2,20,100,33,27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.55,0.49,0.40,0.52,(0.13),0.37,1.9,0.77,0.55
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,ND,ND,ND,ND,ND,ND,(0.18),ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,26,27,19,35,3.3,21,100,35,28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,0.66,0.77,0.55,1.3,0.29,1.1,8.6,2.9,1.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,48,50,40,91,15,74,370,170,130
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,16,16,13,23,5.3,19,110,54,46
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.99,1.0,0.98,1.8,0.41,1.5,5.1,3.1,1.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,1.6,1.5,1.3,2.1,0.55,2.0,14,5.2,2.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,3.9,3.9,3.1,4.8,1.3,4.5,28,11,5.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,0.97,0.91,0.73,1.2,0.32,1.1,7.9,2.7,1.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.24,0.33,0.24,0.30,ND,0.32,2.1,0.88,0.33
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,72,74,60,130,23,100,550,250,190
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,98,100,79,160,27,120,650,280,220
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,470,490,430,210,59,170,900,320,260
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.59,0.6,0.54,0.15,0.082,0.088,0.71,0.14,0.13
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.061,0.055,0.045,0.06,0.015,0.043,0.22,0.089,0.064
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.65,0.65,0.59,0.21,0.097,0.13,0.93,0.23,0.19
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.63,0.63,0.56,0.23,0.099,0.14,0.99,0.26,0.21
浮遊物質量（SS）,,,,,mg/L,10,10,10,5,4,3,4,2,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
