業種番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
3060,電子応用装置製造業,4,1072.0,0.0,0.0,360.0,355.0,0.0,5.0,712.0,712.0,0.0
3070,電気計測器製造業,27,85036.0,0.0,170.0,6701.0,6701.0,0.0,0.0,17491.0,17491.0,10.0
3100,輸送用機械器具製造業（下の業種を除く）,124,1991120.0,0.0,522140.0,526275.1,526175.1,100.0,0.0,104515.8,93255.8,11194.0
3120,鉄道車両・同部分品製造業,1,180.0,0.0,0.0,150.0,150.0,0.0,0.0,30.0,30.0,0.0
3140,船舶製造・修理業・舶用機関製造業,5,4160.0,0.0,0.0,4140.0,4140.0,0.0,0.0,102.0,102.0,0.0
3200,精密機械器具製造業（下の業種を除く）,59,83470.0,0.0,780.0,28951.0,28951.0,0.0,0.0,39692.0,39289.0,353.0
3230,医療用機械器具・医療用品製造業,6,1470.0,0.0,0.0,1093.0,1093.0,0.0,0.0,355.0,340.0,15.0
3300,武器製造業,1,190000.0,0.0,97000.0,0.0,0.0,0.0,0.0,91000.0,91000.0,0.0
3400,その他の製造業,53,564421.9,0.0,4569.0,11223.0,11223.0,0.0,0.0,226089.9,226089.9,0.0
3500,電気業,11,59730.0,2340.0,0.0,2760.0,2760.0,0.0,0.0,280.0,280.0,0.0
3600,ガス業,4,1189.0,0.0,1189.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
3700,熱供給業,1,72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3810,上水道業,5,5614000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830,下水道業,8,33900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3900,鉄道業,10,7230.0,0.0,1920.0,3920.0,3920.0,0.0,0.0,772.0,772.0,0.0
4400,倉庫業,13,27309.0,0.0,0.0,3297.1,3297.1,0.0,0.0,0.0,0.0,0.0
5132,石油卸売業,18,239487800.0,0.0,239575800.0,12984.6,12984.6,0.0,0.0,0.0,0.0,0.0
5930,燃料小売業,3911,382791210.0,0.0,380760109.0,139776.7,139866.2,85.0,0.0,0.0,0.0,0.0
7200,洗濯・理容・浴場業（下の業種を除く）,3,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7211,普通洗濯業,148,128432.0,0.0,50.0,58912.0,58912.0,0.0,0.0,39299.6,39355.6,1.0
7213,リネンサプライ業,6,30080.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,0.0
7430,写真業,5,14780.0,0.0,0.0,7280.0,7280.0,0.0,0.0,1101.0,1100.0,1.0
7700,自動車整備業,306,2404938.0,0.0,2216009.0,139489.1,139489.1,0.0,0.0,27799.8,27799.8,0.0
7810,機械修理業,40,90530.0,0.0,1235.0,55978.0,55978.0,0.0,0.0,25348.7,25348.7,0.0
8632,環境計量証明業,41,25797.0,0.0,510.0,2230.0,2230.0,0.0,0.0,22950.0,21884.0,970.0
8700,廃棄物処理業（下の業種を除く）,10,97239.0,0.0,2719.0,2.0,2.0,0.0,0.0,4400.0,4400.0,0.0
8710,一般廃棄物処理業,32,3405290.0,0.0,0.0,0.7,0.7,0.0,0.0,11480.0,11480.0,0.0
8716,ごみ処分業,16,151500.0,0.0,15020.0,180.0,180.0,0.0,0.0,11800.0,11800.0,0.0
8722,産業廃棄物処分業,6,22960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8724,特別産業廃棄物処分業,5,693340.0,0.0,0.0,933.0,933.0,0.0,0.0,8640.0,8640.0,0.0
8800,医療業,119,110476.0,0.0,0.0,8147.3,8147.3,0.0,0.0,98622.0,96132.0,2490.0
9100,教育,292,513318.5,0.0,1885.0,51605.5,51134.2,602.1,0.0,373795.2,370492.2,3564.9
9210,自然科学研究所,163,292838.0,0.0,1150.0,29332.7,29332.1,0.0,0.0,232830.1,231059.3,903.6
9999,分類不明,21,490260.0,0.0,480000.0,1419.0,1419.0,0.0,0.0,3090.0,3050.0,44.0
,総計,8390,725063609.0,53340.0,660955138.5,3029851.2,3025062.8,788.1,5.0,5447097.6,5406200.4,40178.9
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
