名称,ふりがな,所在地,電話番号,FAX,URL,解説,連絡先,開場時間,定休日,料金,アクセス,駐車場,大分類__,中分類__,小分類__,経度,緯度
レプソルド子午儀,れぷそるどしごぎ,"三鷹市大沢二丁目21
（国立天文台内）",0422-34-3600,,https://www.nao.ac.jp/,明治時代の日本の時刻はこの子午儀で正確に計測していました。三鷹に来てからは主要小惑星の観測でも活躍しています。平成23年国指定文化財。,三鷹市スポーツと文化部生涯学習課,,,,JR中央線三鷹駅より小田急バス「天文台前」または「天文台裏」下車すぐ,あり,歴史的建造物,歴史的建造物,歴史的建造物,139.5357999,35.67528299
国立天文台,こくりつてんもんだい,三鷹市大沢二丁目21-1,0422-34-3600,,https://www.nao.ac.jp/,国立天文台内のレプソルド子午儀室、ゴーチェ子午儀室、第一子午線標室、第二子午線標室、旧図庫及び倉庫、門衛所、表門は平成11年に国登録文化財に登録されています。,三鷹市スポーツと文化部生涯学習課,,,,JR中央線三鷹駅より小田急バス「天文台前」または「天文台裏」下車すぐ,あり,歴史的建造物,歴史的建造物,歴史的建造物,139.5381403,35.67518215
三鷹市大沢の里水車経営農家,みたかしおおさわのさとすいしゃけいえいのうか,三鷹市大沢六丁目10-15,0422-29-9862,0422-29-9040,,三鷹市大沢の里水車経営農家には、文化5（1808）年頃に創設された水車（通称「新車（しんぐるま）」が、現在も良好な状態で保存されています。平成10年に、東京都指定有形民俗文化財に指定され、平成21年には日本機械学会から機械遺産に認定されました。,三鷹市スポーツと文化部  生涯学習課,10:00～17:00（11月～3月は16:00まで）,火曜日（火曜日が祝日にあたる場合は、翌日以降の最初の平日）。年末年始（12月28日～１月４日）,200円（大沢の里古民家との共通券。中学生以下は無料）10名以上の団体は予約が必要です。,JR中央線三鷹駅南口より小田急バス「榊原記念病院」「朝日町三丁目」「車返団地」行きバス、「竜源寺」下車徒歩約5分,なし,歴史的建造物,歴史的建造物,歴史的建造物,139.5302749,35.67736987
国立天文台太陽塔望遠鏡（アインシュタイン塔）,こくりつてんもんだいたいようとうぼうえんきょう（あいんしゅたいんとう）,三鷹市大沢二丁目21-1,0422-34-3688　,,https://www.nao.ac.jp/about-naoj/organization/facilities/mitaka/,昭和５（1930）年に完成。鉄筋コンクリート造、地上５階、地下１階建で、塔全体が望遠鏡の筒の役割を果たしていることから「塔望遠鏡」とも呼ばれています。ベルリン市郊外にあったポツダム天体物理観測所と同じ研究目的（アインシュタインの相対性理論の検証）のために造られたことから「アインシュタイン塔」とも呼ばれています。平成10年国登録有形文化財。,国立天文台,10：00～17：00（入場は16:30まで）,年末年始（12月28日～1月4日）,"入場無料
※団体見学は事前申込が必要です。
詳しくはお問合せください。
","ＪＲ中央線三鷹駅南口より小田急バス、調布駅北口行き（５番乗り場）、「天文台前」下車すぐ
ＪＲ武蔵境駅南口より小田急バス　狛江駅北口行き（３番乗り場）、「天文台前」下車すぐ",有料駐車場あり,歴史的建造物,歴史的建造物,歴史的建造物,139.5366995,35.67334045
天文台歴史館（国立天文台大赤道儀室）,てんもんだいれきしかん（こくりつてんもんだいだいせきどうぎしつ）,三鷹市大沢二丁目21-1,0422-34-3688　,,https://www.nao.ac.jp/about-naoj/organization/facilities/mitaka/,大正15（1926）年に完成。鉄筋コンクリート造、２階建て。焦点距離10mに及ぶ屈折望遠鏡をすっぽり納めた木製ドーム部分は、造船所の技師の支援を得て造られた大変めずらしい建築物です。平成14年国登録有形文化財。,国立天文台,10：00～17：00（入場は16:30まで）,年末年始（12月28日～1月4日）,"入場無料
※団体見学は事前申込が必要です。
詳しくはお問合せください。","ＪＲ中央線三鷹駅南口より小田急バス、調布駅北口行き（５番乗り場）、「天文台前」下車すぐ
ＪＲ武蔵境駅南口より小田急バス　狛江駅北口行き（３番乗り場）、「天文台前」下車すぐ",有料駐車場あり,歴史的建造物,歴史的建造物,歴史的建造物,139.5367325,35.67428234
国立天文台第一赤道儀室,こくりつてんもんだいだいいちせきどうぎしつ,三鷹市大沢二丁目21-1,0422-34-3688,,https://www.nao.ac.jp/about-naoj/organization/facilities/mitaka/,大正10（1921）年に完成。鉄筋コンクリート造の２階建の第一赤道儀室は、国立天文台三鷹キャンパスでは最も古い観測用建物です。平成14年国登録有形文化財。,国立天文台,10：00～17：00（入場は16:30まで）,年末年始（12月28日～1月4日）,"入場無料
※団体見学は事前申込が必要です。
詳しくはお問合せください。","ＪＲ中央線三鷹駅南口より小田急バス、調布駅北口行き（５番乗り場）、「天文台前」下車すぐ
ＪＲ武蔵境駅南口より小田急バス　狛江駅北口行き（３番乗り場）、「天文台前」下車すぐ",有料駐車場あり,歴史的建造物,歴史的建造物,歴史的建造物,139.5385493,35.67427336
三鷹市山本有三記念館（山本有三旧宅）,みたかしやまもとゆうぞうきねんかん（やまもとゆうぞうきゅうたく）,三鷹市下連雀二丁目12-27,0422-42-6233,,https://mitaka-sportsandculture.or.jp/yuzo/,作家で三鷹市の名誉市民でもある山本有三が、昭和11(1936)年から進駐軍に接収される昭和21(1946)年までの11年間ほど住んだ家。玉川上水のほとりにあるこの洋館で、有三は「新篇路傍の石」「米百俵」などの著作をはじめ、当用漢字の制定や新憲法の口語化にたずさわるとともに、自宅の蔵書を少年少女に開放していました。大正15(1926)年頃に建てられたこの建物は、平成６(1994)年に三鷹市の有形文化財に指定され、現在は記念館として企画展や自筆原稿・愛用品などの常設展示を行っています。また、建物の南側には、有三が愛した竹林や、池などがある有三記念公園も整備されています。,山本有三記念館,9：30～17：00,月曜日（月曜日が休日にあたる場合は、その翌日と翌々日）,"大人300円（20人以上の団体は一人200円）、中学生以下・障害者手帳持参の方とその介助者、校外学習の高校生以下と引率教諭は無料
年間パスポート1,000円",JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約10分,あり,歴史的建造物,歴史的建造物,歴史的建造物,139.5677297,35.69957614
石階段,いしかいだん,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,文政７（1824）年に建立され、参道から弁天島へ降りる20段の階段です。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,歴史的建造物,歴史的建造物,歴史的建造物,139.5748241,35.69913635
石橋（太鼓橋）,いしばし（たいこばし）,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,文化14（1817）年に建立されて、弁財天堂のある出島と池畔を結ぶ橋で、堂の正面に位置しています。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,歴史的建造物,歴史的建造物,歴史的建造物,139.5748131,35.69935232
石鳥居標石（宇賀神）,いしとりいひょうせき（うがじん）,三鷹市井の頭四丁目1番,0422-29-9862,0422-29-9040,,"明和４（1767）年の銘がある弁財天の石鳥居の標石には、江戸麹町や四谷、牟礼付近の住民約420名に及ぶ寄進者の名前が記されています。石鳥居そのものは、明治元（1868）年の神仏分離令の際に失われています。
宇賀神は、７葉の蓮の上に座るとぐろを巻く蛇の胴体に、老翁の頭部が乗せられています。一時期石鳥居標石の上に宇賀神像が乗せられていましたが、現在宇賀神像は弁天島に移設されています。昭和53年三鷹市指定文化財。",三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5749521,35.69912835
道しるべ,みちしるべ,三鷹市井の頭四丁目21番,0422-29-9862,0422-29-9040,,"黒門のある参道入口に「神田御上水原・井の頭弁財天」と刻んだ「道しるべ」の標石があります（延享2(1745)年建立）。
江戸市民に親しまれた井の頭弁財天への道を示す石造物は、渋谷区や杉並区など都内各所に今も残っていますが、この道しるべはこれらを辿った最終のものです。
標石の長さは2.4ｍあり、基盤の上には2段の台座を持っていて、右側面には「是より社まで一丁半」とあります。
昭和53年三鷹市指定有形文化財。",三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約12分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約23分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5759669,35.69753612
水盤（不動堂前）,すいばん（ふどうどうまえ）,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,正徳３（1713）年に造られた水盤。不動堂前右側に位置し、昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5745661,35.69956229
水盤（弁財天入口）,すいばん（べんざいてん）,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,安永４（1775）年に造られた水盤。井の頭弁財天手前に位置している。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5747871,35.69945831
石造庚申供養塔（上連雀）,せきぞうこうしんくようとう（かみれんじゃく）,三鷹市上連雀一丁目2-1　欅橋たもと,0422-29-9862,0422-29-9040,,一鬼二鶏三猿を従えた青面金剛が記されており、享保14（1729）年に造られた庚申塔。大きさ、塔型、彫刻、銘文などがこの時期の典型です。上連雀の玉川上水欅橋たもとに位置し、木製の御堂に庚申塔納められています。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,ＪＲ中央線三鷹駅北口より徒歩約3分,なし,石碑,石碑,石碑,139.5586854,35.7036095
石造庚申供養塔（新川）,せきぞうこうしんくようとう（しんかわ）,三鷹市新川二丁目1番　天神社境内,0422-29-9862,0422-29-9040,,延宝８（1680）年に造られた庚申塔。市内で２番目に古い塔で、初期の庚申塔らしく、彫像は日月と三猿のみで簡素ながら美しい造形です。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"ＪＲ中央線三鷹駅南口よりみたかシティバス（北野行き）、「天神前」下車徒歩約1分
ＪＲ中央線または京王井の頭線吉祥寺駅公園口より小田急バス（千歳烏山駅北口行き）、「天神前」下車徒歩約1分",なし,石碑,石碑,石碑,139.5779754,35.68156643
石造庚申供養塔（中原）,せきぞうこうしんくようとう（なかはら）,三鷹市中原四丁目16-27,0422-29-9862,0422-29-9040,,寛文６（1666）年に造られた庚申塔。三鷹市域に庚申塔は32基現存していますが、その中で最古のものであり、多摩地区でも古いものの一つです。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,ＪＲ中央線三鷹駅南口より小田急バス（仙川行き）、「中原小学校」下車徒歩約10分,なし,石碑,石碑,石碑,139.5688376,35.66920263
石燈籠＜一対＞,いしとうろう＜いっつい＞,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,天保４（1833）年に造られた石燈籠。弁財天石橋たもとに位置している。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5748131,35.69933633
石燈籠（巳待講）,いしとうろう（みまちこう）,三鷹市牟礼二丁目6-12　牟礼神明社境内,0422-29-9862,0422-29-9040,,嘉永３（1850）年もと建立。南方の高井戸から連雀への道、井の頭道の分岐する角にあり、井の頭弁財天への道しるべと村内安全を兼ねて建てたもので、銘文や、竜の浮き彫りなどの意匠も見事です。燈籠には牟礼村及び近村の住民60数名の寄進者名が刻されています。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"京王井の頭線三鷹台駅より徒歩約10分
京王井の頭線三鷹台駅よりみたかシティバス（杏林大学病院行き）、「牟礼三丁目」下車徒歩約1分
JR中央線三鷹駅南口より京王バス（久我山駅行き）、「三鷹台団地」下車徒歩約5分",なし,石碑,石碑,石碑,139.5834341,35.68804408
石燈籠＜一対＞,いしとうろう＜いっつい＞,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,文化７（1810）年に造られた石燈籠。大盛寺門前の石階段上に位置している。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5749961,35.69904836
石燈籠＜一対＞（紫燈籠）,いしとうろう＜いっつい＞（むらさきとうろう）,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,慶応元(1865)年に建立され、紫橙籠は土地の人の呼び名と言われています。良質の湧水が途絶えることがないことを祈願する人たちの願いがこの灯籠には込められています。この灯籠は平凡ですが刻まれた寄進者の名から江戸紫染の世界を知ることができる貴重な資料です。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5748071,35.69915535
狛犬＜一対＞,こまいぬ＜いっつい＞,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,明和８（1771）年に造られた狛犬一対。弁財天堂前に位置している。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,石碑,石碑,石碑,139.5747871,35.69945831
辛夷の碑,こぶしのひ,三鷹市井の頭四丁目1番　井の頭公園内,0422-29-9862,0422-29-9040,,明治26（1893）年に建立され、井の頭公園内の弁財天堂西方の池畔にあるこの石碑には「徳川三代将軍御切付旧蹟」という「井の頭」の故事が刻まれています。昭和53年三鷹市指定有形文化財。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約10分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,その他,その他,その他,139.5744541,35.69942931
井の頭池(神田上水水源池）,いのかしらいけ（かんだじょうすいすいげんち）,三鷹市井の頭四丁目1番　井の頭恩賜公園内　（案内所：武蔵野市御殿山一丁目18-31）,0422-47-6900,,,都立井の頭恩賜公園のシンボル的な存在となっている井の頭池は神田川の水源でもあり、かつては豊富な湧水を有した湧水口が７か所あったことから「七井の池」または「親の井」、「狛江」とも呼ばれていました。池の周囲にはソメイヨシノを中心とした古木が多くあり、都内でも有数のお花見スポットとなっています。また、井の頭池は神田上水の水源地として、大正14年に東京都の旧跡に指定されたほか、弁財天周辺にも多数の三鷹市指定の文化財が点在しています。,井の頭恩賜公園案内所,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約5分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭恩賜公園）,史跡,史跡,史跡,139.5778838,35.69961037
井の頭池遺跡群,いのかしらいけいせきぐん,三鷹市井の頭四丁目1番　井の頭恩賜公園内,0422-29-9862,0422-29-9040,,井の頭恩賜公園入口にある案内所から少し坂を下りた右手。石碑のある場所は、遺跡が最初に発掘（昭和37.1962年) され、縄文時代中期の住居跡が発見された所です。旧石器時代から人の生活を支え、今は都会のオアシスとしての公園内には、未だ多くの遺構が眠っています。昭和54年東京都指定史跡。,三鷹市スポーツと文化部　生涯学習課,,,,"JR中央線または京王井の頭線吉祥寺駅公園口より徒歩約5分
JR中央線三鷹駅南口より玉川上水沿い（風の散歩道）徒歩約20分",有料駐車場あり（井の頭公園）,史跡,史跡,史跡,139.5742577,35.70046962
柴田勝重墓,しばたかつしげはか,三鷹市新川四丁目４　春清寺墓地内,0422-29-9862,0422-29-9040,,織田信長の重臣、柴田勝家の孫柴田三左衛門勝重は、徳川家康の家臣として仙川の地を与えられ、島屋敷（元新川団地周辺）に館を構え居住しました。寛永９（1632）年に病死し、春清寺に葬られました。柴田家はその後三代80年にわたってこの地を知行しました。昭和53年三鷹市指定史跡。,三鷹市スポーツと文化部　生涯学習課,,,,JR中央線三鷹駅南口より小田急バス（仙川行き）、「コミュニティ・センター西」下車、徒歩約3分,なし,史跡,史跡,史跡,139.5731482,35.66981767
三木露風墓,みきろふうはか,三鷹市牟礼五丁目14　大盛寺墓地内,0422-29-9862,0422-29-9040,,詩人・三木露風は、昭和３(1928)年から昭和39(1964)年12月に交通事故で没するまで牟礼の地（現・牟礼四丁目）に居住していた。  晩年、三鷹の地で詩を書きつづけた露風は、三鷹市制５周年をたたえ、昭和31(1956)年元旦に「新年の詩」を贈り、また、昭和39年には高山小学校校歌を作詞しています。昭和55年三鷹市指定史跡。,三鷹市スポーツと文化部　生涯学習課,,,,"京王井の頭線三鷹台駅よりみたかシティバス（杏林大学病院行き）、「三鷹台団地」下車徒歩約3分
JR中央線三鷹駅南口より京王バス（久我山行き）、「三鷹台団地」下車徒歩約3分",なし,史跡,史跡,史跡,139.5795488,35.68426514
高橋亭之助墓,たかはしていのすけはか,三鷹市牟礼二丁目14　共同墓地内,0422-29-9862,0422-29-9040,,高橋亭之助は、天保13(1842)年牟礼村に生まれ、明治前期における三鷹教育界の先駆者のひとりです。和漢の学を修め、江戸末期に私塾芝昌堂、明治前期に時習学舎の長、さらに明治25(1892)年には、東三鷹尋常高等小学校（現・第一小学校の前身）の初代校長を勤めるほか、村の教育に大きな功績を残しました。大正３(1914)年に73歳で病没。墓は牟礼の大盛寺墓地内に、また徳をたたえた碑「紀徳の碑」は神明神社の境内にあります。昭和55年三鷹市指定史跡。,三鷹市スポーツと文化部　生涯学習課,,,,"京王井の頭線三鷹台駅よりみたかシティバス（三鷹駅南口行き）、「三鷹台団地」下車徒歩約3分
JR中央線三鷹駅南口より京王バス（久我山行き）、「三鷹台団地」下車徒歩約3分",なし,史跡,史跡,史跡,139.5796821,35.68697385
出山横穴墓群８号墓保存・公開施設,でやまおうけつぼぐんはちごうぼほぞん・こうかいしせつ,三鷹市大沢二丁目1097-1　大沢の里・自然観察路内,0422-29-9862,0422-29-9040,,平成５(1993)年に発掘調査された「出山横穴墓群８号墓」を現地保存し、常時公開している市内唯一の遺跡見学施設。出山横穴墓群で８番目に発見された横穴墓なので、この名称で呼ばれています。平成６年東京都指定史跡。,三鷹市スポーツと文化部　生涯学習課,9:30～16:00,"火曜日(火曜日が祝日にあたる場合は、その翌日以降の最初の平日）。
年末年始（12月28日～１月４日）。",無料　10名以上の団体は予約が必要です。,JR中央線三鷹駅南口より小田急バス「榊原記念病院」「朝日町三丁目」「車返団地」行きバス、「竜源寺」下車徒歩約7分,なし,史跡,史跡,史跡,139.5313118,35.67872273
