 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
10号西岸壁,55 ,"618,613 ",306 ,"3,365,732 ",-,-,-,-,55 ,"618,613 ",306 ,"3,365,732 "
10号東岸壁,25 ,"10,766 ",147 ,"65,345 ",-,-,-,-,25 ,"10,766 ",147 ,"65,345 "
東京港フェリーふ頭,25 ,"315,900 ",137 ,"1,731,132 ",-,-,-,-,25 ,"315,900 ",137 ,"1,731,132 "
多目的ふ頭,1 ,681 ,5 ,"10,489 ",-,-,-,-,1 ,681 ,5 ,"10,489 "
辰巳ふ頭,80 ,"26,891 ",379 ,"134,016 ",-,-,-,-,80 ,"26,891 ",379 ,"134,016 "
青海コンテナふ頭（公共）,107 ,"1,319,335 ",583 ,"6,932,171 ",68 ,"1,286,016 ",374 ,"6,740,657 ",39 ,"33,319 ",209 ,"191,514 "
有明ふ頭,4 ,"2,086 ",21 ,"17,585 ",-,-,-,-,4 ,"2,086 ",21 ,"17,585 "
大井水産物ふ頭,-,-,2 ,"8,524 ",-,-,-,-,-,-,2 ,"8,524 "
大井食品ふ頭（OL）,35 ,"92,692 ",101 ,"369,317 ",4 ,"88,149 ",16 ,"354,705 ",31 ,"4,543 ",85 ,"14,612 "
大井食品ふ頭（OM）,5 ,"45,633 ",22 ,"198,277 ",5 ,"45,633 ",22 ,"198,277 ",-,-,-,-
大井食品ふ頭（ON）,-,-,4 ,"19,711 ",-,-,1 ,"6,363 ",-,-,3 ,"13,348 "
若洲内貿ふ頭,12 ,"120,408 ",60 ,"602,040 ",-,-,-,-,12 ,"120,408 ",60 ,"602,040 "
15号地木材ふ頭,1 ,"32,679 ",4 ,"78,179 ",1 ,"32,679 ",3 ,"68,145 ",-,-,1 ,"10,034 "
若洲建材ふ頭,34 ,"20,371 ",174 ,"99,727 ",-,-,-,-,34 ,"20,371 ",174 ,"99,727 "
大井建材ふ頭,46 ,"26,492 ",317 ,"182,792 ",-,-,-,-,46 ,"26,492 ",317 ,"182,792 "
城南島建設発生土ふ頭,69 ,"41,055 ",387 ,"257,394 ",-,-,-,-,69 ,"41,055 ",387 ,"257,394 "
中央防波堤内側ばら物ふ頭,2 ,"28,308 ",22 ,"95,091 ",2 ,"28,308 ",6 ,"85,245 ",-,-,16 ,"9,846 "
中央防波堤内側建設発生土ふ頭,-,-,18 ,"19,275 ",-,-,-,-,-,-,18 ,"19,275 "
中央防波堤内側内貿ふ頭,20 ,"211,617 ",99 ,"1,047,975 ",-,-,-,-,20 ,"211,617 ",99 ,"1,047,975 "
官公庁（晴海）,1 ,"2,556 ",6 ,"18,012 ",-,-,-,-,1 ,"2,556 ",6 ,"18,012 "
官公庁（月島）,4 ,796 ,16 ,"3,178 ",-,-,-,-,4 ,796 ,16 ,"3,178 "
官公庁（有明）,2 ,"6,381 ",5 ,"13,872 ",-,-,-,-,2 ,"6,381 ",5 ,"13,872 "
東京港埠頭㈱計,275 ,"7,152,009 ","1,660 ","38,928,732 ",186 ,"7,007,901 ","1,050 ","37,967,318 ",89 ,"144,108 ",610 ,"961,414 "
青海コンテナふ頭(埠頭㈱),30 ,"1,175,200 ",274 ,"7,656,023 ",23 ,"1,166,659 ",226 ,"7,597,713 ",7 ,"8,541 ",48 ,"58,310 "
お台場ライナーふ頭,17 ,"79,767 ",149 ,"867,719 ",7 ,"33,448 ",46 ,"497,318 ",10 ,"46,319 ",103 ,"370,401 "
大井コンテナふ頭,228 ,"5,897,042 ","1,237 ","30,404,990 ",156 ,"5,807,794 ",778 ,"29,872,287 ",72 ,"89,248 ",459 ,"532,703 "
民間計,440 ,"1,590,603 ","2,491 ","5,299,560 ",76 ,"1,192,644 ",193 ,"2,718,910 ",364 ,"397,959 ","2,298 ","2,580,650 "
,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
