年度,Fiscal year,地域階層,地域コード,地域,District,第1号被保険者数 (1月末) Primary insured persons (as of the end of  January),要介護(要支援)認定者数 (1月末) Persons certified for LTC support (as of the end of January) ／第1号 Primary,要介護(要支援)認定者数 (1月末) Persons certified for LTC support (as of the end of January) ／第2号 Secondary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第1号 Primary,居宅介護(支援)サービス受給者数 (1月末) Recipients of in-home LTC services (as of the end of January)／第2号 Secondary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第1号 Primary,地域密着型サービス受給者数 (1月末) Recipient of communitybased LTC services (as of the end of January)／第2号 Secondary,施設介護サービス受給者数 (1月末) Recipients of LTC services in facilities (as of the end of January)／第1号 Primary,施設介護サービス受給者数 (1月末) Recipient of LTC services in facilities (as of the end of January)／第2号 Secondary
令和3,2021,2,13221,清瀬市,Kiyose-shi,20909,4545,96,2618,54,387,6,660,7
令和3,2021,2,13222,東久留米市,Higashikurume-shi,33570,6553,132,3808,79,720,4,836,9
令和3,2021,2,13223,武蔵村山市,Musashimurayama-shi,19159,3081,86,1812,53,338,5,587,9
令和3,2021,2,13224,多摩市,Tama-shi,43015,6201,158,4086,104,711,12,828,17
令和3,2021,2,13225,稲城市,Inagi-shi,20123,3079,97,1897,66,370,13,425,-
令和3,2021,2,13227,羽村市,Hamura-shi,14544,2392,63,1267,33,170,2,424,3
令和3,2021,2,13228,あきる野市,Akiruno-shi,23579,3814,86,1990,58,349,5,940,11
令和3,2021,2,13229,西東京市,Nishitokyo-shi,49975,10752,220,6760,140,1259,16,1324,10
令和3,2021,1,13300,郡部,All gun,17834,2889,67,1471,45,244,4,705,3
令和3,2021,1,13350,島部,All islands,8914,1783,25,918,13,198,1,393,-
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,
18-9  介護保険被保険者数 ・認定者・受給者の状況（令和元～3年度） 18-9  PERSONS INSURED BY LONG-TERM CARE (LTC) INSURANCE， CERTIFIED FOR LTC/SUPPORT， AND BENEFICIARIES OF LTC SERVICES ( Fiscal Years 2019-2021 ) ,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,
