年度末,End of fiscal year,地域階層,地域コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数2 Number of sewage treatment plants 2 2) ,終末処理場数1 Number of sewage treatment plants 1,普及率 (B/A) Sewerage system coverage (%)
令和3,2021,2,13205,青梅市,Ome-shi,130762,128380,2379,2177,128380,2379,2177,-,-,98
令和3,2021,2,13206,府中市,Fuchu-shi,260144,260144,2725,2725,260144,2725,2725,1,1,100
令和3,2021,2,13207,昭島市,Akishima-shi,114068,113988,1504,1440,113988,1504,1440,1,1,100
令和3,2021,2,13208,調布市,Chofu-shi,238394,238394,2037,1955,238394,2037,1955,-,-,100
令和3,2021,2,13209,町田市,Machida-shi,430803,426224,5479,5106,426224,5479,5106,-,2,99
令和3,2021,2,13210,小金井市,Koganei-shi,124539,124539,1133,1133,124539,1133,1133,-,-,100
令和3,2021,2,13211,小平市,Kodaira-shi,195014,195014,2046,2046,195014,2046,2046,-,-,100
令和3,2021,2,13212,日野市,Hino-shi,187061,179859,2397,2260,179859,2397,2260,1,1,96
令和3,2021,2,13213,東村山市,Higashimurayama-shi,151666,151666,1696,1696,151666,1696,1696,-,-,100
令和3,2021,2,13214,国分寺市,Kokubunji-shi,128011,128007,1148,1142,128007,1148,1142,-,-,100
令和3,2021,2,13215,国立市,Kunitachi-shi,76278,76278,792,792,76278,792,792,1,1,100
令和3,2021,2,13218,福生市,Fussa-shi,56193,56193,1000,663,56193,1000,663,-,-,100
令和3,2021,2,13219,狛江市,Komae-shi,83013,83013,582,582,83013,582,582,-,-,100
令和3,2021,2,13220,東大和市,Higashiyamato-shi,85086,85077,1009,990,85077,1009,990,-,-,100
令和3,2021,2,13221,清瀬市,Kiyose-shi,74770,74765,1019,884,74765,1019,884,1,1,100
令和3,2021,2,13222,東久留米市,Higashikurume-shi,117006,117006,1292,1292,117006,1292,1292,-,-,100
令和3,2021,2,13223,武蔵村山市,Musashimurayama-shi,71615,71607,1522,1164,71607,1522,1164,-,-,100
令和3,2021,2,13224,多摩市,Tama-shi,147552,147547,2019,2014,147547,2019,2014,-,-,100
令和3,2021,2,13225,稲城市,Inagi-shi,93033,92354,1747,1581,92354,1747,1119,1,1,99
令和3,2021,2,13227,羽村市,Hamura-shi,54514,54350,905,803,54350,905,803,-,-,100
令和3,2021,2,13228,あきる野市,Akiruno-shi,79931,75908,1659,1361,75383,1659,1353,-,-,95
令和3,2021,2,13229,西東京市,Nishitokyo-shi,205726,205726,1585,1585,205726,1585,1585,-,-,100
令和3,2021,1,13300,郡部,All gun,55687,54475,1932,1650,54475,1932,1650,-,1,98
令和3,2021,2,13303,瑞穂町,Mizuho-machi,32293,31704,931,822,31704,931,822,-,-,98
令和3,2021,2,13305,日の出町,Hinode-machi,16500,16493,700,527,16493,700,527,-,-,100
令和3,2021,2,13307,檜原村,Hinohara-mura,2067,1859,102,102,1859,102,102,-,-,90
令和3,2021,2,13308,奥多摩町,Okutama-machi,4827,4419,199,199,4419,199,199,-,1,92
令和3,2021,1,13350,島部 ,All islands 3),2478,1623,90,84,1623,90,84,-,1,65
令和3,2021,2,13363,新島村,Niijima-mura,2478,1623,90,84,1623,90,84,-,1,65
,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,
6-6  地域別下水道の普及状況（令和元～3年度末） 6-6  SEWERAGE SERVICE BY DISTRICT ( End of Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,
注 1) 総人口は，住民基本台帳人口である。　　,,,,,,,,,,,,,,,
2) 終末処理場2の数値は流域下水道にかかるものであり，内数である。,,,,,,,,,,,,,,,
3) 島部に関しては，新島村のみ公共下水道である。,,,,,,,,,,,,,,,
Note: 1) Total population data from the Basic Resident Register.,,,,,,,,,,,,,,,
2) Figures in parentheses show the number of sewage treatment plants 2 for a regional sewerage system within the total number (figures on the right).  ,,,,,,,,,,,,,,,
3) In the islands， only Niijima-mura is served by a public sewerage system.,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同流域下水道本部 Source: Bureau of Sewerage， TMG,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,
