年度,Fiscal year,地域階層,地域コード,地域,District,身体障害者手帳交付台帳  Physical impairment certificate ledger data／年度末現在 As of the end of the fiscal year,身体障害者手帳交付台帳  Physical impairment certificate ledger data／新規交付 New issues,身体障害者手帳交付台帳  Physical impairment certificate ledger data／返還 Returned,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県より転入 In-migrants from other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／他県へ転出 Out-migrants to other prefectures,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内より転入 In-migrants  within Tokyo,身体障害者手帳交付台帳  Physical impairment certificate ledger data／都内へ転出 Out-migrants within Tokyo,「愛の手帳」交付数（年度末現在） Intellectual impairment certificates issued (As of the end of the fiscal year) 1)
令和2,2020,2,13121,足立区,Adachi-ku,30298,1291,1568,119,110,721,649,6067
令和2,2020,2,13122,葛飾区,Katsushika-ku,17351,744,1149,70,63,333,303,3630
令和2,2020,2,13123,江戸川区,Edogawa-ku,24287,1056,1172,111,119,601,602,5776
令和2,2020,1,13200,市部,All shi,148012,6707,7311,795,471,3003,2772,34845
令和2,2020,2,13201,八王子市,Hachioji-shi,15740,999,1032,97,64,155,80,4941
令和2,2020,2,13202,立川市,Tachikawa-shi,7305,282,503,43,18,151,158,1605
令和2,2020,2,13203,武蔵野市,Musashino-shi,4262,193,227,26,12,109,120,1278
令和2,2020,2,13204,三鷹市,Mitaka-shi,5947,306,251,34,15,128,108,1287
令和2,2020,2,13205,青梅市,Ome-shi,6787,219,165,24,9,170,135,1306
令和2,2020,2,13206,府中市,Fuchu-shi,8656,395,466,37,32,180,174,2087
令和2,2020,2,13207,昭島市,Akishima-shi,3953,195,214,19,10,118,83,1005
令和2,2020,2,13208,調布市,Chofu-shi,8914,336,307,42,28,155,161,1599
令和2,2020,2,13209,町田市,Machida-shi,16211,697,709,123,56,470,448,3989
令和2,2020,2,13210,小金井市,Koganei-shi,3246,185,211,28,13,76,77,756
令和2,2020,2,13211,小平市,Kodaira-shi,6963,320,216,33,20,117,111,1644
令和2,2020,2,13212,日野市,Hino-shi,5963,261,533,34,23,107,93,1473
令和2,2020,2,13213,東村山市,Higashimurayama-shi,7509,313,304,42,28,126,110,1462
令和2,2020,2,13214,国分寺市,Kokubunji-shi,3945,167,148,22,13,86,82,893
令和2,2020,2,13215,国立市,Kunitachi-shi,2618,119,135,15,8,51,61,611
令和2,2020,2,13218,福生市,Fussa-shi,2076,89,59,14,7,50,65,473
令和2,2020,2,13219,狛江市,Komae-shi,2770,102,97,23,5,50,46,502
令和2,2020,2,13220,東大和市,Higashiyamato-shi,3325,138,109,5,6,49,46,742
令和2,2020,2,13221,清瀬市,Kiyose-shi,4372,146,177,10,12,79,63,725
令和2,2020,2,13222,東久留米市,Higashikurume-shi,4513,216,256,24,13,96,85,1064
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,3132,136,183,6,3,81,80,755
令和2,2020,2,13224,多摩市,Tama-shi,5190,231,204,27,31,86,94,1165
令和2,2020,2,13225,稲城市,Inagi-shi,2788,131,118,19,12,52,47,588
令和2,2020,2,13227,羽村市,Hamura-shi,1947,70,89,2,8,67,52,545
令和2,2020,2,13228,あきる野市,Akiruno-shi,2859,128,260,13,6,73,59,805
令和2,2020,2,13229,西東京市,Nishitokyo-shi,7021,333,338,33,19,121,134,1545
令和2,2020,1,13300,郡部,All gun,2731,98,139,7,4,77,40,656
令和2,2020,1,13350,島部,All islands,1664,49,43,3,9,29,27,247
,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,
18-3  身体障害者手帳交付台帳登載状況及び「愛の手帳」交付状況（平成28～令和2年度） 18-3  DATA FROM THE PHYSICAL IMPAIRMENT CERTIFICATE ISSUE LEDGER AND ISSUE OF THE INTELLECTUAL IMPAIRMENT CERTIFICATE ( Fiscal Years 2016-2020 ),,,,,,,,,,,,,
注 1) 「愛の手帳」交付数の総数は，都外施設に入所している場合等で管轄区市町村が未定の者を含むため，内訳と一致しない。,,,,,,,,,,,,,
Note: 1) The total number of intellectual impairment certificates issued does not match the breakdown because it includes persons who were not under the jurisdiction of a municipality for reasons such as living in facilities outside Tokyo. ,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,
