年度末,End of fiscal year,地域階層,地域コード,地域,District,合計 Total／計 Total,合計 Total／計 Total／全部支給 Full payment,合計 Total／計 Total／一部支給 Partial payment,合計 Total／停止 Discontinued,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／計 Total,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／計 Total／全部支給 Full payment,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／計 Total／一部支給 Partial payment,都道府県・市等支給対象者 Covered by prefecture， cities， etc.／停止 Discontinued,国支給対象者 Covered by national government／計 Total,国支給対象者 Covered by national government／計 Total／全部支給 Full payment,国支給対象者 Covered by national government／計 Total／一部支給 Partial payment,国支給対象者 Covered by national government／停止 Discontinued
令和3,2021,2,13119,板橋区,Itabashi-ku,3136,1838,1298,812,3136,1838,1298,812,-,-,-,-
令和3,2021,2,13120,練馬区,Nerima-ku,3260,1866,1394,1095,3260,1866,1394,1095,-,-,-,-
令和3,2021,2,13121,足立区,Adachi-ku,5029,3067,1962,1112,5029,3067,1962,1112,-,-,-,-
令和3,2021,2,13122,葛飾区,Katsushika-ku,3003,1833,1170,886,3003,1833,1170,886,-,-,-,-
令和3,2021,2,13123,江戸川区,Edogawa-ku,4675,2779,1896,1112,4675,2779,1896,1112,-,-,-,-
令和3,2021,1,13200,市部,All shi,22759,12916,9843,5951,22759,12916,9843,5951,-,-,-,-
令和3,2021,2,13201,八王子市,Hachioji-shi,3544,2004,1540,930,3544,2004,1540,930,-,-,-,-
令和3,2021,2,13202,立川市,Tachikawa-shi,1150,695,455,246,1150,695,455,246,-,-,-,-
令和3,2021,2,13203,武蔵野市,Musashino-shi,436,215,221,134,436,215,221,134,-,-,-,-
令和3,2021,2,13204,三鷹市,Mitaka-shi,659,355,304,193,659,355,304,193,-,-,-,-
令和3,2021,2,13205,青梅市,Ome-shi,987,603,384,259,987,603,384,259,-,-,-,-
令和3,2021,2,13206,府中市,Fuchu-shi,1423,810,613,341,1423,810,613,341,-,-,-,-
令和3,2021,2,13207,昭島市,Akishima-shi,784,475,309,200,784,475,309,200,-,-,-,-
令和3,2021,2,13208,調布市,Chofu-shi,983,505,478,310,983,505,478,310,-,-,-,-
令和3,2021,2,13209,町田市,Machida-shi,2620,1532,1088,657,2620,1532,1088,657,-,-,-,-
令和3,2021,2,13210,小金井市,Koganei-shi,346,165,181,108,346,165,181,108,-,-,-,-
令和3,2021,2,13211,小平市,Kodaira-shi,966,566,400,326,966,566,400,326,-,-,-,-
令和3,2021,2,13212,日野市,Hino-shi,838,468,370,213,838,468,370,213,-,-,-,-
令和3,2021,2,13213,東村山市,Higashimurayama-shi,932,499,433,254,932,499,433,254,-,-,-,-
令和3,2021,2,13214,国分寺市,Kokubunji-shi,381,210,171,117,381,210,171,117,-,-,-,-
令和3,2021,2,13215,国立市,Kunitachi-shi,350,195,155,80,350,195,155,80,-,-,-,-
令和3,2021,2,13218,福生市,Fussa-shi,482,264,218,100,482,264,218,100,-,-,-,-
令和3,2021,2,13219,狛江市,Komae-shi,294,160,134,86,294,160,134,86,-,-,-,-
令和3,2021,2,13220,東大和市,Higashiyamato-shi,583,347,236,124,583,347,236,124,-,-,-,-
令和3,2021,2,13221,清瀬市,Kiyose-shi,514,311,203,99,514,311,203,99,-,-,-,-
令和3,2021,2,13222,東久留米市,Higashikurume-shi,677,395,282,225,677,395,282,225,-,-,-,-
令和3,2021,2,13223,武蔵村山市,Musashimurayama-shi,705,424,281,122,705,424,281,122,-,-,-,-
令和3,2021,2,13224,多摩市,Tama-shi,787,435,352,240,787,435,352,240,-,-,-,-
令和3,2021,2,13225,稲城市,Inagi-shi,406,214,192,126,406,214,192,126,-,-,-,-
令和3,2021,2,13227,羽村市,Hamura-shi,412,213,199,111,412,213,199,111,-,-,-,-
令和3,2021,2,13228,あきる野市,Akiruno-shi,607,336,271,119,607,336,271,119,-,-,-,-
令和3,2021,2,13229,西東京市,Nishitokyo-shi,893,520,373,231,893,520,373,231,-,-,-,-
令和3,2021,1,13300,郡部,All gun,466,261,205,107,466,261,205,107,-,-,-,-
令和3,2021,1,13350,島部,All islands,168,87,81,48,168,87,81,48,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,,,
18-5  児童扶養手当受給状況（平成29～令和3年度末） 18-5  RECIPIENTS OF CHILD CARE ALLOWANCES ( End of Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG    ,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,
