年次,Year,地域階層,地域コード,地域,District,病院 Hospital／総数 Total,病院 Hospital／精神科病院 Psychiatric hospital,病院 Hospital／一般病院 General hospital,病院 Hospital／(再掲 Relisted)／救急告示病院 Designated emergency hospital,病院 Hospital／(再掲 Relisted)／療養病床を有するもの Hospital with long-term care beds,一般診療所 General  clinic,歯科診療所 Dental clinic,
令和2,2020,2,13205,青梅市,Ome-shi,16,8,8,2,6,88,64,
令和2,2020,2,13206,府中市,Fuchu-shi,14,2,12,6,4,185,153,
令和2,2020,2,13207,昭島市,Akishima-shi,8,-,8,5,4,62,61,
令和2,2020,2,13208,調布市,Chofu-shi,8,2,6,3,3,198,155,
令和2,2020,2,13209,町田市,Machida-shi,20,5,15,7,9,333,232,
令和2,2020,2,13210,小金井市,Koganei-shi,5,1,4,1,4,90,70,
令和2,2020,2,13211,小平市,Kodaira-shi,9,1,8,4,4,138,96,
令和2,2020,2,13212,日野市,Hino-shi,7,1,6,2,4,125,91,
令和2,2020,2,13213,東村山市,Higashimurayama-shi,11,3,8,4,3,97,68,
令和2,2020,2,13214,国分寺市,Kokubunji-shi,2,-,2,-,2,116,77,
令和2,2020,2,13215,国立市,Kunitachi-shi,2,-,2,1,-,87,69,
令和2,2020,2,13218,福生市,Fussa-shi,4,-,4,3,1,42,32,
令和2,2020,2,13219,狛江市,Komae-shi,2,-,2,1,1,61,39,
令和2,2020,2,13220,東大和市,Higashiyamato-shi,2,-,2,1,-,51,45,
令和2,2020,2,13221,清瀬市,Kiyose-shi,11,2,9,4,6,46,36,
令和2,2020,2,13222,東久留米市,Higashikurume-shi,4,1,3,2,-,67,56,
令和2,2020,2,13223,武蔵村山市,Musashimurayama-shi,4,-,4,2,2,27,25,
令和2,2020,2,13224,多摩市,Tama-shi,8,2,6,2,2,112,65,
令和2,2020,2,13225,稲城市,Inagi-shi,3,-,3,1,2,51,43,
令和2,2020,2,13227,羽村市,Hamura-shi,2,-,2,-,2,35,32,
令和2,2020,2,13228,あきる野市,Akiruno-shi,4,1,3,1,1,48,36,
令和2,2020,2,13229,西東京市,Nishitokyo-shi,6,1,5,4,1,145,118,
令和2,2020,1,13300,郡部,All gun,4,-,4,1,3,39,19,
令和2,2020,2,13303,瑞穂町,Mizuho-machi,1,-,1,-,1,14,11,
令和2,2020,2,13305,日の出町,Hinode-machi,2,-,2,-,2,14,6,
令和2,2020,2,13307,檜原村,Hinohara-mura,-,-,-,-,-,3,-,
令和2,2020,2,13308,奥多摩町,Okutama-machi,1,-,1,1,-,8,2,
令和2,2020,1,13350,島部,All islands,1,-,1,1,-,18,14,
令和2,2020,2,13361,大島町,Oshima-machi,-,-,-,-,-,3,5,
令和2,2020,2,13362,利島村,Toshima-mura,-,-,-,-,-,1,-,
令和2,2020,2,13363,新島村,Niijima-mura,-,-,-,-,-,3,-,
令和2,2020,2,13364,神津島村,Kozushima-mura,-,-,-,-,-,2,-,
令和2,2020,2,13381,三宅村,Miyake-mura,-,-,-,-,-,2,1,
令和2,2020,2,13382,御蔵島村,Mikurajima-mura,-,-,-,-,-,1,-,
令和2,2020,2,13401,八丈町,Hachijo-machi,1,-,1,1,-,2,7,
令和2,2020,2,13402,青ヶ島村,Aogashima-mura,-,-,-,-,-,1,-,
令和2,2020,2,13421,小笠原村,Ogasawara-mura,-,-,-,-,-,3,1,
,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,
19-1  地域別医療施設数 (平成28～令和2年) 19-1  MEDICAL FACILITIES BY DISTRICT( 2016-2020 ),,,,,,,,,,,,,
この表は厚生労働省「医療施設調査」による。病院とは患者20人以上の収容施設を有するものをいい，診療所とは患者の収容施設を有しないもの， 又は20人未満のものをいう。,,,,,,,,,,,,,
"The table is based on the “Medical Institutions Survey” conducted by the Ministry of Health， Labour and Welfare. “Hospitals” refer to medical establishments with a capacity to admit 20 or more patients， while ""Clinics"" refer to those with no facilities to admit patients or with a capacity to admit less than 20 patients. ",,,,,,,,,,,,,
各年10月1日現在。 ,,,,,,,,,,,,,
Figures are as of October 1 of the each year.,,,,,,,,,,,,,
注) 「休止中」及び「休診中」のものを除く。          ,,,,,,,,,,,,,
"Note:  Facilities that are ""inactive"" are excluded.",,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「東京都の医療施設」 Source: Bureau of Social Welfare and Public Health， TMG　,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,
