年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店営業 Eateries,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,菓子製造業 Confectioners,豆腐製造業 Tofu manufacturers,麺類製造業 Noodle manufacturers,そうざい製造業 Prepared food manufacturers,乳類販売業 Dairy product sales,弁当販売業 Bento sales,野菜果物販売業 Vegetable & fruit sales,米穀類販売業 Rice grain sales,コンビニエンスストア Convenience store,百貨店・総合スーパー Department stores and general merchandise supermarkets,集団給食施設 Mass feeding facilities
令和3,2021,2,13211,11,小平市,Kodaira-shi,1231,79,76,217,6,3,10,138,2,8,4,71,40,93
令和3,2021,2,13212,12,日野市,Hino-shi,1016,77,73,154,3,4,12,138,7,12,6,62,27,74
令和3,2021,2,13213,13,東村山市,Higashimurayama-shi,1031,65,60,139,7,8,15,100,3,12,6,42,37,58
令和3,2021,2,13214,14,国分寺市,Kokubunji-shi,1057,58,54,154,1,8,19,77,4,11,2,41,26,42
令和3,2021,2,13215,15,国立市,Kunitachi-shi,667,38,32,157,1,4,27,62,4,18,1,32,21,27
令和3,2021,2,13218,16,福生市,Fussa-shi,773,48,36,55,3,2,8,52,3,6,3,29,13,22
令和3,2021,2,13219,17,狛江市,Komae-shi,455,41,32,82,1,-,3,53,1,10,2,23,7,22
令和3,2021,2,13220,18,東大和市,Higashiyamato-shi,526,34,25,74,2,2,2,55,2,6,5,29,20,30
令和3,2021,2,13221,19,清瀬市,Kiyose-shi,466,35,30,80,-,4,3,65,8,6,-,24,11,49
令和3,2021,2,13222,20,東久留米市,Higashikurume-shi,640,64,59,135,4,10,4,96,1,18,6,29,33,37
令和3,2021,2,13223,21,武蔵村山市,Musashimurayama-shi,420,49,37,69,1,11,17,50,5,12,4,24,14,25
令和3,2021,2,13224,22,多摩市,Tama-shi,984,71,61,167,2,3,20,145,17,15,3,47,19,55
令和3,2021,2,13225,23,稲城市,Inagi-shi,393,42,40,75,6,5,9,81,2,7,2,25,17,29
令和3,2021,2,13227,24,羽村市,Hamura-shi,690,33,31,55,1,-,2,58,3,5,2,28,17,12
令和3,2021,2,13228,25,あきる野市,Akiruno-shi,543,44,38,101,5,7,14,61,5,6,8,22,16,41
令和3,2021,2,13229,26,西東京市,Nishitokyo-shi,1315,69,68,214,7,7,14,116,9,24,3,71,37,85
令和3,2021,1,13300,,郡部,All gun,512,44,36,119,2,9,27,90,7,9,6,27,6,32
令和3,2021,1,13500,,島部,All islands,1052,59,74,173,3,4,64,36,2,17,-,-,18,28
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (令和3年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Year 2021 )  ,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,
