年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B/A) Coverage rate (%) 
令和3,2021,2,13222,20,東久留米市,Higashikurume-shi,※,115316,2,2000,115316,-,-,-,114790,-,-,-,-,-,2,2000,526,100
令和3,2021,2,13223,21,武蔵村山市,Musashimurayama-shi,※,70456,2,1245,70456,-,-,-,70276,-,-,-,-,-,2,1245,180,100
令和3,2021,2,13224,22,多摩市,Tama-shi,※,145897,3,1739,145897,-,-,-,144485,-,-,-,-,-,3,1739,1412,100
令和3,2021,2,13225,23,稲城市,Inagi-shi,※,94133,-,-,94133,-,-,-,94133,-,-,-,-,-,-,-,-,100
令和3,2021,2,13227,24,羽村市,Hamura-shi,,54514,1,60000,54450,6294,1,60000,54450,6294,-,-,-,-,-,-,-,99.88
令和3,2021,2,13228,25,あきる野市,Akiruno-shi,※,78931,2,-,78931,-,-,-,78931,-,-,-,-,-,2,-,-,100
令和3,2021,2,13229,26,西東京市,Nishitokyo-shi,※,207207,1,7000,207207,-,-,-,207207,-,-,-,-,-,1,7000,-,100
令和3,2021,1,13300,,郡部,All gun,,54957,4,3400,54825,318,-,-,52849,-,1,3400,1976,318,3,-,-,99.76
令和3,2021,2,13303,1,瑞穂町,Mizuho-machi,※,31458,1,-,31458,-,-,-,31458,-,-,-,-,-,1,-,-,100
令和3,2021,2,13305,2,日の出町,Hinode-machi,※,16864,-,-,16864,-,-,-,16864,-,-,-,-,-,-,-,-,100
令和3,2021,2,13307,3,檜原村,Hinohara-mura,,2067,2,3400,1976,318,-,-,-,-,1,3400,1976,318,1,-,-,95.6
令和3,2021,2,13308,4,奥多摩町,Okutama-machi,※,4568,1,-,4527,-,-,-,4527,-,-,-,-,-,1,-,-,99.1
令和3,2021,1,13350,,島部,All islands,,23876,11,35668,23799,4190,2,22580,14002,2688,7,12880,9797,1502,2,208,-,99.68
令和3,2021,2,13361,1,大島町,Oshima-machi,,7057,2,10858,7048,1188,1,10650,7048,1188,-,-,-,-,1,208,-,99.87
令和3,2021,2,13362,2,利島村,Toshima-mura,,307,1,350,307,46,-,-,-,-,1,350,307,46,-,-,-,100
令和3,2021,2,13363,3,新島村,Niijima-mura,,2478,1,2830,2440,330,-,-,-,-,1,2830,2440,330,-,-,-,98.47
令和3,2021,2,13364,4,神津島村,Kozushima-mura,,1822,1,2150,1819,431,-,-,-,-,1,2150,1819,431,-,-,-,99.84
令和3,2021,2,13381,5,三宅村,Miyake-mura,,2272,1,3920,2272,323,-,-,-,-,1,3920,2272,323,-,-,-,100
令和3,2021,2,13382,6,御蔵島村,Mikurajima-mura,,284,1,500,284,50,-,-,-,-,1,500,284,50,-,-,-,100
令和3,2021,2,13401,7,八丈町,Hachijo-machi,,6976,1,11930,6954,1500,1,11930,6954,1500,-,-,-,-,-,-,-,99.68
令和3,2021,2,13402,8,青ヶ島村,Aogashima-mura,,149,1,300,149,28,-,-,-,-,1,300,149,28,-,-,-,100
令和3,2021,2,13421,9,小笠原村,Ogasawara-mura,,2531,2,2830,2526,294,-,-,-,-,1,2830,2526,294,1,-,-,99.8
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-2  地域別水道の普及状況（平成29～令和3年度末） 6-2  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2017-2021 ),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
4) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
