年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成27,2015,2,13224,多摩市,Tama-shi,148155,148145,2019,2014,148145,2019,2014,-,-,100,,,
平成27,2015,2,13225,稲城市,Inagi-shi,87828,86779,1747,1040,86779,1747,1040,1,1,98.8,,,
平成27,2015,2,13227,羽村市,Hamura-shi,56281,56281,905,905,56281,905,822,-,-,100,,,
平成27,2015,2,13228,あきる野市,Akiruno-shi,81443,76204,1659,1322,76199,1659,1257,-,-,93.6,,,
平成27,2015,2,13229,西東京市,Nishitokyo-shi,199297,199297,1585,1585,199297,1585,1585,-,-,100,,,
平成27,2015,1,13300,郡部,All gun,58550,56694,1930,1601.12,56027,1930,1544.12,-,1,97,,,
平成27,2015,2,13303,瑞穂町,Mizuho-machi,33822,33026,929,782,32867,929,750,-,-,97.6,,,
平成27,2015,2,13305,日の出町,Hinode-machi,17033,17028,700,527,17028,700,527,-,-,100,,,
平成27,2015,2,13307,檜原村,Hinohara-mura,2323,1967,102,93.12,1967,102,93.12,-,-,84.7,,,
平成27,2015,2,13308,奥多摩町,Okutama-machi,5372,4673,199,199,4165,199,174,-,1,87,,,
平成27,2015,1,13350,島部,All islands,2779,1850,87,75,1850,87,75,-,1,67,,,
平成27,2015,2,13363,新島村,Niijima-mura,2779,1850,87,75,1850,87,75,-,1,66.6,,,
,,,,,,,,,,,,,,,,,,
6-8  地域別下水道の普及状況 （平成25～27年度末） ,,,,,,,,,,,,,,,,,,
6-8 SEWERAGE SERVICE BY DISTRICT ( End of Fiscal Years 2013～2015 ) ,,,,,,,,,,,,,,,,,,
　注． 1) 総人口は， 住民基本台帳人口である。 ,,,,,,,,,,,,,,,,,,
            2) 終末処理場の （　） 内の数値は流域下水道にかかるものであり， 内数である。 ,,,,,,,,,,,,,,,,,,
　　    3) 島部に関しては，新島村のみ公共下水道である。 ,,,,,,,,,,,,,,,,,,
　Note: 1) Total population data from the Basic Resident Register. ,,,,,,,,,,,,,,,,,,
          　2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number  (figures on the right). ,,,,,,,,,,,,,,,,,,
             3) In the islands， only Niijima-mura is served by public sewer.,,,,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 ,,,,,,,,,,,,,,,,,,
　Source : Bureau of Sewerage， T.M.G.， Bureau of Urban Development， T.M.G.,,,,,,,,,,,,,,,,,, 
