年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,理容所 Barber,美容所  Beauty salon,クリーニング所 Dry-cleaner,公衆浴場 Public baths／総数 Total,公衆浴場 Public baths／普通 General,公衆浴場 Public baths／その他 Others,温泉利用施設 Hot springs,旅館等  Hotels and inns／総数 Total,旅館等 Hotels and inns／ホテル hotels,旅館等 Hotels and inns／旅館 Japanese-style hotels & inns (ryokan),旅館等 Hotels and inns／簡易宿所 Budget hotel,旅館等  Hotels and inns／下宿 Boarding houses and lodgings,常設興行場 Entertainment places／総数 Total,常設興行場 Entertainment places／映画館 Cinemas,常設興行場 Entertainment places／スポーツ施設 Sports center,常設興行場 Entertainment places／その他 Others,プール Swimming pool
平成27,2015,2,13120,20,練馬区,Nerima-ku,411,862,471,86,26,60,4,7,4,3,-,-,10,3,-,7,152
平成27,2015,2,13121,21,足立区,Adachi-ku,493,891,493,56,40,16,2,38,3,31,4,-,17,11,-,6,139
平成27,2015,2,13122,22,葛飾区,Katsushika-ku,343,632,359,61,35,26,1,25,13,4,8,-,3,1,-,2,96
平成27,2015,2,13123,23,江戸川区,Edogawa-ku,456,802,442,65,40,25,7,43,4,34,5,-,10,1,1,8,137
平成27,2015,1,13200,,市部,All shi,2212,4885,2246,345,54,291,53,319,120,152,47,-,174,69,14,91,836
平成27,2015,2,13201,1,八王子市,Hachioji-shi,317,690,310,42,3,39,12,64,24,35,5,-,26,13,5,8,24
平成27,2015,2,13202,2,立川市,Tachikawa-shi,107,316,111,17,4,13,-,38,16,21,1,-,17,11,1,5,63
平成27,2015,2,13203,3,武蔵野市,Musashino-shi,99,414,102,15,4,11,1,11,5,6,-,-,12,4,-,8,36
平成27,2015,2,13204,4,三鷹市,Mitaka-shi,84,153,89,19,4,15,1,1,1,-,-,-,3,-,-,3,37
平成27,2015,2,13205,5,青梅市,Ome-shi,105,151,67,18,-,18,8,44,1,22,21,-,1,-,-,1,43
平成27,2015,2,13206,6,府中市,Fuchu-shi,129,242,154,27,5,22,1,22,13,9,-,-,18,9,3,6,58
平成27,2015,2,13207,7,昭島市,Akishima-shi,69,129,60,9,3,6,1,11,7,4,-,-,3,1,-,2,28
平成27,2015,2,13208,8,調布市,Chofu-shi,105,254,144,19,5,14,8,7,4,3,-,-,12,-,4,8,47
平成27,2015,2,13209,9,町田市,Machida-shi,193,508,221,28,2,26,4,28,21,5,2,-,14,10,-,4,17
平成27,2015,2,13210,10,小金井市,Koganei-shi,59,113,65,6,1,5,1,2,-,2,-,-,2,-,-,2,30
平成27,2015,2,13211,11,小平市,Kodaira-shi,110,172,91,15,2,13,2,5,1,3,1,-,3,-,-,3,42
平成27,2015,2,13212,12,日野市,Hino-shi,81,163,73,4,-,4,-,2,1,1,-,-,2,-,-,2,40
平成27,2015,2,13213,13,東村山市,Higashimurayama-shi,76,174,88,7,2,5,-,11,6,5,-,-,1,-,-,1,33
平成27,2015,2,13214,14,国分寺市,Kokubunji-shi,48,143,55,9,2,7,-,7,5,2,-,-,1,-,-,1,23
平成27,2015,2,13215,15,国立市,Kunitachi-shi,47,122,40,9,1,8,1,6,4,2,-,-,1,-,-,1,26
平成27,2015,2,13218,16,福生市,Fussa-shi,46,106,33,3,-,3,-,3,1,1,1,-,1,-,-,1,15
平成27,2015,2,13219,17,狛江市,Komae-shi,38,76,49,6,4,2,-,1,-,1,-,-,2,-,-,2,19
平成27,2015,2,13220,18,東大和市,Higashiyamato-shi,56,90,47,9,2,7,-,5,-,5,-,-,2,-,-,2,20
平成27,2015,2,13221,19,清瀬市,Kiyose-shi,43,81,40,4,3,1,-,-,-,-,-,-,1,-,-,1,24
平成27,2015,2,13222,20,東久留米市,Higashikurume-shi,52,104,64,12,2,10,-,1,-,1,-,-,1,-,-,1,29
平成27,2015,2,13223,21,武蔵村山市,Musashimurayama-shi,37,69,31,4,-,4,3,4,-,4,-,-,14,12,-,2,23
平成27,2015,2,13224,22,多摩市,Tama-shi,57,134,71,21,-,21,1,7,5,2,-,-,20,9,-,11,42
平成27,2015,2,13225,23,稲城市,Inagi-shi,38,62,41,10,1,9,1,2,1,1,-,-,2,-,-,2,31
平成27,2015,2,13227,24,羽村市,Hamura-shi,45,103,29,5,-,5,6,4,2,2,-,-,3,-,-,3,16
平成27,2015,2,13228,25,あきる野市,Akiruno-shi,59,88,35,9,-,9,2,29,-,13,16,-,6,-,-,6,28
平成27,2015,2,13229,26,西東京市,Nishitokyo-shi,112,228,136,18,4,14,-,4,2,2,-,-,6,-,1,5,42
平成27,2015,1,13300,,郡部,All gun,46,58,26,22,-,22,42,80,6,23,51,-,10,9,-,1,20
平成27,2015,1,13500,,島部,All islands,37,53,13,29,-,29,39,586,6,100,480,-,2,-,-,2,40
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,
19-7  環境衛生営業施設数 (平成23～平成27年度末) 19-7  BUSINESS FACILITIES REGULATED BY THE ENVIRONMENT AND HEALTH ACT( End of Fiscal Years 2011-2015 )   ,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,
