年度平均,Fiscal year average,地域階層,地域コード,地域,District,被保護世帯数 Households assisted 1),生活扶助 Livelihood assistance,住宅扶助 Housing assistance,教育扶助 Education assistance,介護扶助 LTC assistance,医療扶助 Medical assistance,出産扶助 Maternity assistance,生業扶助 Occupational assistance,葬祭扶助 Funeral assistance,被保護人員数 Persons assisted(人 persons)
平成26,2014,2,13212,日野市,Hino-shi,1658,1502,1456,95,321,1562,-,59,5,2222
平成26,2014,2,13213,東村山市,Higashimurayama-shi,2483,2158,2123,165,391,1828,-,97,6,3396
平成26,2014,2,13214,国分寺市,Kokubunji-shi,873,778,752,25,133,640,-,16,2,1065
平成26,2014,2,13215,国立市,Kunitachi-shi,803,716,727,33,112,714,-,14,1,1021
平成26,2014,2,13218,福生市,Fussa-shi,857,755,771,39,161,768,-,27,1,1118
平成26,2014,2,13219,狛江市,Komae-shi,858,751,773,27,168,793,-,15,2,1046
平成26,2014,2,13220,東大和市,Higashiyamato-shi,1232,1083,1097,102,218,1069,0,43,2,1808
平成26,2014,2,13221,清瀬市,Kiyose-shi,1548,1398,1401,96,291,1424,0,46,4,2174
平成26,2014,2,13222,東久留米市,Higashikurume-shi,1603,1429,1468,134,266,1213,0,64,2,2295
平成26,2014,2,13223,武蔵村山市,Musashimurayama-shi,1192,1057,1070,89,198,1028,-,30,3,1753
平成26,2014,2,13224,多摩市,Tama-shi,1813,1578,1619,153,252,1601,0,75,4,2607
平成26,2014,2,13225,稲城市,Inagi-shi,875,744,765,57,139,664,0,41,2,1260
平成26,2014,2,13227,羽村市,Hamura-shi,546,458,479,32,66,482,-,24,1,743
平成26,2014,2,13228,あきる野市,Akiruno-shi,667,543,555,57,101,599,0,28,1,980
平成26,2014,2,13229,西東京市,Nishitokyo-shi,2880,2563,2607,194,446,2563,0,112,4,4010
平成26,2014,1,13300,郡部,All gun,706,565,524,55,131,623,-,31,0,1065
平成26,2014,1,13350,島部,All islands,435,358,246,11,115,394,-,8,1,533
,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　18  社会保障 18  SOCIAL SECURITY,,,,,,,,,,,,,,,
18-2  地域別被保護世帯数（平成22～26年度 年度平均） 18-2  HOUSEHOLDS ASSISTED BY DISTRICT ( Annual Averages of Fiscal Years 2010-2014 ),,,,,,,,,,,,,,,
この数字は各地区別に平均し，集計した数字なので総数とは必ずしも一致しない。,,,,,,,,,,,,,,,
Figures are averaged by district and so may not add up to the totals provided.,,,,,,,,,,,,,,,
注 1) 「被保護世帯数」には保護停止中の世帯，「被保護人員数」には保護停止中の人員を含む。,,,,,,,,,,,,,,,
"Note: 1) The numbers of ""Households assisted"" and ""Persons assisted"" include households／persons for whom welfare benefits are currently discontinued.",,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG ,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,
（単位　世帯）(Value in households),,,,,,,,,,,,,,,
