年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成27,2015,2,13117,17,北区,Kita-ku,4087,12,126,3087,-,89,105,42,189,221,216,32,309,618,340,318,591,557,641,396
平成27,2015,2,13118,18,荒川区,Arakawa-ku,2376,14,20,1697,3,65,95,34,130,232,86,18,177,365,215,200,333,384,496,230
平成27,2015,2,13119,19,板橋区,Itabashi-ku,4811,4,59,3513,1,112,157,72,251,258,384,38,539,933,529,502,872,757,876,173
平成27,2015,2,13120,20,練馬区,Nerima-ku,4660,4,159,3202,-,120,177,83,277,250,388,56,334,868,564,543,844,596,808,460
平成27,2015,2,13121,21,足立区,Adachi-ku,6256,36,18,4303,-,151,219,78,335,656,460,44,482,1086,672,697,1192,885,1244,214
平成27,2015,2,13122,22,葛飾区,Katsushika-ku,4676,12,153,3112,-,108,182,50,252,498,309,36,263,710,439,417,682,994,755,502
平成27,2015,2,13123,23,江戸川区,Edogawa-ku,6014,32,282,4125,-,155,150,44,312,244,670,39,326,961,647,646,961,780,987,481
平成27,2015,1,13200,,市部,All shi,33177,245,1008,22735,-,848,934,392,1588,1512,3915,495,3932,6547,3380,3304,6414,6766,7246,5199
平成27,2015,2,13201,1,八王子市,Hachioji-shi,4908,46,234,3277,-,128,118,39,170,140,756,63,611,920,467,474,927,851,1020,677
平成27,2015,2,13202,2,立川市,Tachikawa-shi,2524,30,147,1700,-,41,56,15,106,100,329,36,285,382,203,200,379,370,576,348
平成27,2015,2,13203,3,武蔵野市,Musashino-shi,2380,8,123,1785,-,54,45,18,82,105,160,54,231,307,148,146,341,475,511,225
平成27,2015,2,13204,4,三鷹市,Mitaka-shi,1087,2,18,758,-,47,41,17,51,46,107,21,148,272,143,136,263,317,334,151
平成27,2015,2,13205,5,青梅市,Ome-shi,1484,46,10,729,-,38,44,18,37,63,499,20,165,253,126,128,294,140,203,60
平成27,2015,2,13206,6,府中市,Fuchu-shi,2151,16,55,1384,-,50,66,28,74,96,382,30,384,518,214,230,473,450,412,381
平成27,2015,2,13207,7,昭島市,Akishima-shi,918,9,10,673,-,31,24,13,47,44,67,14,178,206,101,109,194,184,268,175
平成27,2015,2,13208,8,調布市,Chofu-shi,1687,3,24,1254,-,50,66,17,92,58,123,27,167,321,192,183,344,474,236,311
平成27,2015,2,13209,9,町田市,Machida-shi,2974,23,121,1915,-,68,78,29,182,206,352,33,279,682,342,327,618,626,866,663
平成27,2015,2,13210,10,小金井市,Koganei-shi,790,2,9,585,-,20,23,11,41,41,58,16,66,143,89,80,167,214,207,191
平成27,2015,2,13211,11,小平市,Kodaira-shi,1140,3,6,758,-,34,41,18,75,64,141,12,160,302,146,140,246,310,181,450
平成27,2015,2,13212,12,日野市,Hino-shi,1058,1,6,661,-,23,33,23,69,39,203,9,158,224,113,117,222,176,195,92
平成27,2015,2,13213,13,東村山市,Higashimurayama-shi,1109,9,31,775,-,38,39,12,59,48,98,12,90,201,102,107,177,136,179,113
平成27,2015,2,13214,14,国分寺市,Kokubunji-shi,1027,4,29,791,-,23,27,9,47,32,65,17,68,161,79,71,155,189,102,162
平成27,2015,2,13215,15,国立市,Kunitachi-shi,625,5,3,482,-,10,22,8,27,35,33,11,65,115,67,61,103,107,157,107
平成27,2015,2,13218,16,福生市,Fussa-shi,827,2,55,670,-,17,12,4,23,22,22,3,42,90,57,54,89,84,152,42
平成27,2015,2,13219,17,狛江市,Komae-shi,432,1,3,300,-,13,17,13,24,29,32,4,35,90,59,51,81,250,108,131
平成27,2015,2,13220,18,東大和市,Higashiyamato-shi,560,4,13,384,-,15,22,7,45,38,32,10,47,119,70,62,113,80,109,46
平成27,2015,2,13221,19,清瀬市,Kiyose-shi,466,-,6,317,-,13,13,11,30,30,46,7,51,125,59,54,111,73,90,54
平成27,2015,2,13222,20,東久留米市,Higashikurume-shi,639,-,3,411,-,28,21,11,50,51,64,10,90,169,100,104,184,117,150,98
平成27,2015,2,13223,21,武蔵村山市,Musashimurayama-shi,438,3,2,308,-,14,21,15,29,25,21,8,78,117,71,65,117,73,104,71
平成27,2015,2,13224,22,多摩市,Tama-shi,1007,10,23,707,-,23,21,14,67,55,87,25,170,236,106,103,237,169,187,88
平成27,2015,2,13225,23,稲城市,Inagi-shi,389,-,1,274,-,5,15,7,30,26,31,17,52,112,60,57,107,61,70,32
平成27,2015,2,13227,24,羽村市,Hamura-shi,702,1,43,535,-,18,11,6,24,25,39,6,132,112,61,58,98,75,139,40
平成27,2015,2,13228,25,あきる野市,Akiruno-shi,526,14,-,361,-,17,21,11,34,38,30,14,65,127,68,57,132,111,142,28
平成27,2015,2,13229,26,西東京市,Nishitokyo-shi,1329,3,33,941,-,30,37,18,73,56,138,16,115,243,137,130,242,654,548,463
平成27,2015,1,13300,,郡部,All gun,547,42,-,366,-,11,22,8,17,32,49,10,80,145,79,67,187,221,367,71
平成27,2015,1,13500,,島部,All islands,1112,430,11,470,-,18,15,5,57,52,54,17,4,134,88,111,181,170,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成23～平成27年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2011-2015 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
