年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,マーク Mark,人口 (A) Population,総数 Total／施設数 Facilities,総数 Total／計画給水人口 Population planned to be served 3),総数 Total／現在給水人口 (B) Population currently served,総数 Total／給水量（専用水道を除く）Water supplied  (Excluding private waterworks) (1，000m3),上水道 Waterworks／施設数 Facilities,上水道 Waterworks／計画給水人口 Population planned to be served,上水道 Waterworks／現在給水人口 Population currently served,上水道 Waterworks／給水量 Water supplied 4) (1，000m3),簡易水道 Small-scale waterworks／施設数 Facilities,簡易水道 Small-scale waterworks／計画給水人口 Population planned to be served,簡易水道 Small-scale waterworks／現在給水人口 Population currently served,簡易水道 Small-scale waterworks／給水量 Water supplied 4) (1，000m3),専用水道 Private waterworks 2)／施設数 Facilities,専用水道 Private waterworks 2)／確認時給水人口 Population noted in the application,専用水道 Private waterworks 2)／現在給水人口 Population currently served,普及率 (B／A) Coverage rate (%) 
平成27,2015,2,13207,7,昭島市,Akishima-shi,,112906,4,123518,112904,12529,1,120800,112904,12529,-,-,-,-,3,2718,-,100
平成27,2015,2,13208,8,調布市,Chofu-shi,※,230561,5,13444,230561,-,-,-,230434,-,-,-,-,-,5,13444,127,100
平成27,2015,2,13209,9,町田市,Machida-shi,※,432697,3,-,432678,-,-,-,432678,-,-,-,-,-,3,-,-,100
平成27,2015,2,13210,10,小金井市,Koganei-shi,※,122085,3,13016,122085,-,-,-,122004,-,-,-,-,-,3,13016,81,100
平成27,2015,2,13211,11,小平市,Kodaira-shi,※,190382,8,8690,190382,-,-,-,188443,-,-,-,-,-,8,8690,1939,100
平成27,2015,2,13212,12,日野市,Hino-shi,※,186704,9,599,186704,-,-,-,186196,-,-,-,-,-,9,599,508,100
平成27,2015,2,13213,13,東村山市,Higashimurayama-shi,※,150126,5,1948,150126,-,-,-,149553,-,-,-,-,-,5,1948,573,100
平成27,2015,2,13214,14,国分寺市,Kokubunji-shi,※,123120,3,10050,123120,-,-,-,123120,-,-,-,-,-,3,10050,-,100
平成27,2015,2,13215,15,国立市,Kunitachi-shi,※,73560,4,8937,73560,-,-,-,73560,-,-,-,-,-,4,8937,-,100
平成27,2015,2,13218,16,福生市,Fussa-shi,※,58661,2,-,58661,-,-,-,58661,-,-,-,-,-,2,-,-,100
平成27,2015,2,13219,17,狛江市,Komae-shi,※,80816,-,-,80816,-,-,-,80816,-,-,-,-,-,-,-,-,100
平成27,2015,2,13220,18,東大和市,Higashiyamato-shi,※,85000,-,-,85000,-,-,-,85000,-,-,-,-,-,-,-,-,100
平成27,2015,2,13221,19,清瀬市,Kiyose-shi,※,75046,5,3705,75046,-,-,-,75041,-,-,-,-,-,5,3705,5,100
平成27,2015,2,13222,20,東久留米市,Higashikurume-shi,※,116619,2,2000,116619,-,-,-,116093,-,-,-,-,-,2,2000,526,100
平成27,2015,2,13223,21,武蔵村山市,Musashimurayama-shi,※,71366,2,1059,71366,-,-,-,71366,-,-,-,-,-,2,1059,-,100
平成27,2015,2,13224,22,多摩市,Tama-shi,※,147118,3,1600,147118,-,-,-,145224,-,-,-,-,-,3,1600,1894,100
平成27,2015,2,13225,23,稲城市,Inagi-shi,※,88147,-,-,88147,-,-,-,88147,-,-,-,-,-,-,-,-,100
平成27,2015,2,13227,24,羽村市,Hamura-shi,,56281,2,60000,56178,6530,1,60000,56178,6530,-,-,-,-,1,-,-,99.82
平成27,2015,2,13228,25,あきる野市,Akiruno-shi,※,80857,2,-,80857,-,-,-,80857,-,-,-,-,-,2,-,-,100
平成27,2015,2,13229,26,西東京市,Nishitokyo-shi,※,200251,1,7000,200251,-,-,-,200251,-,-,-,-,-,1,7000,-,100
平成27,2015,1,13300,,郡部,All gun,,58286,4,3400,58125,345,-,-,55901,-,1,3400,2224,345,3,-,-,99.72
平成27,2015,2,13303,1,瑞穂町,Mizuho-machi,※,33408,1,-,33408,-,-,-,33408,-,-,-,-,-,1,-,-,100
平成27,2015,2,13305,2,日の出町,Hinode-machi,※,17357,-,-,17357,-,-,-,17357,-,-,-,-,-,-,-,-,100
平成27,2015,2,13307,3,檜原村,Hinohara-mura,,2323,2,3400,2224,345,-,-,-,-,1,3400,2224,345,1,-,-,95.74
平成27,2015,2,13308,4,奥多摩町,Okutama-machi,※,5198,1,-,5136,-,-,-,5136,-,-,-,-,-,1,-,-,98.81
平成27,2015,1,13350,,島部,All islands,,26057,12,35460,25966,4421,2,15750,11569,2180,9,19710,14397,2241,1,-,-,99.65
平成27,2015,2,13361,1,大島町,Oshima-machi,,7928,2,10650,7921,1296,1,6450,5437,898,1,4200,2484,398,-,-,-,99.91
平成27,2015,2,13362,2,利島村,Toshima-mura,,306,1,350,306,45,-,-,-,-,1,350,306,45,-,-,-,100
平成27,2015,2,13363,3,新島村,Niijima-mura,,2779,1,2830,2741,390,-,-,-,-,1,2830,2741,390,-,-,-,98.63
平成27,2015,2,13364,4,神津島村,Kozushima-mura,,1870,1,2150,1866,349,-,-,-,-,1,2150,1866,349,-,-,-,99.79
平成27,2015,2,13381,5,三宅村,Miyake-mura,,2535,1,3920,2535,362,-,-,-,-,1,3920,2535,362,-,-,-,100
平成27,2015,2,13382,6,御蔵島村,Mikurajima-mura,,302,1,500,302,55,-,-,-,-,1,500,302,55,-,-,-,100
平成27,2015,2,13401,7,八丈町,Hachijo-machi,,7659,2,11930,7622,1592,1,9300,6132,1282,1,2630,1490,310,-,-,-,99.52
平成27,2015,2,13402,8,青ヶ島村,Aogashima-mura,,152,1,300,152,30,-,-,-,-,1,300,152,30,-,-,-,100
平成27,2015,2,13421,9,小笠原村,Ogasawara-mura,,2526,2,2830,2521,302,-,-,-,-,1,2830,2521,302,1,-,-,99.8
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015)　6  電気・上下水道 6  ELECTRICITY， WATERWORKS， AND SEWERAGE,,,,,,,,,,,,,,,,,,,,,,,,
6-４  地域別水道の普及状況（平成23～平成27年度末） 6-４  ＷATER SUPPLY BY DISTRICT ( End of Fiscal Years 2011-2015),,,,,,,,,,,,,,,,,,,,,,,,
注 1) ※印を付した市町の上水道の施設数・計画給水人口及び給水量については，東京都水道局が経営しているため区部に含めた。,,,,,,,,,,,,,,,,,,,,,,,,
2) 専用水道は自己水源によるもののみである。 ,,,,,,,,,,,,,,,,,,,,,,,,
3) 「給水量」は有効水量と無効水量を合わせた配水量である。,,,,,,,,,,,,,,,,,,,,,,,,
4) 総数の計画給水人口には，専用水道の確認時給水人口を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Shi and machi marked with ※ are included in the total for all ku because their waterworks are operated by the Bureau of Waterworks， TMG.,,,,,,,,,,,,,,,,,,,,,,,,
2) “Private waterworks” are only those that have their own water sources．,,,,,,,,,,,,,,,,,,,,,,,,
3) Total population planned to be served includes the population to be served noted in the application for private waterworks. ,,,,,,,,,,,,,,,,,,,,,,,,
4)  “Water supply” is the total water， both revenue and non-revenue water， provided.,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局健康安全部環境保健衛生課 Source: Bureau of Social Welfare and Public Health， TMG               ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
