年次,Year,月次,Month,出生 Livebirths／計 Total,出生 Livebirths／男 Male,出生 Livebirths／女 Female,死亡 Deaths／計 Total,死亡 Deaths／男 Male,死亡 Deaths／女 Female,自然増減 Natural change／計 Total,自然増減 Natural change／男 Male,自然増減 Natural change／女 Female,(再掲）乳児死亡  (relisted) Infant deaths／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／女 Female,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡  (of which) Deaths of the newborn babies (under 4 weeks)／計 Total,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／男 Male,(再掲)乳児死亡  (relisted) Infant deaths／(うち)新生児(生後4週未満)死亡 (of which) Deaths of the newborn babies (under 4 weeks)／女 Female,死産 Foetal deaths／計 Total,死産 Foetal deaths／自然 Spontaneous,死産 Foetal deaths／人工 Artificial,婚姻 Marriages,離婚 Divorces
平成7,1995,総数,Total,96823,49648,47175,78651,43286,35365,18172,6362,11810,423,226,197,219,124,95,3189,1745,1444,84286,21548
平成8,1996,総数,Total,97954,50423,47531,77356,42696,34660,20598,7727,12871,368,205,163,190,105,85,3190,1686,1504,84007,22273
平成9,1997,総数,Total,97906,50282,47624,78744,43548,35196,19162,6734,12428,384,205,179,196,106,90,3131,1516,1615,81002,23690
平成10,1998,総数,Total,98960,50948,48012,80793,44653,36140,18167,6295,11872,358,204,154,195,116,79,3107,1483,1624,82589,25685
平成11,1999,総数,Total,97959,50396,47563,85427,46950,38477,12532,3446,9086,325,191,134,175,102,73,3143,1550,1593,81287,26375
平成12,2000,総数,Total,100209,51487,48722,83849,46409,37440,16360,5078,11282,354,195,159,200,110,90,2995,1364,1631,87360,27032
平成13,2001,総数,Total,98421,50546,47875,84586,46661,37925,13835,3885,9950,298,164,134,159,82,77,2907,1389,1518,88538,28593
平成14,2002,総数,Total,100118,51619,48499,85162,46936,38226,14956,4683,10273,295,155,140,169,85,84,2908,1361,1547,84623,28780
平成15,2003,総数,Total,98534,50804,47730,87500,48128,39372,11034,2676,8358,293,156,137,139,67,72,2938,1295,1643,84755,28211
平成16,2004,総数,Total,99272,50793,48479,88767,48465,40302,10505,2328,8177,260,150,110,122,72,50,2923,1325,1598,84618,27123
平成17,2005,総数,Total,96542,49603,46939,93599,51265,42334,2943,-1662,4605,257,148,109,129,71,58,2839,1293,1546,85382,26984
平成18,2006,総数,Total,101674,52391,49283,93596,50908,42688,8078,1483,6595,290,156,134,154,79,75,2782,1247,1535,89413,26347
平成19,2007,総数,Total,103837,53564,50273,96354,52202,44152,7483,1362,6121,278,165,113,146,82,64,2621,1201,1420,89243,26627
平成20,2008,総数,Total,106015,54348,51667,98248,53289,44959,7767,1059,6708,261,122,139,119,57,62,2724,1218,1506,91196,26300
平成21,2009,総数,Total,106613,54736,51877,98304,53549,44755,8309,1187,7122,246,135,111,119,61,58,2482,1118,1364,91028,26803
平成22,2010,総数,Total,108135,55420,52715,104238,56443,47795,3897,-1023,4920,212,114,98,95,51,44,2587,1143,1444,91197,26335
平成23,2011,総数,Total,106027,54333,51694,105723,56613,49110,304,-2280,2584,216,112,104,98,50,48,2484,1140,1344,86888,24927
平成24,2012,総数,Total,107401,54985,52416,109194,58203,50991,-1793,-3218,1425,236,129,107,117,70,47,2325,1103,1222,89301,25329
平成25,2013,総数,Total,109986,56267,53719,110507,58810,51697,-521,-2543,2022,215,112,103,96,49,47,2441,1131,1310,88067,24855
平成26,2014,総数,Total,110629,56541,54088,111024,58865,52158,-395,-2324,1930,205,116,89,89,58,31,2460,1135,1325,87000,23653
平成27,2015,総数,Total,113194,58192,55002,111673,59164,52509,1521,-972,2493,189,101,88,89,47,42,2406,1143,1263,87169,24135
平成27,2015,1,Jan.,9431,4912,4519,11659,6219,5440,-2228,-1307,-921,15,10,5,6,5,1,184,82,102,6355,1968
平成27,2015,2,Feb.,8297,4265,4032,9464,4988,4476,-1167,-723,-444,15,12,3,8,5,3,193,94,99,6261,1864
平成27,2015,3,Mar.,9030,4630,4400,9592,5058,4534,-562,-428,-134,14,6,8,4,3,1,210,100,110,9261,2545
平成27,2015,4,Apr.,9297,4804,4493,8919,4766,4153,378,38,340,17,4,13,11,4,7,206,97,109,6320,2110
平成27,2015,5,May,9555,4954,4601,8730,4690,4040,825,264,561,13,7,6,8,3,5,209,101,108,7983,1800
平成27,2015,6,June,9500,4855,4645,8041,4267,3774,1459,588,871,17,9,8,8,6,2,223,94,129,5879,2137
平成27,2015,7,July,9931,5086,4845,8856,4685,4171,1075,401,674,23,10,13,9,5,4,198,100,98,8215,1974
平成27,2015,8,Aug. ,9749,4971,4778,8943,4779,4164,806,192,614,14,5,9,7,2,5,195,102,93,7385,1857
平成27,2015,9,Sept.,9663,4945,4718,8443,4450,3993,1220,495,725,13,5,8,6,2,4,190,91,99,5894,1893
平成27,2015,10,Oct.,10004,5146,4858,9477,5039,4438,527,107,420,16,13,3,9,8,1,220,106,114,6570,1986
平成27,2015,11,Nov.,9183,4707,4476,9341,4858,4483,-158,-151,-7,15,7,8,7,1,6,163,73,90,8893,1803
平成27,2015,12,Dec.,9554,4917,4637,10208,5365,4843,-654,-448,-206,17,13,4,6,3,3,215,103,112,8151,2198
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,,,,,,,,,,,,
2-7  人口動態  (2) 年，月別及び男女別（昭和60～平成27年）  2-7  VITAL STATISTICS  (2) BY YEAR， MONTH， AND GENDER ( 1985-2015 ) ,,,,,,,,,,,,,,,,,,,,,,,
注) 厚生労働省が平成16・18・21～29年の都道府県からの報告漏れ（平成31年３月29日公表）による再集計を行ったことにより，数値を修正した。ただし、月次の数値については，再集計の結果が反映されていないため，計と月次の合計は合致しない。,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for 2004， 2006， and 2009-2017 have been revised to reflect retabulation by the Ministry of Labour， Health and Welfare (announced March 29， 2019)， which was carried out due to omissions in reporting by the prefectures. ,,,,,,,,,,,,,,,,,,,,,,,
 However， the monthliy categories do not reflect this retablulation. Therefore， the total does not match the sum of these categories.,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,
