年末,End of year,地域階層,地域コード,項番 Item number,地域,District,医師数 Physicians／総数 Total,医師数 Physicians／医療施設の従事者 Medical institution personnel,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院の開設者又は法人の代表者 Hospital founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／病院(医育機関附属の病院を除く)の勤務者 Hospital employees (excluding university hospitals),医師数 Physicians／医療施設の従事者 Medical institution personnel／医育機関附属の病院の勤務者 University hospital employees,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の開設者又は法人の代表者 Clinic founder or president,医師数 Physicians／医療施設の従事者 Medical institution personnel／診療所の勤務者 Clinic employee,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の開設者又は法人の代表者 Long-term care health facility founder or president,医師数 Physicians／介護老人保健施設の従事者 Long-term care health facility personnel／介護老人保健施設の勤務者 Long-term care health facility employee,医師数 Physicians／医療施設・介護老人保健施設以外の従事者 Personnel other than those in medical institutions， long-term care health facilities.,医師数 Physicians／その他 Others,医師数 Physicians／不詳／Unknown,歯科医師 Dentist,看護師 Nurse,准看護師 Assistant nurses,薬剤師 Pharmacist,人口10万人あたりの医師数 The number of physicians per population of 100000
平成26,2014,2,13113,13,渋谷区,Shibuya-ku,1331,1271,7,626,42,383,213,3,-,3,22,35,-,482,2834,180,1465,620.5
平成26,2014,2,13114,14,中野区,Nakano-ku,654,616,8,231,-,272,105,1,-,1,19,18,-,336,1362,193,727,204.8
平成26,2014,2,13115,15,杉並区,Suginami-ku,941,893,9,382,-,350,152,1,-,1,11,36,-,594,2104,222,1083,168.7
平成26,2014,2,13116,16,豊島区,Toshima-ku,780,732,12,179,-,334,207,3,-,3,26,19,-,405,1558,262,1174,265.6
平成26,2014,2,13117,17,北区,Kita-ku,584,568,7,257,-,197,107,1,-,1,4,11,-,322,1858,348,992,172.7
平成26,2014,2,13118,18,荒川区,Arakawa-ku,532,517,10,52,262,135,58,3,1,2,6,6,-,194,1269,283,478,256.9
平成26,2014,2,13119,19,板橋区,Itabashi-ku,2440,2348,22,711,1184,297,134,9,1,8,71,12,-,440,5913,1045,1512,449.8
平成26,2014,2,13120,20,練馬区,Nerima-ku,1058,1022,13,221,221,416,151,9,2,7,7,20,-,584,2382,477,1322,146.4
平成26,2014,2,13121,21,足立区,Adachi-ku,886,864,28,351,-,286,199,12,2,10,9,1,-,499,3164,1247,1214,128.5
平成26,2014,2,13122,22,葛飾区,Katsushika-ku,773,760,13,196,165,246,140,2,1,1,5,6,-,340,1819,509,880,174.6
平成26,2014,2,13123,23,江戸川区,Edogawa-ku,838,820,16,332,-,297,175,5,-,5,2,11,-,490,2280,834,1210,123.5
平成26,2014,1,13200,,市部,All shi,8648,8248,113,3735,1269,2075,1056,86,12,74,245,69,-,3095,28672,5679,9836,208.3
平成26,2014,2,13201,1,八王子市,Hachioji-shi,1149,1093,19,322,331,264,157,7,-,7,42,7,-,386,3922,1126,1490,198.2
平成26,2014,2,13202,2,立川市,Tachikawa-shi,540,526,4,345,-,97,80,5,2,3,7,2,-,178,1746,179,485,299.6
平成26,2014,2,13203,3,武蔵野市,Musashino-shi,510,501,4,268,-,157,72,2,-,2,2,5,-,202,1270,135,505,357.8
平成26,2014,2,13204,4,三鷹市,Mitaka-shi,923,879,3,118,627,104,27,8,2,6,28,8,-,146,2351,154,456,490.9
平成26,2014,2,13205,5,青梅市,Ome-shi,324,316,8,238,-,47,23,2,-,2,6,-,-,90,1364,584,265,237.1
平成26,2014,2,13206,6,府中市,Fuchu-shi,939,917,10,698,-,126,83,6,-,6,14,2,-,196,3089,242,869,362.4
平成26,2014,2,13207,7,昭島市,Akishima-shi,152,147,4,90,-,36,17,5,2,3,-,-,-,97,634,137,206,136.6
平成26,2014,2,13208,8,調布市,Chofu-shi,299,281,7,79,-,139,56,5,-,5,10,3,-,206,925,214,482,132
平成26,2014,2,13209,9,町田市,Machida-shi,584,561,13,245,-,216,87,5,1,4,9,9,-,296,2269,584,942,136.2
平成26,2014,2,13210,10,小金井市,Koganei-shi,150,143,2,58,-,58,25,2,-,2,2,3,-,92,564,127,217,124.2
平成26,2014,2,13211,11,小平市,Kodaira-shi,503,417,-,293,-,87,37,4,2,2,75,7,-,130,1561,291,392,265.2
平成26,2014,2,13212,12,日野市,Hino-shi,230,215,4,86,-,83,42,5,-,5,7,3,-,98,672,183,360,125.7
平成26,2014,2,13213,13,東村山市,Higashimurayama-shi,273,256,6,159,-,69,22,9,1,8,4,4,-,103,1160,287,370,179.8
平成26,2014,2,13214,14,国分寺市,Kokubunji-shi,130,127,2,7,-,87,31,1,-,1,-,2,-,100,258,94,232,106.3
平成26,2014,2,13215,15,国立市,Kunitachi-shi,95,88,2,7,-,63,16,4,-,4,1,2,-,90,219,51,186,126
平成26,2014,2,13218,16,福生市,Fussa-shi,122,120,4,68,-,29,19,1,1,-,1,-,-,36,424,104,149,209.4
平成26,2014,2,13219,17,狛江市,Komae-shi,250,249,1,14,182,39,13,-,-,-,-,1,-,50,629,33,183,310.5
平成26,2014,2,13220,18,東大和市,Higashiyamato-shi,125,124,1,69,-,35,19,1,-,1,-,-,-,49,565,80,176,146.7
平成26,2014,2,13221,19,清瀬市,Kiyose-shi,253,240,6,137,-,31,66,6,1,5,5,2,-,54,906,223,315,340.2
平成26,2014,2,13222,20,東久留米市,Higashikurume-shi,72,70,2,17,-,41,10,-,-,-,-,2,-,66,267,101,201,62
平成26,2014,2,13223,21,武蔵村山市,Musashimurayama-shi,107,96,1,70,-,17,8,1,-,1,9,1,-,35,602,88,136,151.7
平成26,2014,2,13224,22,多摩市,Tama-shi,411,391,4,123,129,77,58,1,-,1,19,-,-,104,1400,224,407,278.4
平成26,2014,2,13225,23,稲城市,Inagi-shi,120,118,-,75,-,30,13,-,-,-,-,2,-,44,452,76,155,138.4
平成26,2014,2,13227,24,羽村市,Hamura-shi,48,46,-,6,-,19,21,-,-,-,2,-,-,61,148,61,69,85.9
平成26,2014,2,13228,25,あきる野市,Akiruno-shi,108,107,4,53,-,26,24,1,-,1,-,-,-,50,459,102,119,133.6
平成26,2014,2,13229,26,西東京市,Nishitokyo-shi,231,220,2,90,-,98,30,5,-,5,2,4,-,136,816,199,469,115.9
平成26,2014,1,13300,,郡部,All gun,44,38,2,17,-,12,7,4,-,4,2,-,-,28,244,152,50,76.2
平成26,2014,2,13303,1,瑞穂町,Mizuho-machi,19,14,1,3,-,7,3,3,-,3,2,-,-,14,85,65,23,57.5
平成26,2014,2,13305,2,日の出町,Hinode-machi,17,16,1,11,-,3,1,1,-,1,-,-,-,11,136,71,22,99.4
平成26,2014,2,13307,3,檜原村,Hinohara-mura,2,2,-,-,-,-,2,-,-,-,-,-,-,1,2,7,-,89
平成26,2014,2,13308,4,奥多摩町,Okutama-machi,6,6,-,3,-,2,1,-,-,-,-,-,-,2,21,9,5,112.2
平成26,2014,1,13350,,島部,All islands,33,30,-,6,-,5,19,-,-,-,3,-,-,18,138,29,23,123.9
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
19-2 地域別医療従事者数 (平成16～26年末) 19-2  MEDICAL PERSONNEL BY DISTRICT ( End of 2004-2014 ）,,,,,,,,,,,,,,,,,,,,,,,,
この表は医師法，歯科医師法，保健師助産師看護師法による届出により集計したものであり，就業地による。 ,,,,,,,,,,,,,,,,,,,,,,,,
The table tabulates figures reported under the Medical Practitioners Act， Dental Practitioners Act， Act on Public Health Nurses， Midwives and Nurses， and is compiled by workplace. ,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課「医師・歯科医師・薬剤師調査東京都集計結果報告」，医療政策部医療人材課「看護師等業務従事者届集計報告」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,,,,,
