年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,議会費 Assemblies,総務費 General services,民生費 Social welfare,衛生費 Sanitation,労働費 Labor,農林水産業費 Agriculture， forestry and fisheries,商工費 Commerce and industry,土木費 Civil engineering works,消防費 Fire fighting,教育費 Education,災害復旧費 Disaster restoration,公債費 Debt services,諸支出金 Miscellaneous
平成27,2015,13363,3,新島村,Niijima-mura,4497,55,731,604,262,59,354,269,530,84,1272,-,277,-
平成27,2015,13364,4,神津島村,Kozushima-mura,2747,42,491,497,519,65,221,188,276,72,285,-,92,-
平成27,2015,13381,5,三宅村,Miyake-mura,4448,54,1136,491,534,48,260,269,328,793,306,19,173,38
平成27,2015,13382,6,御蔵島村,Mikurajima-mura,1422,18,710,95,145,-,55,96,163,22,69,-,48,-
平成27,2015,13401,7,八丈町,Hachijo-machi,7525,100,939,1531,1227,150,330,213,882,758,541,23,769,62
平成27,2015,13402,8,青ヶ島村,Aogashima-mura,1043,16,556,63,36,-,104,36,82,40,71,-,39,1
平成27,2015,13421,9,小笠原村,Ogasawara-mura,4490,68,1091,707,966,-,301,163,263,52,338,-,541,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,   ,
21-6  市町村普通会計決算額 (2) 歳出 (平成25～平成27年度) 21-6  SETTLEMENTS OF THE ORDINARY ACCOUNTS OF SHI， MACHI， AND MURA (2) EXPENDITURE ( Fiscal Years 2013-2015 ),,,,,,,,,,,,,,,,,,,
資料：都総務局行政部市町村課「市町村決算状況調査結果」Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,
