年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成27,2015,2,13201,1,八王子市,Hachioji-shi,185,106,23,-,-,56,8,4,75,1104,-,4,20,144485
平成27,2015,2,13202,2,立川市,Tachikawa-shi,60,36,2,-,-,22,3,3,22,457,-,1,13,53695
平成27,2015,2,13203,3,武蔵野市,Musashino-shi,45,34,3,-,-,8,-,-,23,23,-,-,8,4074
平成27,2015,2,13204,4,三鷹市,Mitaka-shi,46,34,3,-,-,9,4,5,33,759,-,2,10,39459
平成27,2015,2,13205,5,青梅市,Ome-shi,40,11,5,-,3,21,3,-,5,160,21,1,5,8574
平成27,2015,2,13206,6,府中市,Fuchu-shi,78,39,11,-,-,28,2,2,28,211,-,1,14,30088
平成27,2015,2,13207,7,昭島市,Akishima-shi,31,15,3,-,-,13,1,1,15,129,-,-,3,18054
平成27,2015,2,13208,8,調布市,Chofu-shi,66,42,6,-,-,18,5,3,34,384,-,5,18,74730
平成27,2015,2,13209,9,町田市,Machida-shi,110,67,6,-,-,37,2,5,35,899,-,3,15,111439
平成27,2015,2,13210,10,小金井市,Koganei-shi,22,14,-,-,-,8,-,-,7,28,-,-,4,2505
平成27,2015,2,13211,11,小平市,Kodaira-shi,49,29,5,-,-,15,3,4,35,378,-,-,10,30920
平成27,2015,2,13212,12,日野市,Hino-shi ,43,23,1,-,-,19,2,4,18,115,-,1,5,21484
平成27,2015,2,13213,13,東村山市,Higashimurayama-shi,46,25,5,-,-,16,2,1,29,197,-,-,7,42831
平成27,2015,2,13214,14,国分寺市,Kokubunji-shi,33,18,1,-,-,14,-,1,2,52,-,1,5,12235
平成27,2015,2,13215,15,国立市,Kunitachi-shi,19,11,3,-,-,5,-,1,3,162,-,-,5,15176
平成27,2015,2,13218,16,福生市,Fussa-shi,13,7,1,-,-,5,-,1,4,31,-,-,5,6207
平成27,2015,2,13219,17,狛江市,Komae-shi,20,10,2,-,-,8,-,-,10,18,-,1,-,2596
平成27,2015,2,13220,18,東大和市,Higashiyamato-shi,34,13,2,-,-,19,1,-,13,15,-,1,4,3976
平成27,2015,2,13221,19,清瀬市,Kiyose-shi,19,10,3,-,-,6,-,-,5,-,-,-,3,601
平成27,2015,2,13222,20,東久留米市,Higashikurume-shi,24,17,1,-,-,6,2,-,21,57,-,1,3,13832
平成27,2015,2,13223,21,武蔵村山市,Musashimurayama-shi,25,14,2,-,-,9,-,1,8,30,-,1,4,11869
平成27,2015,2,13224,22,多摩市,Tama-shi,31,20,3,-,-,8,2,3,17,145,-,2,7,19698
平成27,2015,2,13225,23,稲城市,Inagi-shi,30,7,1,-,-,22,1,2,6,83,-,1,2,14549
平成27,2015,2,13227,24,羽村市,Hamura-shi,31,20,3,-,-,8,1,1,10,110,-,-,6,48716
平成27,2015,2,13228,25,あきる野市,Akiruno-shi,24,9,1,-,-,14,1,-,4,127,-,-,2,4335
平成27,2015,2,13229,26,西東京市,Nishitokyo-shi,55,32,14,-,-,9,-,3,29,187,-,-,12,28237
平成27,2015,1,13300,,郡部,All gun,32,17,1,-,-,14,6,-,3,464,-,-,13,37335
平成27,2015,2,13303,1,瑞穂町,Mizuho-machi,17,9,1,-,-,7,2,-,1,88,-,-,5,17015
平成27,2015,2,13305,2,日の出町,Hinode-machi ,8,3,-,-,-,5,-,-,-,-,-,-,6,-
平成27,2015,2,13307,3,檜原村,Hinohara-mura,2,-,-,-,-,2,-,-,-,-,-,-,1,-
平成27,2015,2,13308,4,奥多摩町,Okutama-machi,5,5,-,-,-,-,4,-,2,376,-,-,1,20320
平成27,2015,1,13350,,島部,All islands,14,9,1,1,1,2,4,-,1,340,76,3,2,23197
平成27,2015,2,13361,1,大島町,Oshima-machi,7,3,1,1,1,1,1,-,-,49,76,1,1,-
平成27,2015,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,13363,3,新島村,Niijima-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,13364,4,神津島村,Kozushima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,13381,5,三宅村,Miyake-mura ,2,2,-,-,-,-,2,-,-,146,-,2,-,4320
平成27,2015,2,13382,6,御蔵島村,Mikurajima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,13401,7,八丈町,Hachijo-machi,4,3,-,-,-,1,1,-,1,144,-,-,1,18777
平成27,2015,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成27,2015,2,13421,9,小笠原村,Ogasawara-mura ,1,1,-,-,-,-,-,-,-,1,-,-,-,100
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （平成26，27年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2014 and 2015 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
