年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1)
平成27,2015,2,13204,三鷹市,Mitaka-shi,,7198,3807,-,85,312,129,38,-,-,-,2827
平成27,2015,2,13205,青梅市,Ome-shi,,2178,405,-,16,-,749,-,-,-,1008,-
平成27,2015,2,13206,府中市,Fuchu-shi,,6719,4422,-,44,218,679,153,-,-,-,1203
平成27,2015,2,13207,昭島市,Akishima-shi,,6785,4156,-,16,89,20,13,-,-,991,1500
平成27,2015,2,13208,調布市,Chofu-shi,,8913,4528,-,82,274,274,16,-,-,670,3069
平成27,2015,2,13209,町田市,Machida-shi,,27476,8065,-,125,240,548,7,-,-,9830,8661
平成27,2015,2,13210,小金井市,Koganei-shi,,2810,654,-,-,275,179,20,-,-,1080,602
平成27,2015,2,13211,小平市,Kodaira-shi,,8237,5470,-,14,234,27,11,-,-,21,2460
平成27,2015,2,13212,日野市,Hino-shi,,9986,2898,-,8,157,651,19,12,17,906,5318
平成27,2015,2,13213,東村山市,Higashimurayama-shi,,8292,5686,-,35,101,91,-,-,-,622,1757
平成27,2015,2,13214,国分寺市,Kokubunji-shi,,2987,1687,-,3,421,20,13,-,-,-,843
平成27,2015,2,13215,国立市,Kunitachi-shi,,4901,2016,-,470,19,-,-,-,-,-,2396
平成27,2015,2,13218,福生市,Fussa-shi,,3612,757,-,2,24,326,5,-,-,1634,864
平成27,2015,2,13219,狛江市,Komae-shi,,2715,1801,-,-,70,45,3,-,-,786,10
平成27,2015,2,13220,東大和市,Higashiyamato-shi,,5207,3080,-,3,-,29,1,-,-,2094,-
平成27,2015,2,13221,清瀬市,Kiyose-shi,,7246,3787,-,40,-,135,1,-,13,1140,2130
平成27,2015,2,13222,東久留米市,Higashikurume-shi,,7808,2534,-,9,137,-,1,22,46,2865,2194
平成27,2015,2,13223,武蔵村山市,Musashimurayama-shi,,4565,4327,-,1,-,24,-,-,-,-,213
平成27,2015,2,13224,多摩市,Tama-shi,,12966,4887,-,4,15,132,1,-,-,1630,6297
平成27,2015,2,13225,稲城市,Inagi-shi,,4558,1240,-,146,110,10,-,-,-,1650,1402
平成27,2015,2,13227,羽村市,Hamura-shi,,1342,349,-,1,21,131,-,-,-,-,840
平成27,2015,2,13228,あきる野市,Akiruno-shi,,211,-,-,-,-,211,-,-,-,-,-
平成27,2015,2,13229,西東京市,Nishitokyo-shi,,11203,5489,-,179,352,48,39,-,-,841,4255
平成27,2015,1,13300,郡部,All gun,,1291,978,-,17,-,204,92,-,-,-,-
平成27,2015,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
平成27,2015,2,13305,日の出町,Hinode-machi,,65,-,-,-,-,65,-,-,-,-,-
平成27,2015,2,13308,奥多摩町,Okutama-machi,,94,-,-,-,-,44,50,-,-,-,-
平成27,2015,2,13307,檜原村,Hinohara-mura,,65,-,-,-,-,23,42,-,-,-,-
平成27,2015,1,13350,島部,All islands,,1497,-,393,-,-,1068,36,-,-,-,-
平成27,2015,0,99999,*都外,Out of Tokyo-to,3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数 （平成24～27年度末） ,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。 ,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。 ,,,,,,,,,,,,,,,,,
3) *神奈川県相模原市所在の引揚者住宅。 ,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は，公営：公営住宅，借上公営住宅 ／その他：特定公共賃貸住宅，特定優良賃貸住宅，改良住宅，区市町村単独住宅等。 ,,,,,,,,,,,,,,,,,
資料：都都市整備局総務部企画経理課「事業概要」 ,,,,,,,,,,,,,,,,,
3-5 RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year 2012～2015 ） ,,,,,,,,,,,,,,,,,
Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority of the ,,,,,,,,,,,,,,,,,
residential units are located. ,,,,,,,,,,,,,,,,,
　　     2) Welfare housing etc. includes repatriation housing and Ogasawara housing. ,,,,,,,,,,,,,,,,,
　　     3)  * Repatriation housing located in Kanagawa prefecture. ,,,,,,,,,,,,,,,,,
"　　     4) Municipal housing's ""public"" is public housing and leased public housing， and ""others"" include specified public rental housing",,,,,,,,,,,,,,,,,
specified good quality rental housing， upgradedhousing， and housing built without state subsidies.,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,
