年月,西暦（年）,月,消費者物価指数（平成17年基準）/全国,消費者物価指数（平成17年基準）/東京都区部,戦前基準指数(昭和9～11年=1)/東京都区部消費者物価指数,戦前基準指数(昭和9～11年=1)/企業物価指数,1)消費水準指数全国(平成17年=100）/全世帯,1)消費水準指数全国(平成17年=100）/勤労者世帯,生計（東京都勤労者世帯）/実収入（円）,生計（東京都勤労者世帯）/消費支出（円）,生計（東京都勤労者世帯）/2)平均消費性向（％）,生計（東京都勤労者世帯）/3)公共的料金負担率（％）
平成17年12月,2005,12,99.9,99.8,1781.6296,682.1,113.3,113.7,984422,395504,47.7,24.1
平成18年１月,2006,1,100,99.8,1781.6296,680.1,96.3,97,464348,340706,87,30.2
平成18年２月,2006,2,99.7,99.5,1776.274,687.4,98.1,99.5,512337,326997,76.4,32.8
平成18年３月,2006,3,99.9,99.8,1781.6296,687.4,102.8,101.9,476675,356542,89.1,31.4
平成18年４月,2006,4,100.1,100.1,1786.9852,690.8,105.9,105.7,502827,377878,89.4,33.4
平成18年５月,2006,5,100.4,100.4,1792.3408,692.8,95,92.4,479465,339516,88.5,30.1
平成18年６月,2006,6,100.4,100.3,1790.5556,696.7,94.6,93.2,813540,330397,50.7,29.8
平成18年７月,2006,7,100.1,100,1785.2,704.1,95.5,96.1,…,…,…,…
平成18年８月,2006,8,100.8,100.6,1795.9,708,…,…,…,…,…,…
,,,,,,,,,,,,
東京の物価／平成18年9月,,,,,,,,,,,,
付属資料１　主要指標,,,,,,,,,,,,
注1)月々の１世帯当たりの消費支出額を４人世帯及び30.4日（365日÷12) の額に調整した後、これを平成17年平均を基準として指数化し、更に消費者物価指数で除して実質化した指数。,,,,,,,,,,,,
2)平均消費性向＝（消費支出÷可処分所得）×100（可処分所得＝実収入－租税公課等）,,,,,,,,,,,,
3)公共的料金負担率＝（公共的料金÷消費支出）×100,,,,,,,,,,,,
4)従来掲載していた実質賃金指数は、日本標準産業分類が平成14年3月に改訂されたことに伴い、平成19年1月分から平成17年を基準年としたものを掲載する予定である。,,,,,,,,,,,,
資料　 総務省統計局(1)／日本銀行(2)／東京都統計部(3),,,,,,,,,,,,
