和暦（年次）,西暦（年次）,東京都／人口補足,東京都／人口,東京都／増減,東京都／増減率(%),東京都／対全国比(%),全国／人口補足,全国／人口(千人),全国／増減(千人),全国／増減率(%)
昭和24,1949,           ,5950775,532904,9.84,7.28,  ,81773,1771,2.21
昭和25,1950,*,6277500,326725,5.49,7.55,*,83200,1427,1.75
昭和26,1951,           ,6712494,434994,6.93,7.94,  ,84541,1341,1.61
昭和27,1952,           ,7108749,396255,5.9,8.28,  ,85808,1267,1.5
昭和28,1953,           ,7468907,360158,5.07,8.59,  ,86981,1173,1.37
昭和29,1954,           ,7773648,304741,4.08,8.81,  ,88239,1258,1.45
昭和30,1955,*,8037084,263436,3.39,9,*,89276,1037,1.18
昭和31,1956,           ,8348969,311885,3.88,9.26,  ,90172,896,1
昭和32,1957,           ,8681040,332071,3.98,9.55,  ,90928,756,0.84
昭和33,1958,           ,9010534,329494,3.8,9.82,  ,91767,839,0.92
昭和34,1959,           ,9349323,338789,3.76,10.09,  ,92641,874,0.95
昭和35,1960,*,9683802,334479,3.58,10.37,*,93419,778,0.84
昭和36,1961,           ,9936970,253168,2.61,10.54,  ,94287,868,0.93
昭和37,1962,           ,10180203,243233,2.45,10.7,  ,95181,894,0.95
昭和38,1963,           ,10432526,252323,2.48,10.85,  ,96156,975,1.02
昭和39,1964,           ,10639361,206835,1.98,10.95,  ,97182,1026,1.07
昭和40,1965,*,10869244,229883,2.16,11.06,*,98275,1093,1.12
昭和41,1966,           ,10973070,103826,0.96,11.08,  ,99036,761,0.77
昭和42,1967,           ,11104969,131899,1.2,11.08,  ,100196,1160,1.17
昭和43,1968,           ,11251775,146806,1.32,11.1,  ,101331,1135,1.13
昭和44,1969,           ,11340417,88642,0.79,11.06,  ,102536,1205,1.19
昭和45,1970,*,11408071,67654,0.6,10.9,c) *,104665,2129,2.08
昭和46,1971,           ,11521226,113155,0.99,10.86,  ,106100,1435,1.37
昭和47,1972,           ,11598152,76926,0.67,10.78,  ,107595,1495,1.41
昭和48,1973,           ,11636797,38645,0.33,10.67,  ,109104,1509,1.4
昭和49,1974,           ,11654642,17845,0.15,10.54,  ,110573,1469,1.35
昭和50,1975,*,11673554,18912,0.16,10.43,*,111940,1367,1.24
昭和51,1976,           ,11670355,-3199,-0.03,10.32,  ,113094,1154,1.03
昭和52,1977,           ,11668721,-1634,-0.01,10.22,  ,114165,1071,0.95
昭和53,1978,           ,11657218,-11503,-0.1,10.12,  ,115190,1025,0.9
昭和54,1979,           ,11635411,-21807,-0.19,10.02,  ,116155,965,0.84
昭和55,1980,*,11618281,-17130,-0.15,9.93,*,117060,905,0.78
昭和56,1981,           ,11619066,785,0.01,9.85,  ,117902,842,0.72
昭和57,1982,           ,11645872,26806,0.23,9.81,  ,118728,826,0.7
昭和58,1983,           ,11700815,54943,0.47,9.79,  ,119536,808,0.68
昭和59,1984,           ,11762368,61553,0.53,9.78,  ,120305,769,0.64
昭和60,1985,*,11829363,66995,0.57,9.77,*,121049,744,0.62
昭和61,1986,           ,11894011,64648,0.55,9.78,  ,121660,611,0.5
昭和62,1987,           ,11904896,10885,0.09,9.74,  ,122239,579,0.48
昭和63,1988,           ,11898526,-6370,-0.05,9.69,  ,122745,506,0.41
平成元,1989,           ,11878244,-20282,-0.17,9.64,  ,123205,460,0.37
平成2,1990,*,11855563,-22681,-0.19,9.59,*,123611,406,0.33
平成3,1991,           ,11878594,23031,0.19,9.57,  ,124101,490,0.4
平成4,1992,           ,11878284,-310,0,9.54,  ,124567,466,0.38
平成5,1993,           ,11843612,-34672,-0.29,9.48,  ,124938,371,0.3
平成6,1994,           ,11791565,-52047,-0.44,9.41,  ,125265,327,0.26
平成7,1995,*,11773602,-17963,-0.15,9.38,*,125570,305,0.24
平成8,1996,             ,11789799,16197,0.14,9.37,  ,125859,289,0.23
平成9,1997,,11838466,48667,0.41,9.38, ,126157,298,0.24
平成10,1998,,11904007,65541,0.55,9.41,,126472,315,0.25
平成11,1999,,11973385,69378,0.58,9.45,,126667,195,0.15
平成12,2000,*,12064101,90716,0.76,9.5,*,126926,259,0.2
平成13,2001,,12171577,107476,0.89,9.56,,127291,365,0.29
平成14,2002,,12279419,107842,0.89,9.64,,127435,144,0.11
平成15,2003,,12368691,89272,0.73,9.69,,127619,184,0.14
平成16,2004,,12451966,83275,0.67,9.75,,127687,68,0.05
平成17,2005,,12544205,92239,0.74,9.82,*,127757,70,0.05
,,,,,,,,,,
人口の動き（平成17年中）,,,,,,,,,,
参考表７　人口の推移（東京都、全国）明治５年～平成17年　             ,,,,,,,,,,
注１）  各年10月1日現在,,,,,,,,,,
注２）「a」は市部寄留者の数に重複があったための減である。,,,,,,,,,,
注３）「b」は北多摩郡、南多摩郡及び西多摩郡が神奈川県から東京府へ移ったための増である。,,,,,,,,,,
注４） 「c」は沖縄県を含めたための増である。,,,,,,,,,,
注５）「調査期日等」は次のとおりである。,,,,,,,,,,
ア　＊印は、国勢調査人口（10月１日現在）,,,,,,,,,,
イ　東京都の人口について,,,,,,,,,,
　(ｱ)　明治５年は１月29日現在、６～９年は、１月１日現在の甲種現住人口（本籍人口に出入寄留の人口を加除して算出した人口）である。,,,,,,,,,,
　(ｲ)　明治10～16年は、１月１日現在（原典は、前年12月31日現在）の東京府調査の現住人口である。,,,,,,,,,,
　(ｳ)　明治17～大正８年は、１月１日現在（明治20～大正８年の原典は、前年12月31日現在）の乙種現住人口（甲種現住人口の算定に使用する入寄留の全国計と出寄留の全国計とが各年とも差があるので、この差を各道府県の入寄留数と出寄留数を合計したものの比で各道府県に按分し、これに甲種現住人口に増減して算出した人口）である。,,,,,,,,,,
　(ｴ)   大正９～昭和18年は、国勢調査年を除き総理府統計局による10月１日現在の推計人口である。,,,,,,,,,,
　(ｵ)　昭和19年（２月22日現在）、20年（11月１日現在）、21年（４月26日現在）は、人口調査による現在人口である。,,,,,,,,,,
　(ｶ)　昭和19～42年は、小笠原村の人口を含まない。,,,,,,,,,,
　(ｷ)   昭和23年は、８月１日現在の常住人口調査による常住人口である。,,,,,,,,,,
　(ｸ)　昭和24年は、10月１日現在の都民世帯票条例人口である。,,,,,,,,,,
　(ｹ)　昭和26～平成12年は、国勢調査年を除き10月１日現在の補正人口である。,,,,,,,,,,
　(ｺ)　平成13年～17年は、10月１日現在の推計人口である。,,,,,,,,,,
　(資料) 内閣統計局 「日本帝国人口静態統計（明治41年）」,,,,,,,,,,
　(資料) 内閣統計局 「道府県現住人口（明治17～40年）」,,,,,,,,,,
　(資料) 内閣統計局 「日本帝国統計年鑑（第28，29，34，35，36，37，38回）」,,,,,,,,,,
　(資料) 総理府統計局 「人口調査集計結果摘要（昭和19，20，21年）」,,,,,,,,,,
　(資料) 総理府統計局 「昭和23年常住人口調査結果報告」,,,,,,,,,,
　(資料) 総理府統計局 「人口推計資料 No.36」 ,,,,,,,,,,
　(資料) 東京府 「東京府統計書」,,,,,,,,,,
　(資料) 東京都総務局統計課 「東京都 世帯及人口」,,,,,,,,,,
　(資料) 東京都総務局統計部 「東京都区市町村別人口の補正」、「東京都の人口（推計）」,,,,,,,,,,
ウ　全国の人口について,,,,,,,,,,
　(ｱ)　明治５～大正８年は、１月１日現在の推計人口である。,,,,,,,,,,
　(ｲ)　大正９年以降は、昭和20年を除き国勢調査人口及び総理府統計局による10月１日現在の推計人口（補正人口を含む。）である。,,,,,,,,,,
　(ｳ)   昭和20年は、11月１日現在の人口調査による人口である。,,,,,,,,,,
　(ｴ)　明治５～昭和19年は、沖縄県、小笠原村及び千島を含む47都道府県の地域による。,,,,,,,,,,
　(ｵ)　明治５～大正８年は、内地人人口である。,,,,,,,,,,
　(ｶ)　大正９～昭和19年は、外地人、外国人を含む総人口である。,,,,,,,,,,
　(ｷ)　昭和20年以降は、我が国行政権の及ぶ地域における外国人を含む総人口である。（昭和20～42年は、小笠原村の人口を含まず、昭和20～44年は、沖縄県の人口を含まない。）,,,,,,,,,,
　(資料) 内閣統計局 「明治５年以降我国の人口」,,,,,,,,,,
　(資料) 総理府統計局 「人口推計資料 (No.36，42，49，55）」,,,,,,,,,,
　(資料) 総務庁統計局 「人口推計資料 (No.59，64，68，69，70，71，72）」,,,,,,,,,,
　(資料) 総務省統計局 「人口推計月報」,,,,,,,,,,
　(資料) 日本統計協会 「日本長期統計総覧（総務庁統計局監修）」,,,,,,,,,,
