事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
100～499人,平成29,2017,1月,17.9,152.1,136.8,15.3,14.1,87.5,84.6,2.9
100～499人,平成29,2017,2月,18.9,159.7,144.2,15.5,14.5,86.2,83.6,2.6
100～499人,平成29,2017,3月,19.6,166,149.8,16.2,14.7,89.8,87,2.8
100～499人,平成29,2017,4月,19.8,166.7,150.9,15.8,14.9,89.7,86.8,2.9
100～499人,平成29,2017,5月,18.8,157.3,142.8,14.5,14.4,88.1,84.9,3.2
100～499人,平成29,2017,6月,20.2,169,154.2,14.8,15.4,92.2,89.3,2.9
100～499人,平成29,2017,7月,19.7,164.8,149.8,15,14.8,90.7,87.6,3.1
100～499人,平成29,2017,8月,18.8,158.1,144.1,14,14.6,91.7,88.5,3.2
100～499人,平成29,2017,9月,19.2,161.9,147.2,14.7,14.9,89.9,86.9,3
100～499人,平成29,2017,10月,19.5,164.4,149.3,15.1,14.8,89.6,86.6,3
100～499人,平成29,2017,11月,19.5,164.1,148.6,15.5,14.7,90.1,87,3.1
100～499人,平成29,2017,12月,19.2,162.6,147.2,15.4,14.8,90.9,87.5,3.4
500人以上,平成24,2012,年平均,19.5,161.7,146.1,15.6,14.5,90.8,86.6,4.2
500人以上,平成25,2013,年平均,19.1,159.2,143.4,15.8,14.2,90.3,85.6,4.7
500人以上,平成26,2014,年平均,19.2,159,143.2,15.8,13.9,87,82.8,4.2
500人以上,平成27,2015,年平均,19,159.4,142.5,16.9,13.5,89.1,85.3,3.8
500人以上,平成28,2016,年平均,19,159.1,142.8,16.3,13.5,87.1,83.8,3.3
500人以上,平成29,2017,年平均,19,159.3,143.8,15.5,13.4,85.9,82.9,3
500人以上,平成29,2017,1月,18,150.8,135.4,15.4,12.8,81.8,78.7,3.1
500人以上,平成29,2017,2月,18.2,153.4,137.5,15.9,12.9,83.4,80.6,2.8
500人以上,平成29,2017,3月,19.7,165.3,148.5,16.8,13.7,88.4,85.3,3.1
500人以上,平成29,2017,4月,19.7,166.4,149.9,16.5,13.5,87.8,84.6,3.2
500人以上,平成29,2017,5月,18.9,157.9,142.5,15.4,13.7,87.8,84.8,3
500人以上,平成29,2017,6月,19.8,165,149.6,15.4,13.5,85.6,82.8,2.8
500人以上,平成29,2017,7月,19.5,161.9,147,14.9,13.5,85.7,82.9,2.8
500人以上,平成29,2017,8月,18.7,156.3,142,14.3,13.2,86,83.2,2.8
500人以上,平成29,2017,9月,18.5,154.2,139.5,14.7,13.1,84.2,81.5,2.7
500人以上,平成29,2017,10月,19.4,162.4,146.6,15.8,13.4,85.9,83,2.9
500人以上,平成29,2017,11月,19.3,161.5,145.5,16,13.5,87.7,84.7,3
500人以上,平成29,2017,12月,18.8,157.7,142.2,15.5,13.4,85.6,82.3,3.3
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成29年年報,,,,,,,,,,,
第９表　規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,
